"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Gap","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",16.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.00%,6.43%,6.43%,6.43%,7.06%,9.64%,9.64%,9.64%,9.64%,9.64%,-12.50%,-18.93%,-12.29%,-6.16%,-73.33%,-43.04%,0.29,19.99%,15.90%,4.63%,-8.25%,-21.57%,5.10%,242.97,1047877,1.57,1.65,1.86,1.65,1.82,15.92%
2,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",51.08,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.73%,-0.66%,-49.22%,-45.99%,-87.32%,-53.86%,0.11,9.68%,10.19%,14.76%,-15.13%,-50.53%,1.57%,18.77,582858,1.34,1.36,1.36,1.36,1.36,1.57%
3,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",20.16,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-1.09%,-1.09%,-1.09%,-1.09%,-1.87%,-0.73%,-0.73%,-0.73%,-0.73%,-0.73%,-7.46%,-84.83%,-91.17%,-92.31%,-97.40%,-94.00%,0.21,43.08%,31.84%,-68.66%,-86.77%,-90.57%,9.20%,75.45,7666382,0.25,0.27,0.29,0.27,0.27,8.72%
4,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",25.80,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.59%,0.89%,-0.59%,-0.59%,-1.17%,0.89%,0.89%,0.89%,0.89%,0.89%,-18.12%,-15.67%,32.42%,-46.28%,-85.26%,-62.83%,2.45,30.92%,45.59%,-59.50%,-35.58%,-74.15%,26.41%,12.97,5779039,2.84,3.59,3.60,3.35,3.39,19.37%
5,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",92.70,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,-0.30%,-1.61%,-1.61%,-3.81%,-3.81%,-6.51%,-6.51%,-6.51%,-6.51%,-6.51%,79.70%,74.48%,-12.25%,-53.76%,,-54.53%,0.23,9.75%,7.24%,84.73%,51.54%,-35.42%,53.14%,259.57,2395065,2.07,3.17,3.23,2.97,3.00,44.98%
6,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",27.55,,0.09,45.67,41.02,10.18%,0.00%,1.13%,,0.02%,0.00,0.01,-1.10%,-0.48%,0.37%,-5.72%,-12.57%,0.55%,0.55%,0.55%,0.55%,0.55%,82.82%,-7.17%,-2.69%,-32.14%,-31.71%,-26.34%,0.11,20.63%,15.59%,11.18%,-7.54%,-21.87%,0.87%,5.65,561062,0.57,0.58,0.72,0.58,0.60,4.92%
