"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",103.36,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,0.69%,0.03%,0.73%,-3.30%,-0.68%,-1.33%,-1.33%,-0.65%,-0.65%,14.21%,22.92%,18.89%,25.04%,-86.68%,38.14%,0.08,4.25%,7.04%,20.10%,24.02%,-20.80%,-1.99%,10.45%,879.73,21.20,932674,1.34,1.48,1.53,1.43,1.45,8.25%,,
2,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",18.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,-0.49%,-0.97%,0.00%,-1.45%,-0.49%,-4.67%,0.49%,12.09%,22.89%,22.89%,-1.92%,-9.13%,-1.69%,5.18%,-70.11%,-36.15%,0.33,19.99%,15.90%,17.28%,2.84%,-12.09%,23.64%,5.10%,86.26,1083.20,4671563,1.57,1.65,2.42,1.63,2.04,29.94%,,
3,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",51.79,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,2.99%,2.91%,2.91%,2.99%,-0.72%,-1.43%,0.00%,1.47%,1.40%,1.40%,25.45%,0.73%,-48.51%,-45.24%,-87.14%,-53.22%,0.12,9.68%,10.19%,16.36%,-13.95%,-49.84%,1.40%,1.57%,621.13,22.50,698621,1.34,1.36,1.49,1.34,1.38,2.99%,,
4,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.71,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.15%,-1.07%,-0.19%,-0.89%,-1.37%,-3.92%,-0.96%,-2.23%,-2.95%,-2.95%,-9.53%,-85.17%,-91.36%,-92.48%,-97.45%,-94.13%,0.21,43.08%,31.84%,-69.36%,-87.06%,-90.78%,-2.66%,9.20%,2032.29,91.45,9292487,0.25,0.27,0.29,0.27,0.27,6.29%,,
5,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",28.99,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.48%,-1.49%,-0.72%,-0.32%,5.10%,-5.57%,-16.55%,14.18%,14.18%,14.18%,16.83%,20.77%,21.94%,-44.67%,-55.46%,-48.74%,0.30,6.54%,3.57%,23.99%,21.75%,-13.77%,14.18%,12.24%,4.19,10269.38,2152135,1.96,2.20,4.89,2.15,2.51,28.16%,,
6,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",29.90,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-0.24%,-0.24%,-1.49%,1.70%,1.92%,15.41%,33.39%,31.90%,31.90%,31.90%,3.49%,47.61%,33.39%,-54.72%,-86.66%,-65.38%,0.71,27.05%,22.18%,88.58%,158.04%,-47.61%,31.90%,1.42%,9500.39,7.42,3526512,3.52,3.57,4.89,3.53,4.71,33.77%,,
7,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",24.50,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.00%,0.31%,1.26%,-1.83%,-1.83%,-2.13%,-3.59%,-4.73%,-4.17%,-4.17%,-22.22%,-19.90%,25.78%,-48.98%,-86.00%,-64.69%,2.45,30.92%,45.59%,-61.53%,-38.81%,-75.45%,-10.31%,26.41%,8908.97,17.31,7708960,2.84,3.59,3.60,3.17,3.22,13.38%,,
8,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",89.27,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.00%,0.35%,0.00%,-0.35%,-2.03%,-1.37%,-2.00%,-3.99%,-9.97%,-9.97%,73.05%,68.02%,-15.50%,-55.47%,,-56.21%,0.23,9.75%,7.24%,77.90%,45.93%,-37.81%,-8.83%,53.14%,184.54,357.39,3297664,2.07,3.17,3.23,2.84,2.89,39.61%,,
9,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135659.62,10.14,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,0.00%,0.00%,0.11%,0.05%,0.45%,0.75%,0.32%,0.48%,0.64%,0.64%,0.96%,7.26%,17.59%,15.09%,39.84%,12.75%,0.28,1.55%,1.51%,1.48%,5.22%,12.34%,0.64%,-0.27%,33363.63,3.66,6097418,18.85,18.80,18.93,18.77,18.92,0.37%,,
10,"UNCY","Unicycive Therapeutics Inc","Healthcare","Biotechnology","USA",41.13,,0.57,85.68,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.80,1.47,0.00%,-1.01%,0.00%,2.08%,1.69%,0.00%,0.02%,0.00%,2.17%,2.17%,-1.21%,-26.03%,-57.14%,-46.07%,-62.79%,-44.68%,0.07,12.49%,14.09%,-8.36%,-37.36%,-47.88%,2.17%,-0.47%,814.56,20.87,849964,0.47,0.47,0.55,0.46,0.48,1.69%,,
