"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",3.63,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-1.73%,-2.36%,-3.33%,-5.14%,-10.34%,-10.99%,-15.68%,2.75%,2.75%,2.75%,29.64%,95.04%,70.67%,163.99%,-72.43%,96.68%,0.08,9.76%,17.45%,33.05%,52.17%,69.70%,15.30,4987558,0.52,0.60,0.73,0.59,0.61,17.17%
2,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",33.14,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-0.03%,0.00%,1.36%,0.00%,-0.53%,3.03%,-4.35%,-6.03%,-6.03%,-6.03%,-54.94%,-68.10%,-67.08%,-66.12%,-62.79%,-66.40%,1.75,60.13%,31.70%,-54.03%,-63.08%,-64.99%,265.30,4270417,3.43,4.07,4.08,3.56,3.74,9.04%
3,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.38,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,-0.61%,-0.55%,0.62%,0.62%,1.25%,4.52%,-1.82%,-8.47%,-8.47%,-8.47%,35.00%,20.00%,-20.20%,55.77%,-63.68%,51.40%,0.20,10.20%,13.85%,24.00%,4.57%,-18.88%,36.04,3567904,1.29,1.78,1.78,1.52,1.62,25.58%
4,"DATS","DatChat Inc","Technology","Software - Application","USA",6.65,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,0.00%,-0.45%,0.91%,2.31%,0.00%,-3.49%,-3.49%,-7.14%,-7.14%,-7.14%,104.63%,71.32%,90.50%,-11.95%,-55.80%,-23.00%,0.19,4.38%,6.00%,89.06%,71.39%,35.24%,1805.81,14122594,1.04,2.46,2.59,2.02,2.21,112.50%
5,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8714.45,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,0.17%,0.35%,-0.09%,0.37%,-0.48%,-0.37%,-1.59%,-3.31%,-3.31%,-3.31%,51.32%,12.09%,40.78%,171.16%,251.57%,162.17%,4.44,6.09%,10.69%,40.98%,10.00%,43.79%,26.14,8931536,30.89,49.86,49.86,45.00,45.88,48.53%
6,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",12.72,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-1.05%,-2.49%,-6.86%,-4.51%,1.28%,-7.43%,21.25%,36.93%,36.93%,36.93%,57.16%,16.34%,-4.40%,-12.59%,,-18.01%,0.10,11.12%,7.87%,32.45%,17.29%,-42.93%,468.49,2676480,0.59,0.63,1.25,0.63,0.86,46.11%
7,"PHUN","Phunware Inc","Technology","Software - Application","USA",61.99,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.26%,-1.40%,-1.40%,-0.77%,-2.89%,-1.78%,-4.93%,-4.22%,-4.22%,-4.22%,34.49%,33.56%,6.19%,105.32%,-61.30%,88.29%,0.57,5.96%,7.59%,37.87%,24.58%,-6.69%,122.09,2224572,5.83,8.20,8.27,7.52,7.72,32.42%
8,"RUM","Rumble Inc","Technology","Software - Application","USA",1833.58,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,0.00%,-1.52%,-0.91%,-1.81%,-0.76%,-1.22%,-2.26%,-1.66%,-1.66%,-1.66%,13.84%,11.88%,2.20%,75.20%,-25.97%,44.77%,0.30,3.98%,4.13%,15.85%,4.06%,10.31%,9.36,532756,5.94,6.77,6.83,6.50,6.50,9.43%
9,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.31,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,-1.29%,-1.45%,2.17%,1.66%,-3.31%,-2.39%,-7.40%,32.11%,32.11%,32.11%,103.60%,127.88%,27.71%,6.61%,-58.86%,2.96%,0.83,13.48%,19.40%,80.94%,64.56%,14.25%,83.17,2347152,4.06,4.67,8.36,4.59,6.13,50.99%
10,"SGD","Safe and Green Development Corp","Real Estate","Real Estate - Development","USA",6.49,,0.00,10.00,8.94,44.26%,0.00%,1.69%,,4.79%,0.12,0.43,0.00%,0.00%,0.00%,0.00%,0.00%,-0.37%,-1.27%,-1.27%,-1.27%,-1.27%,-4.73%,-11.98%,-41.66%,-68.61%,,-71.08%,0.04,5.84%,7.24%,-3.67%,-18.63%,-60.42%,6.64,1152686,0.40,0.41,0.41,0.40,0.40,1.77%
