"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",4.02,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-1.33%,-0.06%,1.58%,-2.89%,7.10%,-0.94%,13.90%,13.90%,13.90%,13.90%,43.70%,116.20%,89.19%,192.63%,-69.44%,118.01%,0.08,9.76%,17.45%,47.49%,68.68%,88.11%,13.97,4554964,0.52,0.60,0.73,0.59,0.68,29.88%
2,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",32.16,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-0.27%,0.00%,-1.09%,-4.47%,-3.20%,-6.20%,-8.79%,-8.79%,-8.79%,-8.79%,-56.27%,-69.04%,-68.05%,-67.12%,-63.88%,-67.39%,1.75,60.13%,31.70%,-55.39%,-64.16%,-66.02%,260.28,4189632,3.43,4.07,4.08,3.61,3.63,5.83%
3,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.11,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,0.65%,0.00%,0.00%,-1.90%,-5.49%,-6.06%,-12.43%,-12.43%,-12.43%,-12.43%,29.17%,14.81%,-23.65%,49.04%,-65.25%,44.86%,0.20,10.20%,13.85%,18.64%,0.05%,-22.39%,35.17,3482100,1.29,1.78,1.78,1.52,1.55,20.16%
4,"DATS","DatChat Inc","Technology","Software - Application","USA",6.89,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,0.00%,1.33%,1.78%,4.09%,7.51%,3.15%,-3.78%,-3.78%,-3.78%,-3.78%,112.04%,77.52%,97.40%,-8.76%,-54.20%,-20.21%,0.19,4.38%,6.00%,95.90%,77.59%,40.14%,1726.22,13500180,1.04,2.46,2.59,2.02,2.29,120.19%
5,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8714.45,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,-0.37%,-0.37%,-1.14%,-0.71%,0.84%,-0.54%,-3.31%,-3.31%,-3.31%,-3.31%,51.32%,12.09%,40.78%,171.16%,251.57%,162.17%,4.44,6.09%,10.69%,40.98%,10.00%,43.79%,24.96,8525655,30.89,49.86,49.86,45.00,45.88,48.53%
6,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",13.63,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-0.86%,8.50%,-2.32%,-25.04%,29.86%,29.86%,46.65%,46.65%,46.65%,46.65%,68.31%,24.59%,2.39%,-6.39%,,-12.19%,0.10,11.12%,7.87%,41.85%,25.61%,-38.88%,198.12,1131836,0.59,0.63,1.25,0.63,0.92,56.48%
7,"PHUN","Phunware Inc","Technology","Software - Application","USA",63.28,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.25%,0.77%,0.25%,0.90%,-1.01%,-2.11%,-2.23%,-2.23%,-2.23%,-2.23%,37.28%,36.33%,8.39%,109.57%,-60.50%,92.20%,0.57,5.96%,7.59%,40.73%,27.16%,-4.76%,116.66,2125723,5.83,8.20,8.27,7.52,7.88,35.16%
8,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.38,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,-0.48%,-3.85%,-3.55%,-2.65%,-19.97%,-15.31%,34.70%,34.70%,34.70%,34.70%,107.59%,132.34%,30.21%,8.70%,-58.05%,4.97%,0.83,13.48%,19.40%,84.49%,67.78%,16.49%,74.63,2106204,4.06,4.67,8.36,4.59,6.25,53.94%
9,"SGD","Safe and Green Development Corp","Real Estate","Real Estate - Development","USA",6.52,,0.00,10.00,8.94,44.26%,0.00%,1.69%,,4.79%,0.12,0.43,0.00%,0.89%,0.82%,0.82%,-0.61%,-0.90%,-0.90%,-0.90%,-0.90%,-0.90%,-4.38%,-11.65%,-41.44%,-68.50%,,-70.97%,0.04,5.84%,7.24%,-3.32%,-18.33%,-60.28%,6.62,1148840,0.40,0.41,0.41,0.40,0.41,2.15%
10,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.01,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,0.00%,0.00%,0.00%,0.00%,1.80%,2.80%,-0.06%,-0.06%,-0.06%,-0.06%,-70.43%,-76.05%,30.81%,-19.70%,-69.56%,-17.27%,0.80,46.19%,30.70%,-70.10%,-56.75%,-32.56%,41.80,1118010,0.84,0.93,0.94,0.91,0.93,10.83%
