"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ALKS","Alkermes plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",4359.11,10.16,166.98,166.72,99.84%,1.48%,-0.62%,104.87%,-1.26%,8.20%,7.49,13.68,0.00%,-0.33%,-0.71%,-1.04%,-0.92%,-4.82%,-0.73%,-0.73%,-0.92%,-0.92%,4.67%,4.59%,6.18%,-9.74%,-12.83%,-7.14%,0.80,2.61%,2.73%,6.36%,6.26%,-0.21%,-4.24%,7.60%,1826.68,3.72,588575,25.00,26.90,27.25,25.75,25.76,3.04%
2,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",15249.61,58.68,676.60,661.79,97.81%,2.57%,-0.16%,96.43%,-3.85%,2.90%,3.15,19.21,0.45%,-0.18%,0.22%,0.36%,1.68%,0.22%,0.45%,1.26%,1.17%,2.14%,4.81%,-0.22%,-12.48%,1.58%,-1.71%,-1.66%,0.64,3.30%,2.57%,6.28%,-0.80%,-0.94%,0.13%,5.90%,6106.16,6.02,3183425,21.17,22.42,22.50,22.03,22.45,6.05%
3,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",20.05,,73.83,10.34,14.01%,86.00%,0.00%,2.18%,1.77%,0.71%,0.03,0.07,0.59%,0.59%,-0.22%,0.59%,1.65%,8.64%,5.97%,10.81%,10.86%,10.86%,0.97%,-81.27%,-91.38%,-91.04%,-97.43%,-94.03%,0.15,11.24%,30.22%,-50.29%,-84.76%,-90.17%,8.64%,-0.40%,2652.18,8.35,1916463,0.25,0.25,0.28,0.25,0.27,8.21%
4,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",179.93,,180.67,168.37,93.19%,6.81%,0.00%,14.92%,-6.74%,8.41%,6.36,14.15,0.54%,0.54%,-0.41%,-0.40%,2.88%,2.68%,2.26%,2.67%,4.83%,4.83%,21.45%,56.22%,29.79%,47.85%,-14.15%,31.65%,0.07,11.47%,11.32%,42.78%,48.57%,35.56%,2.67%,4.29%,2226.30,5.63,1084746,0.93,0.97,1.02,0.94,1.00,7.07%
5,"FLEX","Flex Ltd","Technology","Electronic Components","USA",12947.04,14.12,408.10,395.30,96.86%,0.88%,-26.94%,104.05%,0.61%,1.78%,1.74,7.03,0.00%,-0.48%,-0.05%,-0.38%,-0.26%,-0.11%,3.59%,4.02%,9.75%,9.75%,4.62%,6.41%,13.79%,40.48%,58.44%,46.53%,1.08,3.36%,2.80%,8.47%,5.33%,26.74%,2.19%,6.90%,4040.54,2.51,878462,29.72,31.77,33.09,31.70,32.47,9.24%
6,"FLYE","Fly-E Group Inc.","Consumer Cyclical","Auto Manufacturers","USA",29.75,,24.59,7.52,30.58%,69.40%,0.00%,,,0.76%,0.03,0.06,0.82%,-0.90%,-3.20%,-2.42%,-2.42%,1.68%,6.14%,9.00%,9.01%,6.14%,-81.50%,-81.69%,,,,-74.69%,1.05,120.94%,42.03%,-79.26%,-77.12%,-77.12%,3.42%,0.00%,1723.28,20.81,3102947,1.17,1.17,1.35,1.16,1.21,3.42%
7,"HMY","Harmony Gold Mining Co Ltd ADR","Basic Materials","Gold","South Africa",5816.66,11.89,632.59,632.49,99.98%,0.02%,0.00%,30.36%,12.87%,1.30%,2.00,8.19,-0.33%,-0.27%,-0.49%,-0.33%,-0.03%,-0.27%,-0.70%,-0.81%,-0.38%,-0.92%,-12.76%,1.49%,4.85%,59.91%,106.17%,49.51%,0.41,4.18%,3.46%,-3.74%,-0.58%,28.75%,-0.49%,1.65%,4105.17,2.47,878612,9.09,9.24,9.26,9.18,9.19,1.16%
8,"LITM","Snow Lake Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",21.73,,18.19,11.86,65.20%,41.64%,0.00%,0.27%,-15.01%,0.08%,0.20,0.01,-3.37%,-4.53%,-5.36%,-7.82%,-5.37%,-6.20%,2.76%,8.01%,6.94%,6.94%,77.30%,44.50%,21.51%,6.93%,-49.56%,-8.61%,0.09,17.49%,10.73%,51.64%,37.28%,20.70%,-5.37%,16.74%,48.31,746.73,3122169,0.97,1.13,1.19,1.06,1.07,10.46%
9,"LPSN","Liveperson Inc","Technology","Software - Application","USA",129.81,,87.84,69.44,79.05%,21.63%,-0.46%,55.25%,-1.25%,11.58%,2.28,8.04,0.00%,-1.01%,-2.30%,-3.69%,-1.68%,2.81%,4.64%,0.34%,1.07%,1.74%,50.57%,152.63%,195.90%,-53.34%,-69.35%,-61.35%,0.14,26.05%,15.13%,81.88%,105.66%,-22.20%,2.45%,-2.05%,3521.13,3.55,1081710,1.46,1.43,1.54,1.42,1.47,0.34%
10,"LUMN","Lumen Technologies Inc","Communication Services","Telecom Services","USA",1552.91,,1008.49,991.03,98.27%,2.36%,3.87%,66.91%,0.64%,14.16%,14.13,140.38,0.32%,-0.01%,0.01%,1.36%,3.38%,-4.38%,-9.46%,-3.17%,5.51%,4.79%,14.17%,45.70%,12.49%,11.67%,-16.40%,-16.40%,0.09,5.60%,6.74%,30.69%,26.18%,9.38%,-6.43%,9.73%,9934.29,12.74,10951871,1.49,1.63,1.68,1.47,1.53,2.68%
