"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
11,"LYG","Lloyds Banking Group plc ADR","Financial","Banks - Regional","United Kingdom",47541.57,,15877.00,15583.00,98.15%,0.03%,0.00%,2.36%,9.08%,0.09%,1.48,13.28,-0.00%,-0.29%,-0.33%,0.00%,-0.26%,-0.22%,0.33%,0.00%,0.04%,0.00%,0.66%,9.32%,19.14%,41.20%,30.90%,27.62%,0.05,1.47%,1.38%,4.17%,7.64%,25.71%,0.16%,0.50%,8990.98,2.16,1681273,3.03,3.05,3.06,3.04,3.05,0.66%
12,"MAT","Mattel, Inc.","Consumer Cyclical","Leisure","USA",6403.70,22.68,348.50,340.80,97.79%,0.96%,-2.81%,97.38%,-1.06%,4.81%,4.07,16.38,0.05%,0.42%,0.89%,1.03%,2.65%,4.85%,5.98%,7.56%,7.53%,7.08%,11.44%,8.07%,-0.64%,4.43%,-13.72%,-1.43%,0.72,7.48%,3.51%,12.23%,7.48%,-0.07%,6.01%,1.83%,4030.11,3.01,1050114,17.24,17.56,18.67,17.59,18.61,7.95%
13,"MAXN","Maxeon Solar Technologies Ltd","Technology","Solar","Singapore",11.93,,53.96,31.36,58.12%,43.70%,0.00%,89.93%,0.40%,73.19%,0.38,22.95,0.09%,-1.29%,-1.47%,-3.51%,-0.51%,-1.61%,-3.08%,-1.92%,2.49%,1.47%,-12.25%,-79.89%,-89.07%,-95.80%,-99.22%,-97.01%,0.12,13.72%,26.69%,-46.83%,-85.04%,-94.58%,-1.74%,3.32%,59760.75,4.55,23506691,0.21,0.22,0.22,0.21,0.21,1.52%
14,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",40.65,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.16%,0.00,0.02,1.49%,-3.87%,-2.64%,-5.82%,-13.93%,-5.16%,9.16%,13.65%,12.26%,25.58%,235.36%,287.34%,213.21%,202.23%,,161.93%,0.58,86.00%,29.83%,183.87%,221.78%,95.99%,3.78%,3.52%,3607.37,17.72,5530493,2.56,2.65,3.30,2.66,2.75,7.43%
15,"NIVF","NewGenIvf Group Ltd","Healthcare","Health Information Services","Taiwan",10.35,,3.73,2.83,75.87%,72.08%,0.00%,12.73%,2.33%,2.83%,0.04,0.08,0.98%,5.14%,2.33%,-0.01%,8.09%,7.93%,7.96%,5.14%,-1.93%,-0.98%,8.32%,-0.98%,-54.26%,-90.69%,-89.97%,-90.64%,0.11,6.12%,8.46%,3.40%,-6.16%,-85.48%,8.49%,7.95%,2078.12,27.06,4867230,0.87,0.94,1.05,0.93,1.02,17.11%
16,"OTLY","Oatly Group AB ADR","Consumer Defensive","Packaged Foods","Sweden",654.29,,594.81,554.89,93.29%,6.71%,0.00%,5.75%,-8.75%,3.48%,11.54,19.32,0.92%,1.38%,1.00%,2.33%,0.00%,-2.32%,-3.51%,-3.51%,0.00%,6.80%,2.80%,15.49%,14.58%,-5.17%,-47.87%,-6.78%,0.07,9.87%,6.12%,11.43%,5.39%,9.53%,0.00%,10.00%,1673.88,8.01,1160955,1.00,1.10,1.15,1.04,1.10,10.00%
17,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",21.79,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,-1.09%,2.41%,1.59%,0.91%,8.18%,16.57%,19.98%,22.29%,24.97%,60.28%,123.09%,92.30%,37.57%,23.27%,-10.28%,13.38%,1.32,7.80%,9.40%,106.09%,76.11%,19.35%,25.07%,65.41%,20.91,1564.59,2831256,7.98,13.20,17.45,13.12,16.51,106.88%
18,"RGC","Regencell Bioscience Holdings Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Hong Kong",261.82,,13.01,12.02,92.39%,7.60%,0.00%,0.01%,,0.01%,0.03,0.00,2.26%,3.30%,7.73%,7.73%,7.73%,12.62%,13.00%,12.93%,1.79%,-1.69%,528.19%,360.18%,443.91%,43.34%,-32.90%,91.66%,2.70,162.76%,46.68%,384.84%,321.27%,87.27%,10.57%,21.66%,32.61,262.70,741433,14.96,18.20,21.00,16.78,20.12,34.52%
19,"S","SentinelOne Inc","Technology","Software - Infrastructure","USA",7660.62,,269.78,262.98,97.48%,15.95%,-2.90%,58.66%,10.89%,4.31%,2.13,11.33,0.00%,0.39%,0.55%,0.47%,1.32%,1.06%,1.35%,1.60%,0.47%,0.89%,16.04%,30.31%,15.60%,-7.78%,67.71%,-10.77%,1.07,6.51%,4.53%,17.73%,22.03%,11.48%,0.78%,-0.55%,5312.02,2.01,922382,24.43,24.30,24.55,24.13,24.49,0.23%
20,"SAN","Banco Santander S.A. ADR","Financial","Banks - Diversified","Spain",77167.83,6.87,15886.33,15196.50,95.66%,0.00%,,2.72%,-4.97%,0.04%,2.85,6.34,0.06%,0.06%,0.06%,-0.04%,0.55%,0.45%,0.75%,0.95%,0.75%,1.56%,4.49%,8.50%,1.76%,27.91%,31.55%,22.66%,0.09,1.26%,1.26%,6.50%,3.32%,15.76%,0.55%,2.23%,2226.43,5.25,1010773,4.94,5.05,5.09,5.04,5.08,2.79%
21,"SEDG","Solaredge Technologies Inc","Technology","Solar","Israel",1497.77,,57.12,56.78,99.40%,0.90%,1.38%,90.82%,1.72%,28.39%,4.02,16.12,0.15%,-0.27%,-1.08%,-2.61%,-0.31%,-0.09%,1.35%,1.87%,1.51%,0.27%,-7.01%,-21.39%,-53.96%,-63.61%,-89.95%,-72.07%,2.39,6.58%,7.75%,-2.34%,-31.87%,-61.21%,1.16%,1.25%,4005.48,2.75,953512,25.52,25.84,26.93,25.85,26.14,2.43%
22,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",120.90,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,-1.94%,-5.25%,-15.55%,-14.27%,-21.46%,-25.77%,-17.26%,-2.87%,42.44%,27.37%,33.62%,24.01%,11.84%,28.27%,-55.86%,7.23%,0.08,12.61%,13.12%,49.31%,18.24%,4.23%,-19.08%,79.42%,2266.02,460.01,90206294,0.40,0.72,0.90,0.57,0.58,45.18%
23,"SPWR","Sunpower Corp","Technology","Solar","USA",218.32,,217.23,53.27,24.52%,75.48%,0.00%,36.31%,128.39%,54.73%,1.63,29.15,-0.50%,-0.44%,-4.17%,-5.63%,-3.30%,7.77%,6.93%,6.42%,8.06%,11.67%,-60.12%,-63.59%,-48.72%,-71.69%,-91.33%,-79.19%,0.38,64.47%,23.23%,-55.16%,-63.33%,-70.89%,6.91%,0.04%,17938.15,4.91,7614929,0.94,0.94,1.07,0.93,1.00,6.96%
24,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135480.37,10.12,7170.17,7161.92,99.88%,0.12%,0.00%,59.03%,-0.90%,1.57%,3.34,112.27,-0.16%,-0.24%,-0.21%,-0.29%,0.45%,-0.55%,0.08%,1.31%,0.88%,0.93%,-1.38%,1.31%,14.52%,9.92%,26.39%,12.60%,0.38,2.01%,1.60%,0.45%,4.05%,11.52%,-0.18%,3.95%,33605.79,2.81,8169415,18.21,18.93,19.08,18.76,18.90,3.76%
25,"TELL","Tellurian Inc","Energy","Oil & Gas E&P","USA",794.33,,836.23,760.76,90.97%,9.02%,0.00%,37.09%,-9.24%,13.48%,2.35,102.53,0.07%,0.16%,0.01%,-0.61%,-0.05%,0.81%,0.77%,0.73%,0.81%,0.81%,50.40%,31.93%,132.02%,72.40%,-41.36%,25.71%,0.09,7.18%,11.06%,38.09%,49.37%,47.75%,1.05%,-0.21%,43547.35,4.83,18214754,0.94,0.94,0.96,0.94,0.95,0.84%
26,"TKC","Turkcell Iletisim Hizmetleri A.S. ADR","Communication Services","Telecom Services","Turkey",7026.36,14.69,872.84,872.83,100.00%,0.00%,,3.73%,8.03%,0.03%,0.50,0.28,0.00%,0.31%,0.31%,-0.19%,0.37%,-0.37%,0.37%,0.12%,-0.02%,-0.02%,-0.37%,7.33%,36.67%,53.04%,91.21%,67.36%,0.21,2.90%,2.37%,1.92%,7.95%,40.78%,0.12%,0.00%,551.86,14.13,674870,8.04,8.04,8.09,8.01,8.05,0.12%
27,"TKNO","Alpha Teknova Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",132.58,,40.82,40.82,100.00%,0.00%,,14.67%,-0.95%,0.35%,0.40,0.14,0.22%,-0.33%,-1.20%,-3.65%,-0.67%,6.14%,11.62%,12.00%,14.77%,16.42%,69.17%,124.00%,80.54%,9.18%,-5.44%,-12.92%,0.32,34.13%,14.45%,117.29%,97.64%,34.81%,10.85%,16.73%,352.40,38.22,1165410,2.51,2.93,3.39,2.90,3.25,29.40%
