"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CDT","Conduit Pharmaceuticals Inc","USA",27.60,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,2.69%,3.26%,5.06%,3.92%,-1.01%,-4.81%,-6.53%,-6.53%,-6.53%,-6.53%,-10.57%,-81.50%,-88.39%,-90.86%,-96.43%,-91.78%,0.22,35.43%,31.41%,-60.59%,-82.35%,-87.22%,,-11.23%,75.46%,313.83,1872.05,29375569,0.24,0.42,0.42,0.35,0.37,55.75%,
2,"AEON","AEON Biopharma Inc.","USA",98.97,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.40%,-0.78%,-0.78%,-0.78%,1.98%,-4.53%,-5.95%,-5.95%,-5.95%,-5.95%,130.00%,86.03%,-64.37%,-64.66%,-68.38%,-64.86%,0.33,36.67%,17.87%,113.25%,71.60%,-57.94%,5/14/2024 4:30:00 PM,-6.64%,18.86%,1001.61,41.85,2095744,2.28,2.71,2.71,2.47,2.53,10.96%,
3,"SIEB","Siebert Financial Corp.","USA",70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,-2.22%,-4.35%,-4.35%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,307.02,253749,1.72,1.84,1.84,1.76,1.76,2.33%,
4,"PASG","Passage Bio Inc","USA",59.48,,44.54,27.74%,-0.02%,32.76%,-5.98%,3.79%,15.78,1.69,0.07%,0.52%,0.52%,1.58%,3.67%,1.58%,-7.21%,-7.21%,-7.21%,-7.21%,12.87%,-9.81%,-21.54%,-10.65%,-3.98%,-4.46%,0.10,7.59%,9.07%,5.13%,-14.60%,-5.83%,5/14/2024 8:30:00 AM,-5.39%,10.71%,106.90,68.89,368224,0.92,1.02,1.12,0.91,0.96,4.74%,
5,"HYZN","Hyzon Motors Inc","USA",81.64,,129.54,47.64%,-7.93%,17.28%,-2.31%,6.35%,18.50,8.23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-7.17%,-32.40%,-46.77%,-48.80%,-77.70%,-63.13%,0.03,7.86%,11.91%,-6.47%,-28.02%,-54.98%,5/13/2024 4:30:00 PM,0.00%,0.30%,444.74,7.64,169848,0.33,0.33,0.33,0.33,0.33,0.30%,
