"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ADIL","Adial Pharmaceuticals Inc","Healthcare","Biotechnology","USA",11.55,,4.23,4.12,97.40%,2.67%,0.00%,4.16%,,3.96%,1.02,0.16,-7.77%,-5.54%,4.56%,13.75%,15.22%,22.97%,62.02%,70.62%,123.77%,123.77%,143.75%,143.75%,43.68%,108.70%,-58.95%,46.77%,0.21,5.07%,5.71%,148.39%,119.02%,62.65%,70.60%,50.96%,159.61,4368.65,85819639,1.06,1.60,3.00,1.54,2.73,157.55%
2,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",17.02,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,-0.99%,-2.81%,-5.83%,-8.03%,-16.57%,-27.53%,-28.70%,-39.01%,-34.33%,45.46%,11.11%,0.96%,-11.38%,-53.94%,,-65.40%,0.03,15.15%,8.56%,10.36%,-3.61%,-70.88%,-33.00%,130.77%,253.80,2266.51,70798771,0.14,0.33,0.34,0.21,0.22,54.62%
3,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",14522.79,55.88,676.60,661.79,97.81%,2.57%,-0.16%,96.45%,-3.85%,2.90%,3.21,19.21,-0.05%,-0.19%,-0.37%,-0.09%,0.33%,0.30%,-3.35%,-1.34%,-1.34%,-1.34%,-0.70%,-3.35%,-12.41%,-2.77%,-7.04%,-6.35%,0.58,2.86%,2.58%,0.90%,-5.82%,-5.65%,-3.26%,4.79%,5992.72,2.46,1815486,21.09,22.10,22.21,21.14,21.38,1.38%
4,"DHC","Diversified Healthcare Trust","Real Estate","REIT - Healthcare Facilities","USA",777.23,,240.42,215.48,89.63%,10.45%,0.00%,75.21%,-2.21%,3.60%,8.24,7.76,0.01%,0.16%,0.31%,0.92%,1.25%,2.87%,1.57%,1.57%,2.22%,2.22%,-5.83%,23.28%,32.92%,11.38%,29.98%,-13.64%,0.15,4.88%,5.03%,3.18%,15.68%,22.48%,2.22%,-0.63%,941.78,10.67,1237298,3.18,3.16,3.23,3.12,3.23,1.57%
5,"EYEN","Eyenovia Inc","Healthcare","Biotechnology","USA",79.85,,61.45,51.62,84.00%,15.99%,20.56%,12.87%,-27.27%,7.61%,4.06,3.93,0.35%,-0.04%,-0.04%,1.13%,0.03%,2.97%,5.65%,6.52%,5.65%,5.65%,11.07%,99.92%,151.60%,-20.28%,-41.73%,-37.52%,0.11,12.23%,12.25%,44.06%,61.66%,2.35%,7.40%,0.83%,967.27,4.44,528648,1.20,1.21,1.32,1.21,1.30,8.29%
6,"FEIM","Frequency Electronics, Inc.","Technology","Communication Equipment","USA",127.74,39.31,9.37,8.47,90.39%,10.74%,1.29%,57.89%,-1.15%,0.25%,1.05,0.02,0.15%,0.10%,-0.44%,-0.59%,-0.66%,1.97%,-2.18%,-0.29%,-4.34%,-1.10%,40.65%,47.43%,40.94%,29.30%,97.94%,22.92%,0.62,5.90%,3.54%,47.22%,44.99%,40.72%,2.75%,29.70%,19.73,453.89,1101974,10.10,13.10,14.00,12.80,13.46,33.27%
7,"GENI","Genius Sports Limited","Communication Services","Internet Content & Information","United Kingdom",1397.51,,209.12,153.14,73.23%,27.39%,0.00%,64.16%,-1.95%,6.28%,5.32,9.61,-0.06%,-0.06%,-0.21%,-1.40%,-1.99%,-0.66%,-2.13%,-2.56%,-2.56%,-1.11%,9.34%,22.25%,29.41%,5.00%,-11.89%,7.21%,0.26,5.37%,4.24%,18.19%,22.20%,15.96%,-2.13%,7.12%,1805.30,7.81,1735451,6.32,6.77,6.88,6.46,6.63,4.84%
8,"GOVX","Geovax Labs Inc","Healthcare","Biotechnology","USA",14.62,,4.64,4.57,98.49%,1.45%,18.97%,5.19%,,27.50%,0.41,1.26,-0.32%,-1.00%,1.94%,-2.78%,3.16%,2.74%,8.25%,5.09%,6.38%,12.50%,6.42%,35.19%,103.23%,-27.11%,-62.50%,-41.83%,0.49,10.71%,25.67%,9.15%,45.80%,-18.26%,8.62%,8.61%,3064.21,3.32,1250859,2.67,2.90,3.29,2.76,3.15,17.98%
9,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",10.15,0.97,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,-3.23%,0.09%,0.09%,0.72%,-5.01%,-5.11%,-10.56%,-12.28%,-11.94%,-5.43%,-16.06%,-25.26%,-76.12%,-71.91%,-94.77%,-93.44%,0.12,30.03%,18.41%,-2.14%,-37.77%,-88.21%,-10.41%,13.20%,950.04,18.15,2080285,0.54,0.61,0.61,0.54,0.55,1.41%
10,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.14,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.14%,0.14%,0.14%,-0.22%,-0.03%,-0.72%,-1.01%,0.37%,4.72%,5.62%,-6.18%,-3.19%,-41.63%,-45.64%,-40.66%,-33.45%,0.05,5.69%,5.78%,-4.29%,-18.03%,-32.59%,0.24%,1.97%,222.75,35.97,986157,0.70,0.71,0.72,0.70,0.71,2.21%
