"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
11,"IVZ","Invesco Ltd","Financial","Asset Management","USA",7471.68,,449.50,442.28,98.39%,1.68%,0.00%,84.29%,5.36%,1.27%,1.34,5.63,-0.06%,0.42%,0.61%,0.73%,1.34%,2.28%,-0.48%,0.79%,0.73%,0.54%,0.79%,10.07%,6.61%,-4.49%,-6.89%,-6.89%,0.40,2.99%,2.18%,6.77%,7.34%,8.20%,0.39%,0.33%,4191.69,3.15,1625676,16.49,16.55,16.78,16.21,16.61,0.73%
12,"KNSA","Kiniksa Pharmaceuticals International Plc.","Healthcare","Biotechnology","USA",1745.12,227.15,70.94,38.61,54.43%,45.58%,-0.40%,51.62%,-0.13%,12.08%,11.79,4.66,-0.40%,-1.17%,-0.48%,-0.77%,-4.23%,-1.16%,5.47%,6.03%,9.33%,9.82%,10.07%,32.19%,43.90%,27.59%,57.79%,40.25%,1.01,3.58%,3.79%,22.53%,25.87%,33.60%,5.81%,8.70%,395.58,12.82,623990,21.39,23.25,25.98,23.19,24.60,15.01%
13,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",31.44,,130.98,112.58,85.95%,14.04%,0.46%,3.74%,18.67%,7.48%,4.25,8.42,0.04%,0.04%,1.35%,1.14%,1.39%,1.27%,-0.04%,-3.61%,-3.19%,-3.19%,-20.90%,-2.04%,-44.19%,-54.07%,-80.00%,-60.00%,0.03,15.24%,10.52%,-12.30%,-22.57%,-53.72%,-1.96%,2.86%,1983.99,2.15,515775,0.24,0.24,0.24,0.23,0.24,0.84%
14,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",11.38,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,0.97%,-1.08%,-2.32%,-0.19%,0.97%,-6.21%,-11.19%,-8.53%,-5.64%,0.97%,-22.21%,-38.10%,-83.32%,-96.29%,-94.60%,-97.40%,0.03,14.81%,11.74%,-23.63%,-44.94%,-94.21%,-13.03%,21.38%,1971.83,28.26,6858312,0.15,0.18,0.18,0.15,0.16,5.57%
15,"MAXN","Maxeon Solar Technologies Ltd","Technology","Solar","Singapore",12.71,,53.96,31.36,58.12%,43.70%,0.00%,90.04%,0.40%,73.19%,0.39,22.95,0.44%,0.97%,0.04%,0.97%,-1.98%,-3.18%,4.87%,4.16%,3.68%,2.79%,-9.63%,-77.85%,-88.24%,-95.22%,-99.16%,-96.82%,0.13,16.79%,26.89%,-48.80%,-84.53%,-94.30%,4.35%,-2.41%,58306.84,3.69,26451658,0.22,0.22,0.24,0.22,0.23,1.83%
16,"MUFG","Mitsubishi UFJ Financial Group, Inc. ADR","Financial","Banks - Diversified","Japan",133015.13,13.12,11688.52,11686.40,99.98%,0.02%,0.00%,7.06%,-0.97%,0.08%,4.60,9.04,0.09%,0.00%,0.09%,0.13%,0.09%,0.18%,0.26%,0.00%,0.01%,0.01%,0.44%,17.44%,13.35%,27.87%,50.93%,32.17%,0.17,1.12%,0.96%,3.72%,8.11%,19.08%,0.44%,0.44%,1965.73,5.74,1388924,11.28,11.33,11.38,11.33,11.38,0.89%
17,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",10.10,1.64,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,3.69%,6.92%,7.22%,7.67%,12.23%,-3.46%,-18.42%,-29.24%,-43.47%,-50.43%,-15.27%,-37.85%,-58.42%,-96.53%,-96.30%,-96.53%,0.06,9.46%,8.83%,-19.21%,-37.80%,-93.33%,-16.13%,30.03%,81.94,1637.90,16518176,0.35,0.46,0.48,0.34,0.38,9.06%
18,"PCT","PureCycle Technologies Inc","Industrials","Pollution & Treatment Controls","USA",1129.36,,163.55,139.69,85.41%,15.15%,0.07%,80.39%,-0.01%,29.15%,25.10,40.72,0.73%,0.88%,1.56%,1.48%,2.69%,4.41%,8.37%,8.54%,8.03%,8.89%,14.14%,17.87%,36.11%,108.51%,-35.89%,69.38%,0.37,6.05%,5.68%,19.10%,22.99%,40.26%,8.20%,2.76%,1622.46,3.97,792914,6.17,6.34,6.86,6.28,6.86,11.18%
19,"S","SentinelOne Inc","Technology","Software - Infrastructure","USA",7472.87,,269.78,262.98,97.48%,15.95%,-2.90%,58.66%,10.89%,4.31%,2.20,11.33,0.19%,-0.60%,-0.31%,-0.38%,-0.45%,-0.81%,1.85%,2.42%,2.64%,2.33%,9.16%,30.30%,16.68%,-9.15%,59.87%,-12.96%,1.09,6.00%,4.42%,16.42%,19.43%,8.95%,2.73%,0.30%,5157.53,3.36,2135757,23.18,23.25,24.19,23.22,23.88,3.04%
20,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1054.72,,88.54,77.81,87.88%,12.11%,-1.57%,32.32%,4.26%,19.19%,2.60,14.93,-0.09%,-0.21%,0.61%,0.87%,-0.31%,-2.84%,6.84%,5.89%,4.22%,3.95%,-23.44%,18.89%,141.63%,446.44%,60.11%,262.08%,1.42,12.87%,12.36%,-4.99%,22.38%,121.27%,6.27%,1.36%,5753.84,3.71,2630257,11.06,11.21,12.39,11.03,11.91,7.71%
21,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",24.20,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,-1.82%,-1.60%,4.23%,7.23%,15.48%,28.50%,7.14%,6.47%,-9.50%,-7.72%,34.33%,69.35%,-56.62%,-58.49%,-92.16%,-78.28%,0.11,25.86%,14.32%,49.88%,-7.96%,-81.86%,7.85%,59.05%,452.58,550.17,30645874,0.48,0.76,0.86,0.52,0.82,71.54%
22,"SPWR","Sunpower Corp","Technology","Solar","USA",137.35,,175.48,43.04,24.53%,75.48%,0.00%,44.93%,128.39%,67.74%,1.93,29.15,0.09%,0.57%,-0.67%,-1.74%,1.10%,3.70%,13.06%,12.73%,10.24%,13.30%,-70.90%,-71.85%,-63.43%,-75.62%,-93.04%,-83.80%,0.37,51.01%,19.83%,-66.44%,-71.73%,-77.48%,13.42%,-3.59%,15103.15,6.25,11623237,0.72,0.69,0.84,0.69,0.78,9.35%
23,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",210.41,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,-0.87%,2.38%,2.86%,1.78%,-5.68%,-4.97%,-3.07%,-9.51%,-7.33%,-3.50%,25.98%,33.69%,32.07%,17.20%,-13.43%,-1.98%,0.27,4.64%,6.11%,36.23%,28.33%,14.39%,-5.78%,32.57%,59.01,476.22,3458795,3.50,4.64,4.93,4.20,4.37,24.90%
