"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",28.47,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,-2.93%,-2.93%,-3.33%,-0.43%,-2.52%,1.75%,11.54%,11.54%,11.54%,11.54%,20.52%,12.62%,18.37%,118.87%,-15.33%,96.61%,0.14,2.78%,4.61%,22.80%,14.99%,58.65%,4/15/2024 8:30:00 AM,11.54%,5.05%,78.20,649.77,2540695,1.98,2.08,2.70,2.00,2.32,17.17%,
2,"CDT","Conduit Pharmaceuticals Inc","USA",29.52,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,1.09%,-0.55%,0.00%,-1.48%,-3.66%,-0.22%,5.94%,1.81%,-0.03%,-0.03%,-4.35%,-80.21%,-87.58%,-90.22%,-96.18%,-91.21%,0.22,35.43%,31.41%,-57.85%,-81.12%,-86.33%,,-5.06%,75.46%,313.83,2737.17,42950680,0.24,0.42,0.43,0.35,0.40,66.58%,
3,"AEON","AEON Biopharma Inc.","USA",104.45,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,-0.74%,-0.71%,-1.07%,-2.20%,-3.26%,2.69%,3.45%,5.12%,-0.74%,-0.74%,142.73%,96.32%,-62.39%,-62.71%,-66.62%,-62.92%,0.35,36.67%,17.87%,125.05%,81.10%,-55.61%,5/14/2024 4:30:00 PM,-1.48%,18.86%,1001.61,59.54,2981970,2.28,2.71,2.97,2.41,2.67,17.11%,
4,"SIEB","Siebert Financial Corp.","USA",71.78,8.35,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,-0.55%,-1.07%,1.69%,2.27%,2.27%,-2.17%,-2.17%,4.05%,-1.10%,-14.29%,-2.58%,-23.40%,7.14%,0.11,2.43%,6.23%,5.08%,-10.52%,-3.97%,,-2.17%,6.98%,16.53,379.55,313695,1.72,1.84,1.92,1.74,1.80,4.65%,
5,"VSME","Vs Media Holdings Ltd.","Hong Kong",39.82,,18.42,16.27%,0.00%,0.03%,,0.09%,0.21,0.02,-0.55%,2.79%,2.79%,-0.55%,2.84%,2.26%,0.56%,7.10%,-2.16%,-2.16%,19.87%,14.92%,-34.54%,-36.39%,,-31.59%,0.34,21.93%,21.08%,5.91%,-14.95%,-57.92%,,5.23%,-2.27%,79.17,262.22,1037997,1.76,1.72,1.85,1.69,1.81,2.84%,
6,"KZIA","Kazia Therapeutics Limited ADR","Australia",13.72,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,-0.31%,0.12%,0.19%,-0.31%,0.12%,1.90%,3.81%,11.72%,13.09%,13.09%,202.45%,139.66%,89.15%,65.96%,-41.93%,32.13%,0.17,91.66%,32.28%,67.90%,92.57%,40.15%,,13.09%,-7.96%,11754.45,3.19,1874337,0.56,0.51,0.60,0.50,0.58,4.09%,
7,"BTAI","BioXcel Therapeutics Inc","USA",46.16,,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.72,1.62,0.00%,2.50%,2.50%,0.00%,1.65%,-1.60%,-15.75%,-3.15%,-3.15%,-3.15%,13.89%,-12.77%,-55.27%,-53.23%,-88.06%,-58.31%,0.13,7.67%,9.70%,3.58%,-24.45%,-55.40%,5/9/2024 8:30:00 AM,-3.15%,4.10%,595.87,18.09,539041,1.22,1.27,1.50,1.17,1.23,0.82%,
8,"TKLF","Yoshitsu Co Ltd ADR","Japan",16.97,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,1.10%,0.26%,-1.45%,1.04%,8.91%,67.21%,57.80%,57.80%,73.41%,73.41%,82.96%,114.67%,97.89%,-32.49%,-63.42%,-33.18%,0.04,16.52%,10.35%,86.03%,94.44%,-5.84%,7/16/2024 8:30:00 AM,73.41%,-11.84%,2213.94,81.63,9036761,0.31,0.27,0.50,0.27,0.47,52.88%,
9,"KSCP","Knightscope Inc","USA",38.90,,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,5.08,8.42,0.00%,0.00%,0.68%,2.52%,4.25%,6.07%,6.07%,6.07%,6.07%,6.07%,23.60%,-4.59%,-41.30%,-46.81%,-86.25%,-50.50%,0.03,7.20%,9.25%,8.59%,-9.39%,-44.01%,05/29/2024,8.00%,0.18%,1659.22,6.31,523418,0.27,0.28,0.30,0.27,0.30,8.20%,
10,"MTNB","Matinas Biopharma Holdings Inc","USA",46.45,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,1.15%,0.00%,0.00%,1.20%,1.20%,0.00%,0.00%,0.00%,13.62%,15.75%,-8.54%,-18.41%,-49.12%,-14.34%,0.01,5.66%,5.40%,14.59%,12.47%,-12.19%,5/9/2024 4:30:00 PM,0.00%,1.42%,930.26,2.60,121062,0.18,0.19,0.19,0.18,0.19,1.42%,
