"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
22,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",7251.91,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.64,5.22,0.10%,0.07%,-0.16%,-0.68%,0.24%,-0.02%,2.74%,5.75%,6.62%,4.89%,32.57%,3.05%,67.16%,70.83%,188.15%,118.17%,4.13,9.13%,11.58%,17.23%,-7.74%,18.83%,4.55%,-1.00%,8183.67,4.63,4664027,36.89,36.52,39.20,36.31,38.18,3.50%,,
23,"ETRN","Equitrans Midstream Corporation","Energy","Oil & Gas Midstream","USA",5608.12,14.30,0.12,436.94,434.19,0.63%,0.00%,85.88%,1.82%,2.56%,2.00,11.13,-0.04%,0.00%,-0.04%,0.00%,-0.12%,0.35%,1.95%,1.95%,1.95%,1.95%,0.04%,-6.86%,4.43%,21.66%,43.09%,26.08%,0.34,2.56%,2.61%,-1.41%,-5.35%,13.97%,1.87%,0.32%,5578.84,2.19,1502261,12.56,12.60,12.86,12.52,12.84,2.19%,,
24,"FUBO","fuboTV Inc","Communication Services","Broadcasting","USA",467.51,,0.56,299.22,285.71,4.73%,-0.50%,37.80%,-5.42%,15.22%,5.01,43.49,-0.06%,-0.06%,-0.38%,0.57%,2.56%,1.57%,9.02%,7.51%,8.26%,8.26%,29.92%,32.12%,13.80%,-41.39%,-47.51%,-50.97%,0.08,6.64%,5.62%,25.83%,23.48%,-25.36%,8.64%,0.35%,8685.02,4.72,5042304,1.43,1.43,1.57,1.43,1.56,9.02%,,
25,"FULT","Fulton Financial Corp.","Financial","Banks - Regional","USA",3534.32,12.05,,181.76,179.68,1.15%,0.00%,64.31%,0.11%,4.90%,4.84,8.80,-0.10%,-0.03%,-0.26%,-0.34%,0.49%,1.08%,3.87%,6.49%,3.43%,3.43%,14.38%,22.68%,34.57%,24.73%,56.44%,18.13%,0.47,3.35%,2.23%,15.85%,15.86%,26.66%,3.93%,-0.53%,1816.85,3.46,773182,18.81,18.71,19.58,18.70,19.44,3.38%,,
26,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",23.54,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,3.82%,3.56%,2.82%,-0.84%,-4.66%,-0.81%,-12.82%,-15.71%,-25.55%,-7.27%,-5.12%,-1.92%,-0.97%,-55.07%,-63.83%,-58.37%,0.12,6.54%,3.57%,0.70%,-1.12%,-29.97%,-10.13%,15.82%,4.19,5840.42,3012838,1.96,2.27,2.36,1.95,2.04,4.08%,,
27,"GTES","Gates Industrial Corporation plc","Industrials","Specialty Industrial Machinery","USA",4621.20,19.39,2.00,264.26,207.09,20.77%,-70.87%,75.69%,-0.16%,3.34%,2.63,6.92,-0.20%,-0.23%,-0.20%,-0.23%,0.56%,0.97%,-0.45%,-1.39%,-3.30%,-3.07%,15.93%,9.95%,1.96%,32.83%,31.84%,31.74%,0.43,2.75%,2.15%,11.54%,7.24%,22.25%,-1.01%,5.24%,2631.99,5.17,1675833,16.97,17.86,17.86,17.35,17.68,4.18%,,
28,"HE","Hawaiian Electric Industries, Inc.","Utilities","Utilities - Regulated Electric","USA",1390.88,7.44,4.56,110.15,109.90,0.36%,0.00%,58.50%,0.37%,22.81%,7.81,25.07,-0.63%,-0.79%,-0.79%,0.06%,0.22%,0.40%,1.86%,4.31%,4.21%,3.62%,21.84%,28.94%,32.46%,-5.19%,-66.75%,-11.13%,0.68,11.09%,6.55%,34.35%,24.94%,6.05%,4.04%,-0.33%,3211.27,3.91,1547307,12.16,12.12,13.03,12.15,12.61,3.70%,,
29,"HNST","Honest Company Inc","Consumer Defensive","Household & Personal Products","USA",402.77,,0.34,95.87,65.36,33.74%,-3.50%,38.63%,-4.46%,2.02%,1.23,1.32,0.00%,-0.41%,1.32%,0.33%,1.86%,2.98%,10.46%,11.87%,7.17%,9.47%,39.36%,62.03%,32.14%,49.02%,143.05%,23.73%,0.20,5.99%,5.81%,42.32%,44.64%,50.15%,10.96%,3.95%,1072.26,6.27,827785,3.54,3.68,4.11,3.62,4.08,15.34%,,
30,"INTC","Intel Corp.","Technology","Semiconductors","USA",152251.60,37.26,5.01,4257.00,4254.58,0.06%,0.55%,67.03%,-1.78%,2.26%,2.03,96.01,0.00%,0.03%,0.44%,-0.04%,0.56%,-1.30%,-1.02%,-0.29%,3.97%,4.51%,2.57%,17.45%,-1.37%,-24.00%,4.06%,-28.83%,1.11,3.50%,2.61%,11.39%,14.24%,-8.03%,-0.94%,5.14%,47320.86,5.72,33305441,34.34,36.10,37.16,35.50,35.76,4.15%,,
31,"IREN","Iris Energy Ltd","Financial","Capital Markets","Australia",2353.52,,1.40,184.88,164.78,10.87%,0.00%,15.97%,-1.50%,3.68%,0.40,6.06,-0.08%,-0.58%,-0.23%,0.16%,0.16%,3.79%,5.38%,5.91%,5.64%,4.43%,-1.32%,-3.71%,192.64%,164.66%,81.08%,78.04%,1.47,16.05%,12.25%,-2.50%,28.54%,107.59%,6.30%,-2.96%,15163.84,2.19,4081024,12.34,11.98,12.92,11.89,12.73,3.16%,,
32,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",41.59,,0.02,130.98,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,4.73,8.42,0.79%,1.41%,0.83%,1.67%,2.22%,1.80%,2.42%,1.80%,1.73%,-4.71%,26.34%,0.16%,-35.30%,-39.88%,-80.87%,-47.08%,0.03,8.86%,9.82%,16.38%,-2.12%,-39.90%,1.93%,2.67%,1779.93,5.59,1200438,0.30,0.31,0.32,0.30,0.32,4.65%,,
33,"KZIA","Kazia Therapeutics Limited ADR","Healthcare","Biotechnology","Australia",14.88,,0.10,23.63,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,0.70%,3.88%,3.50%,4.51%,1.60%,3.23%,14.61%,21.79%,13.48%,12.28%,-5.73%,173.79%,116.46%,90.82%,-35.06%,43.32%,0.17,94.38%,32.98%,73.54%,104.95%,52.87%,17.74%,-6.52%,12151.00,3.12,4664483,0.57,0.54,0.64,0.54,0.63,10.06%,,
34,"LCFY","Locafy Limited","Communication Services","Internet Content & Information","Australia",10.07,,0.39,1.28,0.99,22.43%,0.00%,0.80%,10.86%,0.24%,0.00,0.00,1.40%,2.71%,2.64%,3.65%,4.61%,3.89%,7.37%,17.28%,29.86%,46.44%,240.20%,160.81%,87.93%,-15.13%,-3.75%,-13.03%,1.22,98.70%,29.40%,156.92%,159.22%,37.99%,9.02%,32.84%,956.90,126.91,14946885,5.45,7.24,8.45,7.05,7.89,44.82%,,
35,"LCID","Lucid Group Inc","Consumer Cyclical","Auto Manufacturers","USA",9309.35,,1.73,2299.25,860.11,62.72%,0.00%,12.20%,0.63%,29.24%,8.99,251.51,-0.37%,0.62%,0.13%,0.50%,1.77%,1.72%,1.38%,4.94%,5.63%,4.53%,28.10%,60.12%,68.12%,40.10%,-42.60%,-4.16%,0.26,13.85%,6.86%,36.66%,41.58%,16.53%,4.81%,-3.02%,27972.52,2.96,10174869,3.97,3.85,4.07,3.85,4.03,1.64%,,
36,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",25.56,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-1.36%,-3.71%,-3.97%,-4.17%,-3.01%,-4.79%,-6.72%,-3.93%,-1.35%,12.75%,-11.54%,26.18%,14.02%,-61.30%,-88.60%,-70.40%,0.71,27.05%,22.18%,61.19%,120.57%,-55.22%,-3.94%,19.03%,9500.39,18.41,21525573,3.52,4.19,4.88,4.01,4.03,14.35%,,
37,"LMND","Lemonade Inc","Financial","Insurance - Property & Casualty","USA",1658.51,,,70.16,50.83,27.90%,0.09%,40.67%,6.78%,32.70%,11.10,16.62,-0.04%,0.00%,0.11%,-0.19%,0.23%,1.14%,6.28%,7.32%,7.67%,5.87%,27.92%,63.60%,46.57%,48.42%,17.27%,45.85%,0.99,6.49%,5.00%,36.48%,38.77%,44.83%,6.45%,-1.95%,1497.58,3.46,637927,22.54,22.10,23.71,21.90,23.52,4.37%,,
38,"LODE","Comstock Inc","Basic Materials","Other Precious Metals & Mining","USA",23.36,2.49,0.14,138.25,126.38,8.58%,13.00%,6.85%,-7.01%,1.16%,0.85,1.47,0.00%,-0.35%,-0.29%,-0.12%,0.12%,0.24%,-2.09%,2.42%,-2.09%,-2.09%,5.62%,-12.98%,-45.89%,-66.11%,-74.57%,-69.16%,0.02,11.76%,9.94%,1.82%,-20.09%,-55.09%,-1.92%,2.01%,1734.91,4.07,852255,0.17,0.17,0.17,0.17,0.17,0.06%,,
39,"LPA","Logistic Properties of the Americas","Real Estate","Real Estate - Development","USA",831.75,545.32,0.00,4.19,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.05,0.02,1.34%,1.63%,0.75%,-0.83%,-3.67%,-8.35%,-13.97%,-5.24%,11.57%,10.86%,203.94%,59.26%,247.42%,148.39%,157.92%,147.69%,13.55,61.60%,28.07%,90.86%,-6.09%,81.21%,-7.08%,8.58%,336.80,35.95,1490031,26.00,28.23,32.00,25.31,26.23,0.88%,,
40,"LPSN","Liveperson Inc","Technology","Software - Application","USA",87.24,,1.46,87.84,69.44,21.63%,-0.46%,55.09%,-1.25%,11.58%,2.49,8.04,0.41%,0.41%,-1.34%,-1.55%,-1.03%,3.97%,11.14%,11.87%,10.62%,8.94%,33.89%,64.06%,73.57%,-69.14%,-78.12%,-74.02%,0.08,12.93%,11.97%,49.31%,49.98%,-49.44%,10.62%,0.93%,3235.24,4.12,1639951,0.88,0.89,1.03,0.89,0.98,11.65%,,
41,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",15.08,,0.01,73.20,52.99,27.61%,46.08%,9.12%,53.78%,1.90%,0.60,1.01,0.00%,-0.63%,-0.63%,-0.63%,1.48%,-0.19%,2.49%,1.43%,5.64%,5.59%,10.40%,-11.40%,-75.15%,-95.80%,-93.25%,-96.55%,0.03,9.58%,11.05%,-6.99%,-37.90%,-92.57%,-1.90%,5.05%,1677.75,5.65,1166423,0.20,0.21,0.21,0.20,0.21,3.05%,,
42,"M","Macy's Inc","Consumer Cyclical","Department Stores","USA",4668.56,456.49,3.17,276.41,274.33,0.75%,-12.92%,81.65%,-4.75%,4.78%,2.55,13.12,0.00%,0.24%,0.36%,0.36%,0.75%,0.54%,0.66%,1.14%,1.38%,0.66%,-10.26%,-8.01%,-11.06%,-7.04%,6.03%,-16.05%,0.79,3.20%,3.13%,-9.02%,-11.17%,-4.01%,1.14%,-0.65%,5141.70,2.02,1276151,16.81,16.70,16.90,16.65,16.89,0.48%,,
43,"MARA","Marathon Digital Holdings Inc","Financial","Capital Markets","USA",7333.64,11.05,5.71,272.96,270.84,0.77%,-0.48%,41.25%,-2.90%,26.02%,1.48,70.47,-0.27%,-0.64%,-0.48%,-0.45%,-0.64%,2.35%,3.41%,3.85%,4.30%,2.55%,42.23%,37.99%,84.02%,51.11%,55.66%,14.38%,1.75,8.89%,7.40%,30.64%,33.23%,50.29%,4.02%,-3.33%,47679.61,2.14,12559738,26.72,25.83,27.30,25.73,26.87,0.55%,,
44,"MCRB","Seres Therapeutics Inc","Healthcare","Biotechnology","USA",213.42,,0.73,135.04,119.86,20.86%,-0.14%,41.43%,12.80%,17.26%,4.20,20.69,0.36%,0.59%,0.54%,0.30%,0.40%,2.11%,2.86%,14.57%,11.84%,11.84%,42.82%,98.96%,121.54%,14.57%,-70.33%,0.66%,0.12,14.48%,11.46%,64.79%,56.83%,30.38%,11.84%,-0.79%,4921.84,3.63,2200536,1.27,1.26,1.42,1.26,1.41,10.96%,,
45,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",24.12,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.31%,0.63%,0.73%,-0.31%,-0.47%,0.87%,-3.36%,-2.16%,-3.65%,-5.66%,-23.43%,-21.15%,23.82%,-49.77%,-86.22%,-65.24%,2.43,30.92%,45.59%,-62.13%,-39.76%,-75.83%,-5.66%,18.31%,8908.97,10.57,11584935,2.84,3.36,3.38,3.10,3.17,11.62%,,
46,"NAAS","Naas Technology Inc ADR","Consumer Cyclical","Specialty Retail","China",19.74,,9.81,4.24,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.05,0.07,0.05%,0.64%,-0.36%,1.95%,6.56%,8.28%,10.42%,8.53%,10.83%,8.78%,0.64%,-17.80%,-77.57%,-83.18%,-95.61%,-84.51%,1.12,55.33%,31.93%,27.92%,-39.87%,-84.29%,9.54%,-7.73%,1379.60,4.73,802437,4.66,4.30,4.77,3.90,4.71,1.08%,,
47,"NFE","New Fortress Energy Inc","Utilities","Utilities - Regulated Gas","USA",4897.47,10.89,1.54,205.00,115.64,43.61%,0.00%,52.44%,-0.93%,14.70%,8.54,17.00,-0.18%,-0.20%,0.03%,-0.82%,-0.18%,0.69%,2.02%,5.12%,6.15%,6.19%,22.16%,8.31%,-13.50%,-32.46%,-12.13%,-36.70%,0.99,4.00%,4.57%,14.45%,1.71%,-21.62%,5.49%,1.71%,1989.47,4.92,1204968,22.26,22.64,24.08,22.63,23.88,7.29%,,
48,"OKLO","Oklo Inc.","Utilities","Utilities - Regulated Electric","USA",1167.28,51.12,0.00,122.10,69.37,43.19%,0.00%,19.52%,0.29%,7.99%,1.41,5.54,0.10%,-0.78%,0.05%,-0.05%,0.42%,1.10%,9.13%,9.26%,12.14%,11.03%,22.88%,1.06%,-24.84%,-9.98%,-7.63%,-9.47%,0.94,11.05%,10.18%,11.81%,-0.68%,-10.11%,9.57%,-0.96%,3923.31,3.96,1912137,8.81,8.73,9.76,8.72,9.56,8.51%,,
49,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",2105.86,,1.91,677.64,560.46,18.96%,-1.41%,55.81%,-3.59%,15.00%,5.11,84.07,0.00%,-0.13%,0.33%,1.00%,-0.49%,2.89%,7.20%,9.53%,8.32%,9.14%,60.26%,47.82%,40.97%,-5.43%,-29.43%,-32.03%,0.19,10.42%,7.38%,54.69%,43.02%,11.41%,9.93%,-5.14%,16451.55,6.89,13941908,2.92,2.77,3.09,2.75,3.05,4.28%,,
50,"OTLY","Oatly Group AB ADR","Consumer Defensive","Packaged Foods","Sweden",642.39,,0.35,594.81,554.89,6.71%,0.00%,5.76%,-8.75%,3.48%,12.57,19.32,0.93%,-0.92%,-0.46%,-0.92%,1.41%,3.85%,5.88%,5.90%,5.88%,5.88%,17.63%,10.88%,19.39%,1.89%,-50.46%,-8.47%,0.05,5.78%,4.89%,12.58%,1.91%,8.15%,5.88%,-0.97%,1537.78,4.84,916583,1.03,1.02,1.09,1.00,1.08,4.85%,,
51,"PACB","Pacific Biosciences of California Inc","Healthcare","Medical Devices","USA",600.55,,2.06,267.74,264.11,3.03%,-1.88%,92.40%,-6.30%,21.38%,5.34,56.47,-0.23%,-0.16%,0.00%,0.46%,1.61%,5.46%,3.04%,3.52%,6.52%,5.50%,69.62%,25.28%,57.50%,-65.65%,-84.17%,-77.52%,0.19,16.13%,10.29%,50.49%,27.33%,-57.28%,7.04%,-5.29%,10571.36,3.22,4195960,2.17,2.06,2.24,2.02,2.20,1.38%,,
