"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",98.37,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.03%,-0.32%,-1.36%,-0.68%,-1.36%,-1.39%,-1.39%,-4.76%,-5.48%,-5.45%,8.70%,16.99%,13.16%,19.01%,-87.32%,31.48%,0.08,4.25%,7.04%,14.30%,18.03%,-24.62%,-3.46%,6.72%,879.73,17.12,1853539,1.34,1.43,1.43,1.36,1.38,3.02%,,
2,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",572.42,38.22,1.65,28.54,27.11,6.23%,-0.48%,64.48%,35.54%,21.56%,5.62,5.85,-0.30%,-0.03%,-0.55%,-1.15%,-0.85%,-1.80%,-1.30%,6.34%,7.61%,7.61%,28.65%,49.89%,70.84%,14.52%,-62.05%,-25.37%,1.27,10.26%,7.48%,59.47%,62.95%,3.42%,2.43%,14.79%,1040.43,26.14,3347392,16.84,19.33,21.12,19.20,19.80,17.58%,,
3,"AGL","Agilon Health Inc","Healthcare","Medical Care Facilities","USA",3107.07,,1.04,406.39,302.55,26.43%,0.00%,83.94%,1.85%,14.32%,9.55,43.31,-0.10%,-0.22%,0.73%,0.82%,0.62%,0.07%,3.00%,1.01%,0.47%,1.14%,33.95%,9.49%,68.64%,0.87%,-55.48%,-39.80%,0.44,7.92%,6.61%,19.45%,24.30%,-15.16%,3.49%,-2.14%,4533.69,2.09,1163754,7.46,7.30,7.59,7.25,7.55,1.27%,,
4,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",25.17,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.01,0.03,0.03%,-2.93%,-1.51%,0.01%,1.48%,3.05%,21.77%,25.19%,22.94%,21.77%,147.60%,-8.25%,-51.81%,,,-73.58%,0.28,28.90%,24.69%,48.33%,-21.47%,-52.03%,21.77%,3.77%,3072.63,19.43,7347879,1.06,1.10,1.50,1.07,1.34,26.37%,,
5,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",16.00,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.80%,-1.68%,-0.56%,1.73%,-0.39%,2.92%,-6.88%,-12.00%,-17.75%,6.02%,-15.38%,-21.60%,-15.18%,-9.25%,-74.21%,-44.91%,0.30,19.99%,15.90%,1.18%,-11.27%,-24.15%,-9.74%,24.20%,86.26,583.15,6190710,1.57,1.95,1.94,1.68,1.76,12.10%,,
6,"ATHE","Alterity Therapeutics Ltd ADR","Healthcare","Biotechnology","Australia",19.40,,0.96,8.74,8.33,4.67%,0.00%,1.07%,-24.29%,0.16%,0.34,0.01,-0.27%,0.00%,-0.30%,0.45%,0.45%,-1.76%,0.91%,-21.83%,-21.83%,-21.83%,23.95%,14.43%,-24.49%,16.84%,-18.38%,-10.84%,0.11,5.20%,4.27%,20.46%,15.16%,3.45%,0.45%,10.08%,39.68,107.25,523727,2.01,2.21,2.29,2.09,2.22,10.57%,,
7,"ATUS","Altice USA Inc","Communication Services","Telecom Services","USA",857.83,136.13,0.62,271.77,205.54,55.31%,0.00%,51.46%,2.95%,12.05%,8.61,24.76,0.00%,-0.27%,-0.27%,0.00%,1.36%,1.63%,-2.87%,-0.27%,0.27%,0.27%,-0.27%,-11.19%,-3.87%,-25.10%,-36.35%,-42.62%,0.13,7.99%,5.99%,-7.26%,-14.62%,-23.36%,-0.27%,0.54%,2877.02,2.66,943032,1.86,1.87,1.95,1.82,1.87,0.27%,,
8,"BE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts","USA",3791.23,,2.50,224.72,193.01,14.98%,-0.44%,76.89%,11.86%,23.50%,6.41,45.35,0.18%,0.12%,0.19%,-0.65%,-2.91%,0.18%,2.76%,1.89%,0.48%,-2.51%,30.47%,16.54%,69.03%,40.93%,-9.34%,12.84%,1.02,7.27%,6.49%,28.70%,21.94%,37.51%,1.92%,8.65%,7074.27,6.88,5993118,15.08,16.39,17.23,15.74,16.70,10.74%,,
9,"BIRD","Allbirds Inc","Consumer Cyclical","Apparel Retail","USA",119.66,,0.65,102.58,102.03,35.20%,-0.06%,23.82%,3.14%,9.82%,7.57,10.01,0.07%,1.27%,1.73%,3.16%,4.83%,6.50%,8.63%,8.59%,8.57%,8.57%,31.76%,44.16%,24.49%,-23.23%,-41.98%,-37.96%,0.07,20.50%,10.44%,34.92%,27.64%,-8.37%,8.57%,1.73%,1322.52,3.62,589159,0.69,0.70,0.76,0.69,0.76,10.45%,,
10,"BITF","Bitfarms Ltd.","Financial","Capital Markets","Canada",1243.96,,0.31,334.15,321.53,19.33%,0.00%,22.53%,,7.60%,1.10,24.43,-0.29%,-0.45%,-0.13%,0.54%,0.67%,4.01%,6.15%,7.99%,7.95%,5.44%,27.91%,8.74%,82.51%,35.10%,69.61%,7.25%,0.21,6.63%,7.73%,14.93%,33.14%,46.46%,7.54%,-2.29%,22208.76,2.39,6526468,2.97,2.90,3.15,2.90,3.12,5.08%,,
11,"BTBT","Bit Digital Inc","Financial","Capital Markets","USA",525.12,14.26,1.42,121.00,120.26,0.61%,0.00%,34.47%,-41.89%,19.01%,2.56,22.86,-0.46%,-0.46%,-0.58%,0.28%,0.46%,1.40%,5.98%,5.33%,2.84%,2.84%,29.55%,62.54%,138.45%,56.11%,6.63%,2.60%,0.32,8.18%,10.18%,30.10%,53.68%,63.52%,5.85%,-3.30%,8945.65,3.66,4027198,4.24,4.10,4.37,4.06,4.34,2.35%,,
12,"BYND","Beyond Meat Inc","Consumer Defensive","Packaged Foods","USA",493.74,,2.48,64.62,60.72,6.41%,0.00%,47.31%,-38.46%,39.32%,9.25,23.87,-0.13%,-0.46%,0.13%,0.13%,-0.39%,0.46%,4.02%,4.68%,5.26%,2.84%,11.59%,14.44%,16.01%,4.39%,-54.73%,-14.49%,0.44,6.36%,6.19%,12.83%,6.04%,1.04%,6.43%,-4.54%,2581.67,3.62,1149091,7.49,7.15,7.66,7.13,7.61,1.60%,,
13,"CAN","Canaan Inc ADR","Technology","Computer Hardware","Singapore",331.65,,0.21,213.56,149.26,,,20.78%,-7.37%,17.69%,3.09,26.41,-0.86%,-2.19%,-1.19%,-1.57%,0.11%,1.63%,6.83%,6.86%,7.76%,5.93%,22.55%,22.55%,13.64%,-40.48%,-57.12%,-45.89%,0.10,9.38%,8.90%,16.57%,20.87%,-17.36%,5.93%,-2.48%,8536.58,3.75,3945197,1.21,1.18,1.31,1.15,1.25,3.31%,,
14,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",18.64,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.47%,0.28%,0.36%,-0.98%,-1.75%,-2.96%,-4.72%,-3.44%,-9.11%,-8.18%,-14.41%,-85.97%,-91.83%,-92.89%,-97.59%,-94.45%,0.21,43.08%,31.84%,-71.01%,-87.76%,-91.27%,-6.48%,7.53%,2032.29,51.02,12762329,0.25,0.27,0.28,0.25,0.25,0.56%,,
15,"CFG","Citizens Financial Group Inc","Financial","Banks - Regional","USA",18637.62,14.80,,466.42,451.24,0.83%,-0.29%,94.99%,-0.02%,2.06%,1.99,9.31,-0.46%,-0.09%,-0.22%,-0.04%,-0.19%,0.19%,5.12%,6.39%,3.43%,10.70%,11.67%,20.22%,26.38%,31.28%,45.87%,23.60%,0.96,2.17%,2.11%,13.58%,15.05%,28.16%,4.76%,-1.26%,4681.06,3.65,2102207,39.60,39.10,41.23,38.88,40.96,3.43%,,
16,"CHRS","Coherus Biosciences Inc","Healthcare","Biotechnology","USA",213.40,,2.26,112.22,110.09,4.04%,0.00%,69.93%,-1.48%,20.92%,13.92,23.04,-0.27%,-0.53%,0.27%,0.00%,1.06%,1.75%,4.21%,3.33%,3.33%,3.33%,30.07%,10.06%,-13.49%,-20.85%,-57.44%,-44.14%,0.13,8.72%,8.18%,18.32%,3.08%,-20.82%,4.49%,-1.11%,1654.37,3.27,666381,1.80,1.78,1.88,1.71,1.86,3.33%,,
17,"CHX","ChampionX Corp.","Energy","Oil & Gas Equipment & Services","USA",6607.92,18.85,2.03,191.10,188.92,0.79%,-1.77%,103.08%,-0.75%,2.56%,2.49,4.83,-0.09%,-0.06%,-0.14%,-0.12%,0.17%,0.35%,-0.12%,-0.06%,-0.29%,-0.29%,9.09%,14.94%,-5.29%,33.21%,1.08%,18.79%,0.81,2.88%,2.41%,6.36%,6.07%,9.20%,0.29%,0.23%,1936.91,8.77,2090588,34.52,34.60,34.79,34.29,34.70,0.52%,,
18,"CIFR","Cipher Mining Inc","Financial","Capital Markets","USA",2260.12,150.62,0.68,290.96,192.19,38.01%,-6.62%,16.62%,-2.08%,11.55%,2.53,22.21,-0.82%,-1.22%,-1.09%,1.39%,1.96%,5.81%,8.16%,9.30%,10.44%,6.89%,64.56%,47.27%,116.96%,151.38%,53.15%,76.51%,0.57,11.87%,10.22%,53.89%,68.71%,101.77%,10.29%,-2.51%,8768.01,5.25,5664775,6.78,6.61,7.99,6.58,7.29,7.52%,,
19,"COMP","Compass Inc","Real Estate","Real Estate Services","USA",2385.91,,0.34,465.63,385.25,22.09%,-13.40%,45.43%,0.44%,6.63%,6.63,25.56,-0.24%,-0.31%,-0.76%,-0.21%,-0.72%,0.31%,2.88%,2.88%,1.58%,1.58%,32.19%,32.55%,39.86%,49.84%,23.72%,28.32%,0.23,6.63%,5.10%,30.05%,26.90%,48.44%,4.66%,-2.95%,3855.00,2.11,1001021,4.75,4.61,4.89,4.59,4.82,1.58%,,
20,"CORZ","Core Scientific Inc","Technology","Software - Infrastructure","USA",2161.80,115.48,0.64,386.88,145.91,17.93%,1.11%,28.02%,,22.62%,3.07,33.00,-0.37%,-0.41%,-0.49%,-0.35%,1.29%,0.97%,6.57%,5.01%,5.28%,3.05%,24.46%,17.72%,347.06%,,,253.49%,0.89,7.37%,9.10%,23.96%,69.88%,145.64%,6.25%,-2.18%,10763.22,3.16,4191878,11.70,11.44,12.25,11.26,12.16,3.93%,,
21,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",158.95,,0.07,180.67,168.37,6.81%,0.00%,14.92%,-6.74%,8.41%,6.43,14.15,0.48%,-0.31%,-1.15%,-0.33%,-0.57%,-0.01%,-1.11%,-1.70%,0.57%,1.48%,17.97%,40.63%,17.34%,17.31%,-29.05%,16.30%,0.06,11.38%,9.92%,37.01%,34.33%,20.45%,-1.09%,4.65%,2201.69,2.46,653145,0.85,0.89,0.89,0.86,0.88,3.51%,,
