"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",36.57,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,0.34%,0.00%,0.68%,-1.34%,-2.00%,-3.29%,-2.97%,-8.13%,-8.13%,,,,,,20.00%,1.37,,,20.00%,20.00%,20.00%,-8.12%,30.61%,2081.96,35.56,3701891,2.45,3.20,3.28,2.83,2.94,20.00%,,
2,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",47.59,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,-1.23%,-2.13%,-1.83%,-1.22%,-6.12%,-6.39%,-9.55%,3.54%,27.78%,27.78%,309.67%,353.52%,270.11%,238.95%,,206.67%,0.67,93.07%,32.01%,206.27%,262.82%,131.39%,35.86%,0.42%,3780.30,67.47,12752836,2.36,2.37,3.77,2.35,3.22,36.44%,,
3,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",15.53,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,0.85%,2.64%,-0.87%,5.44%,0.85%,11.52%,13.71%,1.74%,-2.54%,-2.54%,170.35%,215.33%,45.34%,-79.60%,-88.59%,-87.45%,0.12,11.55%,14.43%,233.22%,104.28%,-74.44%,2.64%,188.71%,1037.59,482.41,25027448,0.39,1.13,1.38,0.98,1.16,196.32%,,
4,"VSME","Vs Media Holdings Ltd.","Communication Services","Advertising Agencies","Hong Kong",39.16,,,20.00,18.42,92.10%,16.27%,0.00%,0.03%,,0.29%,0.38,0.05,22.59%,-36.47%,-51.71%,0.56%,0.56%,-0.56%,0.00%,-3.78%,-4.30%,-1.11%,-3.26%,-7.77%,-7.77%,-11.00%,2.89%,-39.74%,-60.82%,,-32.73%,0.35,15.11%,22.06%,-2.89%,-11.74%,-49.81%,-13.17%,24.23%,138.88,412.41,2863786,1.65,2.05,2.06,1.75,1.78,7.87%,,
