"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AAPU","Direxion Daily AAPL Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.08%,0.35%,-0.08%,-0.65%,-0.70%,-0.68%,-1.22%,-1.07%,-0.85%,-0.82%,5.17%,18.24%,67.38%,54.41%,40.98%,45.45%,1.56,3.89%,4.74%,13.89%,31.83%,51.67%,6.74,651502,38.74,40.69,40.92,39.69,39.87,2.91%
2,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",1771.29,,1.21,265.62,202.65,40.57%,22.82%,34.55%,-4.06%,24.81%,7.24,50.28,0.31%,0.19%,0.29%,0.48%,1.96%,1.37%,-3.44%,-3.44%,-3.08%,-4.33%,15.96%,54.61%,29.55%,-0.48%,1.86%,-15.39%,0.30,7.36%,7.77%,36.57%,42.13%,8.67%,4.37,3216050,5.05,5.31,5.31,5.07,5.20,2.87%
3,"ADAP","Adaptimmune Therapeutics Plc ADR","Healthcare","Biotechnology","United Kingdom",333.43,,0.56,227.17,226.10,11.50%,-0.44%,51.93%,-0.50%,2.50%,3.51,5.64,-0.38%,-0.68%,-1.14%,-2.25%,-1.13%,-3.10%,1.95%,1.95%,3.36%,3.36%,12.50%,25.48%,12.50%,48.31%,40.32%,64.56%,0.10,8.25%,7.79%,26.86%,22.02%,36.07%,7.35,1253512,1.28,1.30,1.35,1.07,1.30,1.95%
4,"AEON","AEON Biopharma Inc.","Healthcare","Biotechnology","USA",83.72,,0.04,37.16,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,1.69,0.15,2.88%,1.90%,-4.02%,-16.73%,-7.96%,10.88%,26.63%,37.18%,50.71%,50.71%,109.80%,41.72%,-71.84%,-69.65%,-71.47%,-70.28%,0.25,9.93%,11.72%,87.65%,42.65%,-64.55%,136.30,1250382,1.40,1.83,2.70,1.63,2.14,52.86%
5,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",20.11,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.07,0.03,0.00%,0.00%,0.00%,-12.30%,8.08%,11.46%,7.96%,-2.73%,33.92%,33.92%,101.13%,-24.11%,-62.59%,,,-78.90%,0.22,10.71%,21.16%,14.93%,-40.19%,-62.05%,713.19,34374828,0.62,0.95,1.22,0.91,1.07,73.14%
6,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",4.90,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-1.87%,-4.03%,-0.13%,2.12%,-3.36%,1.50%,-11.46%,0.41%,32.81%,38.85%,75.19%,163.57%,130.64%,256.76%,-62.74%,165.78%,0.10,9.76%,17.45%,79.81%,105.65%,129.33%,88.40,61106989,0.52,0.97,1.03,0.79,0.82,58.35%
7,"ARQQ","Arqit Quantum Inc","Technology","Software - Infrastructure","United Kingdom",65.68,,0.13,163.55,63.20,62.47%,0.00%,5.34%,26.67%,4.88%,1.72,3.08,-0.51%,-0.51%,-0.51%,0.00%,0.00%,0.00%,1.67%,1.67%,2.23%,2.23%,13.74%,1.40%,-21.48%,-13.53%,-70.90%,-17.72%,0.03,9.95%,8.91%,16.51%,3.62%,-22.13%,3.39,643230,0.36,0.39,0.40,0.38,0.39,8.03%
8,"ARTL","Artelo Biosciences Inc","Healthcare","Biotechnology","USA",4.62,,2.36,3.23,3.20,0.83%,0.00%,0.77%,37.00%,0.44%,1.18,0.01,0.77%,-3.17%,-3.30%,-3.30%,-5.85%,-2.64%,3.70%,-5.23%,14.49%,14.49%,8.41%,7.60%,-6.16%,-1.98%,-29.10%,2.22%,0.08,3.28%,4.47%,8.69%,5.41%,1.59%,2670.86,3392977,1.29,1.34,1.55,1.34,1.43,10.52%
9,"ASNS","Actelis Networks Inc","Technology","Communication Equipment","USA",13.00,,0.47,6.02,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.09,0.42,-0.50%,1.41%,1.44%,6.93%,6.93%,9.64%,1.41%,3.98%,19.34%,17.39%,35.85%,44.00%,152.01%,81.51%,-37.75%,92.86%,0.33,11.39%,18.27%,28.99%,85.00%,93.29%,6.49,3338155,1.86,2.02,2.21,1.86,2.16,16.13%
10,"AUR","Aurora Innovation Inc","Technology","Information Technology Services","USA",6489.58,,0.72,1162.00,791.49,49.02%,2.52%,42.00%,-4.95%,10.81%,9.16,85.57,-0.23%,-0.83%,-0.24%,1.20%,2.20%,1.95%,7.73%,7.18%,7.18%,8.57%,40.27%,65.22%,36.16%,27.83%,27.05%,-4.35%,0.23,7.91%,6.87%,52.69%,53.28%,54.02%,4.19,4147430,3.70,3.90,4.23,3.88,4.18,12.97%
11,"BETR","Better Home & Finance Holding Co.","Financial","Mortgage Finance","USA",423.67,,0.67,359.36,242.47,67.96%,-0.53%,11.63%,0.29%,2.45%,4.70,5.95,1.62%,1.62%,0.27%,1.63%,2.75%,3.69%,3.21%,2.75%,5.64%,5.64%,11.98%,62.71%,25.71%,-16.43%,-94.59%,-31.43%,0.04,10.62%,9.90%,23.95%,38.50%,16.49%,6.58,883382,0.55,0.55,0.57,0.54,0.56,2.72%
