"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",40.06,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,31.43%,1.37,,,31.43%,31.43%,31.43%,0.62%,30.61%,2081.96,29.85,3107547,2.45,3.20,3.28,3.17,3.22,31.43%,,
2,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",15.80,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,175.06%,220.83%,47.87%,-79.24%,-88.39%,-87.23%,0.11,11.55%,14.43%,239.02%,107.84%,-74.00%,4.42%,188.71%,1037.59,187.30,9716963,0.39,1.13,1.22,1.13,1.18,201.48%,,
3,"VSME","Vs Media Holdings Ltd.","Communication Services","Advertising Agencies","Hong Kong",43.34,,,20.00,18.42,92.10%,16.27%,0.00%,0.03%,,0.29%,0.38,0.05,22.59%,-36.47%,-51.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.50%,13.87%,-33.31%,-56.64%,,-25.55%,0.35,15.11%,22.06%,7.47%,-2.32%,-44.46%,-3.90%,24.23%,138.88,366.67,2546136,1.65,2.05,2.06,1.97,1.97,19.39%,,
