"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",23.63,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,-0.65%,2.37%,10.00%,-4.42%,6.97%,-1.00%,-15.45%,-20.79%,91.04%,101.97%,54.27%,40.18%,23.05%,-36.04%,,-51.96%,0.03,15.15%,8.56%,53.24%,33.84%,-59.57%,-6.97%,130.77%,253.80,2842.19,62424366,0.14,0.33,0.34,0.26,0.31,114.69%
2,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",14471.85,55.68,676.60,661.79,97.81%,2.57%,-0.16%,96.45%,-3.85%,2.90%,3.21,19.21,0.09%,-1.08%,-1.18%,-0.77%,-1.59%,-3.68%,-1.68%,-1.68%,-1.68%,-1.68%,-1.05%,-3.68%,-12.72%,-3.12%,-7.37%,-6.68%,0.58,2.86%,2.58%,0.55%,-6.15%,-5.98%,-3.60%,4.79%,5992.72,2.41,1248785,21.09,22.10,22.21,21.27,21.31,1.02%
3,"AZTR","Azitra Inc","Healthcare","Biotechnology","USA",10.71,,0.96,0.54,56.25%,44.22%,,5.20%,,4.36%,0.24,0.02,4.69%,4.80%,28.87%,25.82%,28.72%,100.72%,109.77%,431.43%,588.89%,588.89%,374.89%,173.13%,90.77%,-77.04%,-90.79%,-59.57%,1.24,16.99%,20.77%,312.54%,157.86%,-47.88%,83.55%,275.31%,100.19,2607.67,22608941,1.62,6.08,11.16,6.08,11.16,588.89%
4,"BCAB","BioAtla Inc","Healthcare","Biotechnology","USA",84.50,,48.08,38.78,80.66%,19.40%,0.00%,51.13%,11.55%,13.53%,6.04,5.25,-3.30%,-4.04%,-5.08%,-5.84%,-1.90%,2.09%,-8.03%,-12.13%,-5.08%,-5.08%,-14.34%,16.29%,-19.45%,-12.20%,-40.07%,-28.62%,0.21,14.33%,13.05%,13.84%,-2.23%,-18.52%,-2.44%,3.45%,868.57,11.36,854032,1.74,1.80,1.91,1.71,1.76,0.92%
5,"FEIM","Frequency Electronics, Inc.","Technology","Communication Equipment","USA",126.69,38.99,9.37,8.47,90.39%,10.74%,1.29%,57.89%,-1.15%,0.25%,1.05,0.02,1.13%,1.85%,2.69%,-0.00%,3.65%,-2.98%,4.30%,-1.19%,-7.87%,-1.91%,39.50%,46.22%,39.79%,28.24%,96.32%,21.92%,0.62,5.90%,3.54%,46.02%,43.80%,39.57%,1.91%,29.70%,19.73,543.41,927646,10.10,13.10,14.00,12.80,13.35,32.18%
6,"GENI","Genius Sports Limited","Communication Services","Internet Content & Information","United Kingdom",1410.00,,209.12,153.14,73.23%,27.39%,0.00%,64.16%,-1.95%,6.28%,5.32,9.61,0.53%,1.29%,-0.49%,-0.45%,2.53%,-1.26%,-0.96%,-1.40%,-2.27%,-0.22%,10.31%,23.34%,30.57%,5.94%,-11.10%,8.17%,0.26,5.37%,4.24%,19.25%,23.29%,17.00%,-1.26%,7.12%,1805.30,7.83,1222944,6.32,6.77,6.88,6.46,6.68,5.78%
7,"GOVX","Geovax Labs Inc","Healthcare","Biotechnology","USA",14.21,,4.64,4.57,98.49%,1.45%,18.97%,5.19%,,27.50%,0.41,1.26,-2.46%,-1.26%,-2.48%,-1.38%,3.27%,5.22%,2.75%,2.07%,3.10%,9.36%,3.45%,31.42%,97.55%,-29.14%,-63.55%,-43.45%,0.49,10.71%,25.67%,6.10%,41.73%,-20.54%,5.59%,8.61%,3064.21,2.19,581079,2.67,2.90,3.20,2.76,3.06,14.68%
8,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",10.61,1.01,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,-0.87%,-1.72%,-1.72%,3.64%,-0.02%,-2.08%,-5.00%,-8.05%,-16.18%,-1.20%,-12.31%,-21.92%,-75.05%,-70.65%,-94.53%,-93.15%,0.12,30.03%,18.41%,2.24%,-34.99%,-87.68%,-6.40%,13.20%,950.04,24.29,1996866,0.54,0.61,0.61,0.54,0.57,5.95%
9,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.39,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.01%,-0.01%,0.10%,2.47%,1.77%,-0.29%,0.31%,1.03%,5.49%,6.39%,-5.49%,-2.49%,-41.20%,-45.24%,-40.23%,-32.96%,0.05,5.69%,5.78%,-3.59%,-17.43%,-32.10%,0.97%,1.97%,222.75,47.34,912560,0.70,0.71,0.72,0.70,0.72,2.96%
10,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",12.19,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,0.06%,-0.54%,-1.65%,-1.60%,-3.65%,-4.91%,-4.75%,-3.76%,6.05%,8.12%,-16.71%,-33.72%,-82.14%,-96.03%,-94.22%,-97.21%,0.03,14.81%,11.74%,-18.23%,-41.04%,-93.80%,-6.88%,21.38%,1971.83,32.34,5518459,0.15,0.18,0.18,0.17,0.17,13.03%
