"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AAGR","African Agriculture Holdings Inc","Consumer Defensive","Farm Products","USA",11.28,,57.87,15.65,27.04%,72.96%,0.00%,3.39%,2.17%,3.92%,0.42,0.61,1.93%,5.98%,5.98%,5.75%,8.94%,10.98%,15.38%,17.82%,17.82%,17.82%,5.41%,-24.21%,-39.06%,-75.93%,-97.35%,-84.40%,0.03,8.24%,12.84%,-2.23%,-34.42%,-90.88%,17.82%,2.16%,1453.22,53.46,3884458,0.16,0.17,0.21,0.16,0.19,20.37%
2,"ANIX","Anixa Biosciences Inc","Healthcare","Biotechnology","USA",107.55,,31.15,30.44,97.72%,4.90%,7.46%,16.39%,6.48%,1.77%,6.09,0.54,-0.88%,2.44%,0.60%,3.38%,1.51%,0.60%,0.60%,0.60%,0.60%,0.60%,4.35%,33.33%,11.63%,-30.72%,-9.19%,-13.40%,0.25,8.64%,7.03%,30.08%,28.05%,0.59%,0.60%,6.71%,88.40,149.82,662174,3.13,3.34,3.90,3.18,3.36,7.35%
3,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",22.73,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,-5.53%,-10.00%,1.83%,52.22%,89.05%,83.76%,94.28%,94.28%,94.28%,94.28%,48.39%,34.84%,18.36%,-38.48%,,-53.79%,0.03,15.15%,8.56%,47.40%,28.74%,-61.11%,98.19%,4.20%,253.80,581.00,7372912,0.14,0.15,0.36,0.15,0.30,106.50%
4,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",11.53,1.10,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,0.00%,3.27%,3.27%,1.82%,-0.69%,-8.88%,0.83%,7.40%,7.40%,7.40%,-4.68%,-15.12%,-72.88%,-68.10%,-94.06%,-92.55%,0.13,30.03%,18.41%,11.14%,-29.33%,-86.61%,6.37%,8.27%,950.04,30.43,1445676,0.54,0.58,0.72,0.58,0.62,15.17%
5,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",35.76,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.65%,10.65%,10.65%,-1.71%,1.41%,-38.85%,-43.05%,-37.83%,-30.28%,0.05,5.69%,5.78%,0.26%,-14.13%,-29.38%,10.65%,-3.23%,222.75,63.24,704325,0.70,0.67,0.76,0.65,0.75,7.08%
6,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",18.23,2.96,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,-0.43%,-1.42%,-1.13%,0.15%,5.79%,7.25%,-4.72%,-10.52%,-10.52%,-10.52%,52.94%,12.18%,-24.95%,-93.73%,-93.32%,-93.74%,0.08,9.46%,8.83%,45.82%,12.28%,-87.96%,-12.54%,125.09%,81.94,2910.19,11923116,0.35,0.79,0.83,0.63,0.69,96.86%
7,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",26.75,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,-0.31%,0.42%,0.42%,-1.50%,0.83%,-4.41%,2.98%,2.00%,2.00%,2.00%,48.48%,87.19%,-52.05%,-54.12%,-91.34%,-75.99%,0.13,25.86%,14.32%,65.68%,1.74%,-79.95%,4.58%,81.31%,452.58,609.48,13792086,0.48,0.87,1.13,0.82,0.91,89.62%
8,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",225.25,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,0.00%,-1.27%,-0.64%,0.00%,0.65%,1.30%,1.52%,3.31%,3.31%,3.31%,34.87%,43.12%,41.39%,25.47%,-7.33%,4.93%,0.27,4.64%,6.11%,45.84%,37.38%,22.46%,7.09%,24.86%,59.01,211.06,622770,3.50,4.37,4.88,4.36,4.68,33.71%
9,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",13.43,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,4.00%,8.98%,13.04%,13.04%,1.62%,3.94%,8.33%,8.33%,8.33%,8.33%,4.90%,1.85%,-45.99%,-53.94%,,-64.32%,0.03,7.27%,6.51%,7.64%,-43.49%,-85.43%,8.33%,4.41%,1715.54,138.61,11889892,0.16,0.17,0.32,0.15,0.18,13.11%
10,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",15.98,,22.40,,,,,0.68%,,,0.83,0.10,-0.01%,-2.53%,-1.19%,-7.42%,-4.87%,-5.75%,-14.58%,-22.42%,-22.42%,-22.42%,130.16%,116.21%,137.83%,116.28%,,116.34%,0.08,9.78%,9.10%,130.32%,130.28%,81.38%,-27.00%,235.88%,123.25,5161.52,31808962,0.29,0.98,1.04,0.69,0.71,145.19%
