"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"HOLO","MicroCloud Hologram Inc","Technology","Electronic Components","China",48.37,,81.99,77.86,94.96%,5.04%,0.00%,0.11%,-81.63%,9.54%,0.36,7.43,1.29%,0.02%,0.75%,3.35%,5.73%,5.43%,3.31%,4.76%,6.17%,6.17%,0.61%,-44.86%,-76.95%,-72.42%,-97.43%,-83.38%,0.15,27.06%,19.40%,-19.00%,-53.46%,-88.11%,6.88%,-5.61%,20455.54,3.34,3411613,0.58,0.55,0.59,0.53,0.59,0.89%
2,"LUMN","Lumen Technologies Inc","Communication Services","Telecom Services","USA",1613.91,,1008.49,991.03,98.27%,2.36%,3.87%,66.91%,0.64%,14.16%,14.13,140.38,0.04%,0.63%,1.89%,1.92%,0.63%,1.27%,6.71%,9.66%,8.90%,8.90%,18.66%,51.43%,16.91%,16.06%,-13.11%,-13.11%,0.08,5.60%,6.74%,35.82%,31.14%,13.68%,8.90%,-2.01%,9934.29,4.99,2479897,1.49,1.46,1.65,1.45,1.59,6.71%
3,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",38.76,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.16%,0.00,0.02,0.10%,2.02%,1.26%,0.88%,5.75%,6.18%,6.18%,9.73%,19.75%,19.75%,219.79%,269.35%,198.67%,188.20%,,149.77%,0.56,86.00%,29.83%,170.69%,206.84%,86.89%,20.86%,-15.23%,3607.37,3.41,615801,2.56,2.17,2.64,2.16,2.62,2.45%
4,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",18.07,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,0.44%,-0.07%,1.26%,0.29%,-3.11%,-3.59%,-5.33%,-5.85%,32.91%,32.91%,85.00%,59.46%,14.08%,2.23%,-25.60%,-5.98%,1.21,7.80%,9.40%,70.90%,46.04%,-1.03%,41.13%,21.55%,20.91,1140.19,1192115,7.98,9.70,15.88,9.70,13.69,71.55%
5,"RGC","Regencell Bioscience Holdings Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Hong Kong",223.38,,13.01,12.02,92.39%,7.60%,0.00%,0.01%,,0.01%,0.03,0.00,0.00%,3.62%,3.75%,6.25%,4.06%,0.12%,-12.84%,-18.28%,-16.12%,-16.12%,435.96%,292.62%,364.05%,22.29%,-42.75%,63.52%,2.84,162.76%,46.68%,313.66%,259.42%,59.77%,-14.28%,33.89%,32.61,321.36,524041,14.96,20.03,22.95,16.00,17.17,14.77%
6,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",121.62,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,0.27%,10.58%,13.83%,6.56%,15.19%,22.10%,31.12%,46.71%,28.14%,28.14%,34.43%,24.76%,12.52%,29.04%,-55.60%,7.88%,0.07,12.61%,13.12%,50.20%,18.95%,4.86%,28.08%,14.03%,2266.02,92.47,10476866,0.40,0.46,0.66,0.32,0.59,46.05%
7,"TNXP","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology","USA",10.67,,58.61,17.45,29.77%,0.00%,,4.27%,216.69%,10.26%,1.31,1.79,-1.21%,-1.37%,-0.08%,-1.37%,-0.08%,-1.37%,1.07%,-7.05%,-7.05%,-7.05%,2.60%,-48.61%,-87.81%,-93.45%,-98.90%,-95.26%,0.15,5.94%,10.34%,-13.50%,-77.41%,-93.61%,5.43%,2.15%,1362.37,95.06,6475254,0.57,0.58,0.69,0.57,0.61,7.70%
