"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",35.33,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,1.07%,9.23%,8.40%,4.80%,3.27%,1.07%,-5.02%,-6.58%,-11.25%,-11.25%,,,,,,15.92%,1.37,,,15.92%,15.92%,15.92%,-11.25%,30.61%,2081.96,37.26,3878361,2.45,3.20,3.28,2.59,2.84,15.92%,,
2,"KMI","Kinder Morgan Inc","Energy","Oil & Gas Midstream","USA",47296.69,19.46,17.10,2219.73,1935.18,87.18%,12.81%,-0.10%,65.70%,-0.08%,2.26%,3.12,43.81,35.20%,27.91%,15.89%,0.00%,0.00%,1.28%,1.28%,1.28%,1.24%,1.33%,1.33%,1.48%,1.48%,1.24%,6.02%,13.29%,26.17%,18.00%,20.80%,0.38,2.79%,1.74%,4.70%,7.15%,17.61%,1.57%,-0.33%,14035.48,2.02,1415623,21.05,20.98,21.31,20.95,21.31,1.24%,,
3,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",46.85,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,-0.63%,-1.54%,0.32%,-2.76%,-8.91%,-3.06%,-0.63%,-10.96%,25.79%,25.79%,303.31%,346.48%,264.37%,233.68%,,201.90%,0.67,93.07%,32.01%,201.52%,257.18%,127.80%,33.76%,0.42%,3780.30,77.52,14651712,2.36,2.37,3.77,2.35,3.17,34.32%,,
4,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",14.33,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,0.94%,0.00%,-0.01%,-2.73%,0.00%,0.94%,-4.46%,4.90%,-10.08%,-10.08%,149.42%,190.92%,34.09%,-81.18%,-89.47%,-88.42%,0.12,11.55%,14.43%,207.42%,88.46%,-76.42%,-5.31%,188.71%,1037.59,540.93,28063002,0.39,1.13,1.38,0.98,1.07,173.38%,,
