"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",666.71,,,39.97,23.50,58.79%,41.95%,0.00%,39.66%,-15.81%,8.31%,7.33,1.95,37.01%,-4.60%,-21.26%,0.00%,-0.18%,-0.56%,-0.78%,-1.61%,-1.55%,-2.77%,-4.85%,-4.85%,-4.85%,21.64%,44.85%,17.73%,42.35%,3.78%,18.15%,0.75,3.87%,3.58%,29.15%,33.16%,37.42%,1.04%,20.56%,266.45,54.79,729999,13.52,16.30,17.75,16.16,16.47,21.82%,,
2,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",34.21,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,-1.08%,-2.14%,-3.51%,-3.51%,-2.14%,-2.48%,-7.41%,-14.06%,-14.06%,,,,,,12.24%,1.37,,,12.24%,12.24%,12.24%,-14.06%,30.61%,2081.96,37.62,3916452,2.45,3.20,3.28,2.59,2.75,12.24%,,
3,"BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom",76778.61,,7.10,2230.46,2212.63,99.20%,0.00%,,6.80%,7.26%,0.17%,0.94,3.75,69.97%,45.85%,-53.47%,0.00%,-0.23%,-0.14%,-0.09%,0.03%,-0.06%,-0.12%,1.55%,-0.32%,-0.32%,5.02%,8.00%,17.67%,17.95%,2.45%,18.47%,0.47,0.97%,0.94%,7.86%,10.05%,13.89%,-0.32%,4.28%,3997.26,2.55,510264,33.38,34.81,34.83,33.38,34.70,3.95%,,
4,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",16.42,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,1.65%,5.11%,7.46%,9.09%,8.30%,13.39%,-4.00%,11.34%,15.20%,15.20%,145.45%,127.37%,32.52%,-68.02%,-93.57%,-71.10%,0.94,89.62%,42.27%,66.25%,58.48%,-72.11%,15.20%,-3.35%,2158.58,17.33,1870138,3.88,3.75,5.38,3.61,4.32,11.34%,,
5,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",49.38,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,-0.85%,-2.87%,-2.30%,-2.27%,3.44%,3.76%,2.18%,-2.87%,32.59%,32.59%,325.09%,370.59%,284.05%,251.71%,,218.21%,0.67,93.07%,32.01%,217.80%,276.47%,140.10%,40.98%,0.42%,3780.30,81.08,15324412,2.36,2.37,3.77,2.35,3.34,41.58%,,
6,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",14.32,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,0.92%,-1.85%,2.87%,1.91%,1.89%,0.92%,0.92%,2.87%,-10.10%,-10.10%,149.37%,190.86%,34.06%,-81.18%,-89.48%,-88.42%,0.12,11.55%,14.43%,207.36%,88.43%,-76.42%,-5.33%,188.71%,1037.59,560.06,29055417,0.39,1.13,1.38,0.98,1.07,173.33%,,
