"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",36.95,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,0.34%,1.37%,1.68%,-0.34%,-2.30%,-3.88%,-7.19%,-7.19%,-7.19%,,,,,,21.22%,1.37,,,21.22%,21.22%,21.22%,-7.19%,30.61%,2081.96,35.12,3655705,2.45,3.20,3.28,2.83,2.97,21.22%,,
2,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",50.25,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,-0.29%,0.89%,-0.87%,-2.86%,-4.76%,-4.49%,2.10%,34.92%,34.92%,34.92%,332.57%,378.87%,290.80%,257.89%,,223.81%,0.67,93.07%,32.01%,223.39%,283.10%,144.33%,43.46%,0.42%,3780.30,59.12,11175434,2.36,2.37,3.77,2.35,3.40,44.07%,,
3,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",13.66,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,2.00%,2.08%,2.08%,2.00%,3.80%,0.00%,0.00%,-14.29%,-14.29%,-14.29%,137.76%,177.32%,27.82%,-82.06%,-89.97%,-88.96%,0.12,11.55%,14.43%,193.05%,79.66%,-77.52%,-9.73%,188.71%,1037.59,378.20,19620744,0.39,1.13,1.37,0.98,1.02,160.60%,,
4,"VSME","Vs Media Holdings Ltd.","Communication Services","Advertising Agencies","Hong Kong",40.92,,,20.00,18.42,92.10%,16.27%,0.00%,0.03%,,0.29%,0.38,0.05,22.59%,-36.47%,-51.71%,1.09%,1.09%,1.09%,2.20%,-1.59%,3.33%,5.03%,-3.63%,-3.63%,-3.63%,-7.00%,7.51%,-37.03%,-59.06%,,-29.71%,0.35,15.11%,22.06%,1.47%,-7.77%,-47.56%,-9.27%,24.23%,138.88,407.86,2832160,1.65,2.05,2.06,1.75,1.86,12.72%,,
