"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",102.61,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-0.66%,-0.66%,-1.34%,-0.69%,-1.03%,-1.37%,-4.00%,-1.37%,-1.37%,-1.37%,13.39%,22.03%,18.03%,24.14%,-86.78%,37.14%,0.08,4.25%,7.04%,19.23%,23.12%,-21.37%,-2.70%,10.45%,879.73,22.09,971489,1.34,1.48,1.53,1.43,1.44,7.46%,,
2,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",18.09,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.51%,-2.45%,-1.00%,-1.97%,-1.49%,-4.78%,-2.93%,-1.00%,19.88%,19.88%,-4.33%,-11.36%,-4.10%,2.60%,-70.84%,-37.72%,0.33,19.99%,15.90%,14.41%,0.32%,-14.24%,20.61%,5.10%,86.26,1149.00,4955364,1.57,1.65,2.42,1.63,1.99,26.75%,,
3,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",50.67,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,-2.17%,-2.17%,-2.17%,-1.46%,-1.46%,-2.17%,-0.74%,-0.74%,-0.81%,-0.81%,22.73%,-1.46%,-49.63%,-46.43%,-87.42%,-54.24%,0.12,9.68%,10.19%,13.83%,-15.82%,-50.93%,-0.81%,1.57%,621.13,23.19,720238,1.34,1.36,1.49,1.34,1.35,0.75%,,
4,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.57,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,1.38%,-0.71%,0.80%,0.23%,-1.05%,0.49%,-2.36%,-2.61%,-3.60%,-3.60%,-10.14%,-85.27%,-91.42%,-92.53%,-97.47%,-94.17%,0.21,43.08%,31.84%,-69.57%,-87.15%,-90.84%,-3.32%,9.20%,2032.29,94.76,9629338,0.25,0.27,0.29,0.26,0.27,5.58%,,
5,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",28.50,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,-1.20%,0.82%,-1.20%,-3.13%,-5.00%,-1.16%,3.35%,-22.08%,12.28%,12.28%,14.89%,18.76%,19.91%,-45.59%,-56.20%,-49.59%,0.31,6.54%,3.57%,21.93%,19.73%,-15.21%,12.28%,12.24%,4.19,11697.41,2451404,1.96,2.20,4.99,2.15,2.47,26.03%,,
6,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",27.31,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,-1.63%,-4.66%,-5.29%,-4.66%,-7.92%,-6.93%,-1.60%,20.79%,20.45%,20.45%,-5.49%,34.80%,21.81%,-58.65%,-87.82%,-68.38%,0.71,27.05%,22.18%,72.21%,135.64%,-52.16%,20.45%,1.42%,9500.39,12.93,6141410,3.52,3.57,4.98,3.53,4.30,22.16%,,
7,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",24.20,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-0.93%,-0.00%,0.00%,-1.54%,-0.93%,-0.31%,-3.92%,-4.50%,-5.35%,-5.35%,-23.19%,-20.89%,24.22%,-49.61%,-86.17%,-65.13%,2.45,30.92%,45.59%,-62.01%,-39.57%,-75.75%,-11.42%,26.41%,8908.97,18.07,8047430,2.84,3.59,3.60,3.13,3.18,11.98%,,
8,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",91.73,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.32%,0.64%,-0.69%,-1.34%,-1.01%,2.75%,0.32%,-0.35%,-7.49%,-7.49%,77.82%,72.65%,-13.17%,-54.24%,,-55.01%,0.23,9.75%,7.24%,82.80%,49.95%,-36.10%,-6.32%,53.14%,184.54,393.91,3634645,2.07,3.17,3.23,2.84,2.97,43.46%,,
9,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135552.07,10.13,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,0.03%,0.03%,-0.03%,-0.03%,-0.08%,-0.08%,0.37%,0.29%,0.56%,0.56%,0.88%,7.17%,17.50%,14.99%,39.73%,12.66%,0.28,1.55%,1.51%,1.40%,5.14%,12.25%,0.56%,-0.27%,33363.63,3.67,6125823,18.85,18.80,18.93,18.77,18.91,0.29%,,
10,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",15.34,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,5.00%,5.83%,5.15%,24.79%,24.68%,24.68%,25.75%,25.64%,25.64%,25.64%,24.05%,20.49%,-16.24%,13.08%,-87.54%,-14.58%,0.01,4.38%,6.16%,22.52%,8.44%,-32.40%,25.64%,0.52%,14584.16,7.79,5679564,0.12,0.12,0.15,0.12,0.15,26.29%,,
