"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",26.50,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,0.01%,0.00%,-0.01%,0.93%,1.89%,-2.70%,-9.59%,3.85%,3.85%,3.85%,12.21%,4.85%,10.20%,103.77%,-21.17%,83.05%,0.14,2.78%,4.61%,14.33%,7.06%,47.71%,4/15/2024 8:30:00 AM,3.85%,5.05%,78.20,837.59,3275091,1.98,2.08,2.70,2.00,2.16,9.09%,
2,"CDT","Conduit Pharmaceuticals Inc","USA",28.32,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,-2.22%,-1.97%,-2.12%,-1.51%,1.51%,0.95%,-4.10%,1.64%,-4.08%,-4.08%,-8.23%,-81.01%,-88.09%,-90.62%,-96.34%,-91.57%,0.22,35.43%,31.41%,-59.56%,-81.89%,-86.88%,,-8.91%,75.46%,313.83,2906.52,45608011,0.24,0.42,0.43,0.35,0.38,59.83%,
3,"AEON","AEON Biopharma Inc.","USA",102.85,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.73%,-0.75%,-1.86%,-1.91%,-4.74%,-3.70%,-2.26%,1.86%,-2.26%,-2.26%,139.01%,93.32%,-62.97%,-63.28%,-67.14%,-63.48%,0.35,36.67%,17.87%,121.60%,78.32%,-56.29%,5/14/2024 4:30:00 PM,-2.99%,18.86%,1001.61,68.94,3452550,2.28,2.71,2.97,2.41,2.63,15.31%,
4,"SIEB","Siebert Financial Corp.","USA",70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.03%,1.71%,1.87%,1.87%,0.07%,0.00%,-2.22%,0.00%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,433.10,357953,1.72,1.84,1.92,1.73,1.76,2.33%,
5,"MGRX","Mangoceuticals Inc","USA",10.39,,13.97,43.72%,-1.14%,1.32%,,0.89%,0.02,0.12,1.95%,0.84%,-2.79%,2.12%,-2.67%,-13.55%,-5.91%,8.00%,5.58%,5.58%,28.77%,23.05%,71.52%,37.21%,-75.09%,51.14%,0.05,12.94%,12.15%,27.34%,24.21%,6.23%,,5.58%,2.75%,5435.08,23.24,6315746,0.39,0.40,0.50,0.39,0.42,8.48%,
6,"KZIA","Kazia Therapeutics Limited ADR","Australia",14.82,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,1.06%,1.39%,3.69%,1.98%,1.26%,-2.44%,6.38%,12.14%,22.16%,22.16%,226.72%,158.89%,104.33%,79.28%,-37.27%,42.73%,0.18,91.66%,32.28%,81.37%,108.02%,51.40%,,22.16%,-7.96%,11754.45,8.70,5115072,0.56,0.51,0.70,0.50,0.63,12.44%,
7,"TKLF","Yoshitsu Co Ltd ADR","Japan",15.41,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,-4.02%,-5.09%,-4.98%,-5.55%,-2.81%,-5.41%,-9.63%,43.28%,57.44%,57.44%,66.12%,94.91%,79.67%,-38.70%,-66.79%,-39.33%,0.05,16.52%,10.35%,68.91%,76.54%,-14.50%,7/16/2024 8:30:00 AM,57.44%,-11.84%,2213.94,184.52,20425586,0.31,0.27,0.52,0.27,0.43,38.81%,
8,"TOYO","TOYO Co Ltd.","Japan",133.18,15.86,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.03%,-0.03%,-1.02%,-1.70%,-1.70%,-0.76%,-2.40%,2.48%,5.44%,5.44%,86.39%,-69.40%,-74.16%,-73.13%,-71.08%,-73.78%,1.18,25.64%,25.84%,-45.14%,-65.13%,-71.59%,,5.44%,-4.20%,1266.77,3.46,219350,2.86,2.74,3.06,2.65,2.89,1.01%,
9,"RUM","Rumble Inc","USA",2042.33,,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,9.88,13.80,0.84%,0.84%,0.84%,0.54%,0.00%,0.84%,0.29%,3.58%,2.70%,2.70%,28.83%,25.69%,18.69%,113.57%,-12.77%,61.25%,0.35,8.04%,5.18%,27.44%,15.74%,22.62%,5/14/2024 4:30:00 PM,2.70%,-1.67%,1396.89,2.11,147674,7.17,7.05,7.25,6.91,7.24,0.98%,
10,"KSCP","Knightscope Inc","USA",38.95,,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,5.08,8.42,0.10%,0.10%,-0.03%,0.24%,0.20%,0.47%,0.13%,6.21%,6.21%,6.21%,23.76%,-4.47%,-41.23%,-46.74%,-86.23%,-50.43%,0.03,7.20%,9.25%,8.74%,-9.26%,-43.93%,05/29/2024,8.15%,0.18%,1659.22,9.34,775003,0.27,0.28,0.30,0.27,0.30,8.34%,
11,"CEI","Camber Energy Inc","USA",23.43,,171.69,2.34%,0.00%,3.02%,10.09%,1.92%,0.38,3.29,0.00%,-0.07%,-0.07%,-0.07%,-1.99%,-1.33%,0.08%,-1.19%,-1.19%,-1.19%,10.99%,-9.87%,-34.94%,-27.16%,-83.20%,-41.64%,0.01,6.98%,8.75%,10.07%,-10.09%,-37.98%,,0.53%,-0.08%,8671.51,2.08,901686,0.13,0.13,0.14,0.13,0.13,0.45%,
12,"MTNB","Matinas Biopharma Holdings Inc","USA",46.40,,244.48,2.53%,0.00%,11.09%,2.64%,0.92%,2.41,2.24,0.00%,0.00%,0.00%,0.00%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,-0.11%,13.50%,15.62%,-8.64%,-18.50%,-49.18%,-14.43%,0.01,5.66%,5.40%,14.47%,12.34%,-12.28%,5/9/2024 4:30:00 PM,-0.11%,1.42%,930.26,2.83,131536,0.18,0.19,0.19,0.18,0.19,1.31%,
13,"CAT","Caterpillar Inc.","USA",170433.93,15.73,488.11,0.19%,-8.84%,72.96%,-1.95%,2.13%,3.46,10.38,0.00%,0.72%,0.72%,0.00%,0.43%,0.00%,-0.11%,0.14%,0.29%,0.29%,6.88%,6.78%,-4.23%,20.00%,36.34%,17.87%,6.82,1.88%,1.79%,5.89%,3.28%,12.75%,4/25/2024 8:30:00 AM,0.21%,0.58%,3003.35,2.21,331603,345.77,347.76,353.16,345.77,348.50,0.79%,
14,"MA","Mastercard Incorporated","USA",413671.59,35.37,829.11,10.81%,-5.27%,78.73%,-0.21%,0.53%,1.73,4.40,0.00%,0.00%,0.20%,0.20%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.07%,-0.00%,-3.22%,3.70%,10.55%,4.33%,6.72,1.44%,1.42%,-0.27%,-0.85%,1.70%,5/1/2024 8:30:00 AM,0.22%,0.00%,2538.27,2.52,319674,444.00,444.00,448.25,444.00,444.99,0.22%,
15,"PG","Procter & Gamble Co.","USA",389187.07,26.96,2358.82,0.06%,-27.91%,67.83%,-1.25%,0.85%,3.31,20.10,0.00%,0.00%,0.02%,0.02%,0.04%,0.01%,0.19%,0.02%,0.02%,0.02%,-0.46%,-0.91%,6.08%,9.50%,9.90%,12.53%,2.03,1.04%,1.29%,-0.80%,-0.67%,5.41%,7/30/2024 8:30:00 AM,0.02%,0.17%,6082.73,2.28,694788,164.58,164.86,165.24,164.17,164.90,0.19%,
