"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Gap","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",16.00,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.57%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,6.02%,-15.38%,-21.60%,-15.18%,-9.25%,-74.21%,-44.91%,0.29,19.99%,15.90%,1.18%,-11.27%,-24.15%,5.10%,239.79,1034153,1.57,1.65,1.76,1.65,1.76,12.10%
2,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",20.97,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.35%,2.08%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,3.27%,-3.73%,-84.22%,-90.81%,-92.00%,-97.29%,-93.76%,0.21,43.08%,31.84%,-67.40%,-86.23%,-90.19%,9.20%,74.51,7571683,0.25,0.27,0.29,0.27,0.28,13.10%
3,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",26.64,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.57%,2.34%,4.17%,4.17%,4.17%,4.17%,4.17%,4.17%,4.17%,4.17%,-15.46%,-12.94%,36.72%,-44.54%,-84.78%,-61.62%,2.45,30.92%,45.59%,-58.19%,-33.49%,-73.31%,26.41%,12.29,5475269,2.84,3.59,3.60,3.36,3.50,23.24%
4,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",96.69,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.32%,-0.03%,-2.49%,-2.49%,-2.49%,-2.49%,-2.49%,-2.49%,-2.49%,-2.49%,87.43%,81.98%,-8.48%,-51.77%,,-52.58%,0.23,9.75%,7.24%,92.67%,58.05%,-32.65%,53.14%,242.63,2238743,2.07,3.17,3.23,3.11,3.13,51.21%
