"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AAGR","African Agriculture Holdings Inc","Consumer Defensive","Farm Products","USA",10.42,,57.87,15.65,27.04%,72.96%,0.00%,3.39%,2.17%,3.92%,0.42,0.61,-0.06%,-0.99%,-3.43%,-3.23%,-2.33%,-5.26%,2.45%,6.51%,8.76%,8.76%,-2.70%,-30.04%,-43.75%,-77.78%,-97.55%,-85.60%,0.03,8.24%,12.84%,-9.75%,-39.46%,-91.58%,8.76%,2.16%,1453.22,68.31,4963498,0.16,0.17,0.21,0.16,0.18,11.11%
2,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",18.42,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,1.83%,5.88%,6.36%,17.42%,5.60%,-28.93%,48.91%,57.43%,57.43%,57.43%,20.25%,9.27%,-4.09%,-50.15%,,-62.55%,0.03,15.15%,8.56%,19.45%,4.33%,-68.49%,60.60%,4.20%,253.80,1001.55,12709714,0.14,0.15,0.36,0.15,0.24,67.34%
3,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",11.99,1.14,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,0.55%,0.64%,0.64%,3.72%,1.87%,3.95%,-4.92%,5.82%,11.65%,11.65%,-0.91%,-11.77%,-71.81%,-66.83%,-93.82%,-92.26%,0.13,30.03%,18.41%,15.53%,-26.54%,-86.08%,10.58%,8.27%,950.04,32.34,1536216,0.54,0.58,0.72,0.58,0.64,19.72%
4,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",12.00,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,-0.61%,-0.61%,-0.61%,-1.44%,-1.20%,-0.49%,4.46%,5.13%,6.49%,6.49%,-17.96%,-34.71%,-82.41%,-96.09%,-94.31%,-97.25%,0.03,14.81%,11.74%,-19.45%,-41.93%,-93.90%,6.49%,4.55%,1971.83,11.97,1180595,0.15,0.15,0.18,0.15,0.16,11.34%
5,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",16.67,2.70,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,-0.94%,-1.69%,-2.33%,-2.28%,0.80%,-6.69%,-1.93%,-15.03%,-18.18%,-18.18%,39.84%,2.57%,-31.37%,-94.27%,-93.89%,-94.27%,0.08,9.46%,8.83%,33.34%,2.67%,-88.99%,-20.03%,125.09%,81.94,3040.98,12458957,0.35,0.79,0.83,0.62,0.63,80.00%
6,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",345.40,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,5.50%,0.18,1.29,-1.27%,-1.17%,-0.11%,1.75%,6.16%,11.50%,9.79%,13.40%,13.40%,13.40%,291.18%,365.50%,195.56%,,,-62.76%,1.16,47.86%,20.45%,237.56%,237.99%,141.92%,14.66%,-7.41%,7333.00,10.65,3906304,8.77,8.12,9.55,8.10,9.31,6.16%
7,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",24.67,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,-0.24%,0.46%,0.07%,-2.93%,-3.80%,-7.76%,-11.86%,-14.56%,-5.94%,-5.94%,36.92%,72.61%,-55.79%,-57.69%,-92.01%,-77.86%,0.13,25.86%,14.32%,52.77%,-6.18%,-81.52%,-3.57%,81.31%,452.58,643.78,14568304,0.48,0.87,1.13,0.82,0.84,74.85%
8,"STBX","Starbox Group Holdings Ltd","Communication Services","Internet Content & Information","Malaysia",54.61,,236.00,164.11,69.54%,30.46%,0.00%,0.08%,37.41%,0.03%,0.68,0.06,46.73%,50.65%,46.09%,52.74%,9.62%,37.49%,39.40%,17.46%,17.46%,17.46%,33.14%,25.08%,21.09%,15.35%,-94.07%,-12.35%,0.02,5.19%,6.11%,29.82%,25.35%,-25.19%,29.42%,5.24%,80.93,370.48,1499185,0.17,0.18,0.27,0.13,0.23,36.20%
9,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",228.57,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,-0.02%,0.19%,-0.44%,0.19%,1.04%,0.67%,2.79%,2.79%,4.83%,4.83%,36.86%,45.23%,43.47%,27.32%,-5.96%,6.48%,0.27,4.64%,6.11%,47.99%,39.41%,24.26%,8.67%,24.86%,59.01,284.74,840155,3.50,4.37,4.88,4.27,4.75,35.69%
10,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",18.78,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,45.49%,42.39%,42.31%,41.68%,41.29%,40.28%,45.40%,51.55%,51.55%,51.55%,46.74%,42.47%,-24.45%,-35.56%,,-50.09%,0.03,7.27%,6.51%,50.58%,-20.95%,-79.61%,51.55%,4.41%,1715.54,177.33,15211100,0.16,0.17,0.32,0.15,0.25,58.23%
11,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",17.47,,22.40,,,,,0.68%,,,0.83,0.10,2.20%,4.70%,0.93%,-16.18%,-10.04%,8.32%,3.04%,-13.81%,-15.19%,-15.19%,151.61%,136.36%,160.00%,136.44%,,136.51%,0.08,9.78%,9.10%,151.79%,151.75%,98.29%,-20.20%,235.88%,123.25,6691.53,41237972,0.29,0.98,1.04,0.69,0.78,168.04%
