"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",99.73,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.68%,1.41%,1.41%,2.15%,-0.04%,-0.04%,-3.48%,-4.11%,-4.80%,-4.14%,10.20%,18.60%,14.71%,20.65%,-87.15%,33.29%,0.08,4.25%,7.04%,15.88%,19.66%,-23.58%,-2.13%,6.72%,879.73,21.19,1612843,1.34,1.43,1.43,1.36,1.40,4.44%,,
2,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",580.22,38.75,1.65,28.54,27.11,6.23%,-0.48%,64.48%,35.54%,21.56%,5.62,5.85,1.77%,-0.00%,-0.24%,0.35%,-1.30%,0.05%,6.87%,6.70%,9.14%,9.08%,30.41%,51.93%,73.17%,16.08%,-61.53%,-24.35%,1.27,10.26%,7.48%,61.64%,65.17%,4.83%,3.83%,14.79%,1040.43,30.41,2738457,16.84,19.33,21.12,19.20,20.07,19.18%,,
3,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",24.02,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.01,0.03,5.66%,6.61%,7.89%,11.27%,5.23%,16.23%,17.29%,17.29%,17.29%,16.23%,136.32%,-12.43%,-54.01%,,,-74.78%,0.26,28.90%,24.69%,41.58%,-25.05%,-54.22%,16.23%,3.77%,3072.63,6.68,1776191,1.06,1.10,1.30,1.07,1.28,20.61%,,
4,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",15.54,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,-2.84%,-3.39%,-0.58%,-4.44%,-3.73%,-9.52%,-12.76%,-15.35%,-15.76%,3.01%,-17.79%,-23.83%,-17.59%,-11.83%,-74.95%,-46.48%,0.30,19.99%,15.90%,-1.69%,-13.79%,-26.31%,-12.31%,24.20%,86.26,798.15,5957683,1.57,1.95,1.94,1.68,1.71,8.92%,,
5,"BE","Bloom Energy Corp","Industrials","Electrical Equipment & Parts","USA",3795.77,,2.50,224.72,193.01,14.98%,-0.44%,76.89%,11.86%,23.50%,6.41,45.35,-0.36%,1.52%,1.77%,2.33%,3.59%,2.88%,1.77%,1.77%,0.91%,-2.39%,30.62%,16.68%,69.23%,41.10%,-9.23%,12.97%,0.99,7.27%,6.49%,28.85%,22.08%,37.68%,2.04%,8.65%,7074.27,6.54,4003869,15.08,16.39,16.79,15.74,16.72,10.88%,,
6,"BLNK","Blink Charging Co","Industrials","Engineering & Construction","USA",374.35,,0.92,92.82,92.79,8.19%,-0.05%,27.75%,4.73%,21.30%,3.89,19.76,0.66%,0.93%,1.21%,1.20%,3.18%,4.93%,2.91%,1.50%,4.05%,4.93%,20.66%,21.85%,56.30%,59.66%,-44.05%,9.27%,0.22,8.04%,6.33%,26.40%,21.31%,25.87%,6.29%,-5.81%,5085.80,3.21,1414195,3.70,3.48,3.71,3.40,3.70,0.11%,,
7,"BTBT","Bit Digital Inc","Financial","Capital Markets","USA",517.88,14.06,1.42,121.00,120.26,0.61%,0.00%,34.47%,-41.89%,19.01%,2.56,22.86,-0.47%,-0.35%,0.59%,0.35%,2.39%,4.52%,3.13%,3.88%,4.65%,1.42%,27.76%,60.30%,135.16%,53.96%,5.16%,1.18%,0.32,8.18%,10.18%,28.31%,51.56%,61.27%,4.39%,-3.30%,8945.65,3.20,2478215,4.24,4.10,4.30,4.06,4.28,0.94%,,
8,"BYND","Beyond Meat Inc","Consumer Defensive","Packaged Foods","USA",492.44,,2.48,64.62,60.72,6.41%,0.00%,47.31%,-38.46%,39.32%,9.25,23.87,0.93%,1.07%,2.15%,1.36%,3.69%,3.74%,5.42%,5.86%,4.83%,2.57%,11.29%,14.14%,15.70%,4.12%,-54.85%,-14.72%,0.44,6.36%,6.19%,12.54%,5.76%,0.77%,6.15%,-4.54%,2581.67,3.18,710743,7.49,7.15,7.60,7.13,7.59,1.34%,,
9,"CAN","Canaan Inc ADR","Technology","Computer Hardware","Singapore",325.02,,0.21,213.56,149.26,,,20.78%,-7.37%,17.69%,3.09,26.41,0.24%,0.82%,-2.00%,-5.04%,-3.56%,4.69%,5.60%,4.70%,4.70%,3.81%,20.10%,20.10%,11.36%,-41.67%,-57.98%,-46.97%,0.10,9.38%,8.90%,14.24%,18.45%,-19.02%,3.81%,-2.48%,8536.58,4.07,3006757,1.21,1.18,1.31,1.15,1.23,1.24%,,
10,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.24,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.50%,-0.23%,0.23%,0.23%,-4.37%,-1.66%,-0.72%,-1.66%,-3.30%,-5.24%,-11.66%,-85.52%,-91.57%,-92.66%,-97.51%,-94.27%,0.21,43.08%,31.84%,-70.08%,-87.37%,-90.99%,-3.48%,7.53%,2032.29,67.25,11827897,0.25,0.27,0.28,0.25,0.26,3.78%,,
