"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",38.81,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,-0.32%,0.97%,1.96%,-3.70%,2.97%,-2.50%,-2.50%,-2.50%,-2.50%,,,,,,27.35%,1.37,,,27.35%,27.35%,27.35%,-2.50%,30.61%,2081.96,32.62,3395510,2.45,3.20,3.28,2.86,3.12,27.35%,,
2,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",46.56,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,1.91%,3.28%,7.51%,6.06%,4.65%,1.29%,25.00%,25.00%,25.00%,25.00%,300.76%,343.66%,262.07%,231.58%,,200.00%,0.63,93.07%,32.01%,199.61%,254.93%,126.36%,32.91%,0.42%,3780.30,14.45,2731044,2.36,2.37,3.25,2.35,3.15,33.47%,,
3,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",13.66,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,-0.97%,-4.67%,-7.27%,-7.27%,-5.56%,-10.53%,-14.29%,-14.29%,-14.29%,-14.29%,137.76%,177.32%,27.82%,-82.06%,-89.97%,-88.96%,0.12,11.55%,14.43%,193.05%,79.66%,-77.52%,-9.73%,188.71%,1037.59,278.08,14426401,0.39,1.13,1.37,1.01,1.02,160.60%,,
4,"SLGL","Sol-Gel Technologies Ltd","Healthcare","Biotechnology","Israel",24.52,,,27.86,9.42,33.81%,66.20%,0.00%,27.99%,0.31%,0.10%,0.25,0.01,,-1453.95%,-1329.13%,0.00%,-4.35%,-6.57%,-1.93%,-8.79%,5.25%,10.41%,10.41%,10.41%,10.41%,1.87%,-2.22%,-4.35%,-23.48%,-77.32%,-20.36%,0.11,11.17%,9.95%,2.73%,7.98%,-18.18%,22.22%,7.46%,36.30,2463.38,4470462,0.67,0.72,1.14,0.72,0.88,31.34%,,
5,"VSME","Vs Media Holdings Ltd.","Communication Services","Advertising Agencies","Hong Kong",40.02,,,20.00,18.42,92.10%,16.27%,0.00%,0.03%,,0.29%,0.38,0.05,22.59%,-36.47%,-51.71%,3.35%,3.35%,2.19%,0.50%,-1.14%,-1.14%,-5.75%,-5.75%,-5.75%,-5.75%,-9.05%,5.14%,-38.42%,-59.96%,,-31.25%,0.35,15.11%,22.06%,-0.76%,-9.81%,-48.71%,-11.27%,24.23%,138.88,388.44,2697287,1.65,2.05,2.06,1.75,1.82,10.24%,,
