"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",26.94,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,0.32%,4.01%,4.95%,4.29%,-1.63%,-3.45%,-9.70%,42.68%,130.26%,130.26%,75.88%,59.82%,40.28%,-27.08%,,-45.23%,0.04,15.15%,8.56%,74.70%,52.59%,-53.91%,134.90%,4.20%,253.80,3271.18,41511244,0.14,0.15,0.46,0.14,0.35,144.76%
2,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",22.94,,175.80,171.69,97.66%,2.34%,0.00%,3.02%,10.09%,1.92%,0.40,3.29,-0.53%,-0.61%,-0.84%,-0.84%,-0.46%,-0.46%,-0.99%,-1.66%,-2.83%,-2.83%,-6.99%,13.78%,-24.08%,-22.37%,-89.30%,-42.86%,0.01,7.63%,7.95%,5.96%,-9.49%,-38.60%,-2.83%,3.07%,8262.96,2.35,970716,0.13,0.13,0.14,0.13,0.13,0.15%
3,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",11.16,1.06,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,1.42%,-0.18%,-1.09%,-1.09%,-1.66%,-3.55%,-3.23%,-6.85%,-1.45%,3.99%,-7.71%,-17.82%,-73.75%,-69.11%,-94.25%,-92.79%,0.13,30.03%,18.41%,7.60%,-31.58%,-87.04%,2.99%,8.27%,950.04,36.69,1742779,0.54,0.58,0.72,0.58,0.60,11.51%
4,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.28,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.00%,-0.01%,-0.01%,-0.54%,0.01%,0.70%,0.72%,3.64%,6.07%,6.07%,-5.78%,-2.79%,-41.39%,-45.41%,-40.41%,-33.17%,0.05,5.69%,5.78%,-3.89%,-17.69%,-32.31%,6.07%,-3.23%,222.75,72.81,810959,0.70,0.67,0.76,0.65,0.72,2.64%
5,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",12.80,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,0.29%,-0.11%,0.46%,0.52%,1.69%,2.82%,1.04%,7.04%,12.05%,13.51%,-12.56%,-30.41%,-81.25%,-95.83%,-93.93%,-97.07%,0.03,14.81%,11.74%,-14.15%,-38.10%,-93.49%,13.51%,4.55%,1971.83,37.05,3652945,0.15,0.15,0.19,0.15,0.17,18.67%
6,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",14.10,2.29,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,0.00%,0.57%,1.78%,1.78%,4.51%,-1.19%,-3.89%,-14.05%,-28.11%,-30.78%,18.31%,-13.22%,-41.94%,-95.15%,-94.83%,-95.15%,0.08,9.46%,8.83%,12.81%,-13.14%,-90.68%,-32.34%,125.09%,81.94,3406.94,13958299,0.35,0.79,0.83,0.50,0.53,52.29%
7,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",22.73,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,-0.12%,-0.38%,-0.38%,0.93%,-0.38%,0.01%,-9.38%,-7.50%,-21.26%,-13.32%,26.18%,59.08%,-59.25%,-61.01%,-92.64%,-79.60%,0.13,25.86%,14.32%,40.79%,-13.54%,-82.96%,-11.13%,81.31%,452.58,763.64,17280562,0.48,0.87,1.18,0.73,0.77,61.14%
8,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",223.27,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,0.00%,-0.03%,0.62%,1.28%,-0.24%,-3.98%,-3.46%,-2.09%,0.41%,2.40%,33.68%,41.86%,40.15%,24.36%,-8.14%,4.01%,0.27,4.64%,6.11%,44.56%,36.17%,21.38%,6.15%,24.86%,59.01,409.25,1207546,3.50,4.37,4.90,4.27,4.64,32.54%
9,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",13.28,,30.99,17.05,55.02%,76.90%,0.00%,0.05%,,5.47%,0.54,0.93,0.00%,-0.11%,-2.39%,-0.06%,1.69%,-4.91%,-7.69%,0.67%,7.14%,7.14%,3.75%,0.73%,-46.59%,-54.44%,,-64.71%,0.03,7.27%,6.51%,6.46%,-44.11%,-85.59%,7.14%,4.41%,1715.54,230.75,19793311,0.16,0.17,0.32,0.15,0.18,11.87%
10,"WRNT","Warrantee Inc ADR","Technology","Software - Application","Japan",14.04,,22.40,,,,,0.68%,,,0.83,0.10,-0.02%,0.77%,-0.46%,2.35%,3.64%,-1.18%,-11.50%,-18.52%,-30.76%,-31.87%,102.13%,89.88%,108.87%,89.94%,,89.99%,0.08,9.78%,9.10%,102.27%,102.24%,59.29%,-35.89%,235.88%,123.25,7750.37,47763289,0.29,0.98,1.04,0.60,0.63,115.33%
