"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",25.64,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,-0.48%,-0.48%,0.48%,1.46%,-5.84%,-7.11%,-3.23%,-12.55%,0.48%,0.48%,8.57%,1.46%,6.63%,97.17%,-23.72%,77.12%,0.14,2.78%,4.61%,10.63%,3.59%,42.92%,4/15/2024 8:30:00 AM,0.48%,5.05%,78.20,958.61,3748283,1.98,2.08,2.70,2.00,2.09,5.56%,
2,"KOSS","Koss Corp.","USA",87.51,,5.22,43.64%,-0.62%,6.46%,1.01%,5.68%,0.08,0.30,-0.00%,-1.77%,-1.36%,-0.63%,-4.73%,6.29%,7.75%,7.74%,8.49%,8.49%,-4.64%,123.11%,306.88%,212.21%,158.47%,182.39%,1.93,21.26%,25.01%,46.85%,80.22%,174.82%,2/1/2024 4:30:00 PM,8.49%,0.00%,3510.25,3.22,565147,8.72,8.72,10.54,8.68,9.46,8.49%,
3,"CDT","Conduit Pharmaceuticals Inc","USA",27.63,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,-0.51%,0.27%,-0.21%,0.27%,-1.34%,-1.08%,-2.20%,-6.45%,-4.71%,-6.43%,-10.48%,-81.48%,-88.38%,-90.85%,-96.43%,-91.78%,0.22,35.43%,31.41%,-60.55%,-82.33%,-87.20%,,-11.14%,75.46%,313.83,3052.89,47904840,0.24,0.42,0.43,0.35,0.37,55.92%,
4,"AEON","AEON Biopharma Inc.","USA",102.10,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.00%,0.00%,0.01%,-0.38%,1.95%,-0.76%,1.16%,-2.97%,2.76%,-2.97%,137.27%,91.91%,-63.24%,-63.55%,-67.38%,-63.75%,0.35,36.67%,17.87%,119.99%,77.03%,-56.61%,5/14/2024 4:30:00 PM,-3.69%,18.86%,1001.61,73.77,3694313,2.28,2.71,2.97,2.41,2.61,14.47%,
5,"SIEB","Siebert Financial Corp.","USA",70.59,8.21,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,-0.56%,-0.56%,-0.56%,2.91%,0.57%,-1.65%,0.60%,-1.67%,0.57%,-3.80%,2.32%,-2.75%,-15.71%,-4.20%,-24.68%,5.36%,0.11,2.43%,6.23%,3.32%,-12.01%,-5.57%,,-3.80%,6.98%,16.53,452.58,374060,1.72,1.84,1.92,1.72,1.77,2.91%,
6,"MGRX","Mangoceuticals Inc","USA",10.58,,13.97,43.72%,-1.14%,1.32%,,0.89%,0.02,0.12,0.33%,0.31%,0.28%,1.50%,3.12%,0.38%,3.85%,-4.16%,7.54%,7.54%,31.17%,25.35%,74.71%,39.77%,-74.63%,53.95%,0.05,12.94%,12.15%,29.71%,26.52%,8.21%,,7.54%,2.75%,5435.08,25.34,6885682,0.39,0.40,0.50,0.39,0.43,10.50%,
7,"ZPTA","Zapata Computing Holdings Inc.","USA",22.39,,20.91,34.63%,0.00%,5.09%,6.23%,2.19%,0.39,0.46,0.00%,0.00%,0.00%,-0.19%,1.58%,-0.20%,1.76%,1.49%,2.16%,2.16%,18.95%,-0.26%,-68.61%,-93.59%,-93.43%,-93.56%,0.08,13.57%,10.54%,13.83%,-14.66%,-90.31%,,2.16%,-0.70%,1189.06,2.25,133802,0.69,0.69,0.70,0.67,0.70,1.45%,
8,"KZIA","Kazia Therapeutics Limited ADR","Australia",14.55,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,0.13%,0.02%,0.00%,-0.02%,-2.16%,-6.68%,-0.68%,4.44%,18.49%,19.94%,220.78%,154.19%,100.62%,76.02%,-38.41%,40.14%,0.18,91.66%,32.28%,78.07%,104.24%,48.64%,,19.94%,-7.96%,11754.45,11.28,6630003,0.56,0.51,0.70,0.50,0.62,10.40%,
9,"BTAI","BioXcel Therapeutics Inc","USA",45.81,,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.72,1.62,0.05%,0.05%,0.05%,0.05%,-2.28%,0.11%,0.88%,1.72%,-3.89%,-3.89%,13.02%,-13.43%,-55.61%,-53.59%,-88.15%,-58.62%,0.13,7.67%,9.70%,2.79%,-25.03%,-55.75%,5/9/2024 8:30:00 AM,-3.89%,4.10%,595.87,19.13,569953,1.22,1.27,1.50,1.17,1.22,0.05%,
10,"TKLF","Yoshitsu Co Ltd ADR","Japan",16.08,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,0.00%,1.35%,4.23%,4.40%,4.55%,1.03%,1.42%,-5.72%,49.48%,64.26%,73.31%,103.35%,87.45%,-36.05%,-65.35%,-36.71%,0.05,16.52%,10.35%,76.22%,84.18%,-10.80%,7/16/2024 8:30:00 AM,64.26%,-11.84%,2213.94,214.76,23773574,0.31,0.27,0.52,0.27,0.44,44.82%,
