"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",103.33,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,-0.68%,0.00%,0.00%,0.69%,0.69%,0.00%,-0.03%,-1.36%,-0.68%,-0.68%,14.17%,22.88%,18.85%,25.00%,-86.69%,38.10%,0.08,4.25%,7.04%,20.06%,23.97%,-20.83%,-2.03%,10.45%,879.73,22.79,1002289,1.34,1.48,1.53,1.43,1.45,8.21%,,
2,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",18.18,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,0.50%,1.01%,-0.99%,-0.50%,0.00%,0.51%,-0.50%,-1.48%,20.48%,20.48%,-3.85%,-10.91%,-3.61%,3.12%,-70.70%,-37.40%,0.33,19.99%,15.90%,14.98%,0.83%,-13.81%,21.21%,5.10%,86.26,1177.01,5076160,1.57,1.65,2.42,1.63,2.00,27.39%,,
3,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.56,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.00%,0.00%,-0.04%,0.26%,1.11%,0.34%,-0.49%,-1.67%,-3.64%,-3.64%,-10.17%,-85.28%,-91.42%,-92.54%,-97.47%,-94.18%,0.21,43.08%,31.84%,-69.58%,-87.15%,-90.84%,-3.36%,9.20%,2032.29,95.27,9680734,0.25,0.27,0.29,0.26,0.26,5.54%,,
4,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",27.70,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.00%,-2.83%,-2.83%,-0.81%,-2.04%,-4.00%,-5.51%,-20.27%,9.09%,9.09%,11.63%,15.39%,16.50%,-47.14%,-57.45%,-51.02%,0.31,6.54%,3.57%,18.47%,16.33%,-17.61%,9.09%,12.24%,4.19,11930.19,2500187,1.96,2.20,4.99,2.15,2.40,22.45%,,
5,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",26.22,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,0.00%,0.48%,-0.25%,0.97%,-3.74%,-9.03%,-13.08%,16.99%,15.68%,15.68%,-9.24%,29.46%,16.99%,-60.29%,-88.30%,-69.63%,0.71,27.05%,22.18%,65.39%,126.31%,-54.05%,15.68%,1.42%,9500.39,15.18,7210510,3.52,3.57,4.98,3.53,4.13,17.32%,,
6,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",24.43,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-0.30%,-0.31%,0.00%,0.31%,0.63%,-0.62%,-0.31%,-3.60%,-4.46%,-4.46%,-22.46%,-20.15%,25.39%,-49.14%,-86.04%,-64.80%,2.45,30.92%,45.59%,-61.65%,-39.00%,-75.52%,-10.58%,26.41%,8908.97,18.28,8140885,2.84,3.59,3.60,3.13,3.21,13.03%,,
7,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",92.67,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.33%,0.00%,0.33%,-0.66%,1.35%,-0.31%,3.84%,1.73%,-6.54%,-6.54%,79.64%,74.42%,-12.28%,-53.78%,,-54.55%,0.23,9.75%,7.24%,84.67%,51.48%,-35.44%,-5.36%,53.14%,184.54,409.06,3774466,2.07,3.17,3.23,2.84,3.00,44.93%,,
8,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135444.51,10.12,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,-0.03%,-0.05%,-0.05%,0.00%,-0.08%,-0.11%,-0.16%,0.16%,0.48%,0.48%,0.80%,7.09%,17.40%,14.90%,39.62%,12.57%,0.28,1.55%,1.51%,1.32%,5.06%,12.16%,0.48%,-0.27%,33363.63,3.68,6135215,18.85,18.80,18.93,18.77,18.89,0.21%,,
9,"UNCY","Unicycive Therapeutics Inc","Healthcare","Biotechnology","USA",40.87,,0.57,85.68,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.80,1.47,0.00%,-2.65%,-2.17%,-2.65%,1.49%,-0.65%,-0.62%,-0.60%,1.53%,1.53%,-1.83%,-26.49%,-57.41%,-46.40%,-63.02%,-45.03%,0.07,12.49%,14.09%,-8.93%,-37.75%,-48.20%,1.53%,-0.47%,814.56,21.77,886716,0.47,0.47,0.55,0.46,0.48,1.06%,,
10,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",16.27,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,-1.27%,3.38%,1.70%,8.72%,5.48%,16.26%,32.23%,33.25%,33.25%,33.25%,31.56%,27.79%,-11.17%,19.92%,-86.79%,-9.41%,0.01,4.38%,6.16%,29.94%,15.01%,-28.31%,33.25%,0.52%,14584.16,24.17,17624706,0.12,0.12,0.16,0.12,0.16,33.93%,,
