"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BFI","BurgerFi International Inc","Consumer Cyclical","Restaurants","USA",10.12,,,26.83,14.84,55.31%,45.86%,-4.86%,17.55%,-5.63%,0.94%,0.24,0.14,8.32%,-6.99%,-16.80%,0.27%,1.48%,1.90%,2.24%,2.47%,2.84%,2.87%,-7.31%,-7.31%,-7.31%,83.68%,73.99%,-4.38%,-42.76%,-79.83%,-57.06%,0.04,14.63%,13.57%,88.49%,40.96%,-42.05%,-10.19%,92.91%,580.81,431.93,12543633,0.21,0.41,0.41,0.35,0.37,73.25%,,
2,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",23.82,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.08,0.22,75.65%,-14.07%,-79.55%,1.76%,-0.97%,-1.60%,-1.13%,-1.29%,-0.50%,-3.56%,8.82%,8.82%,8.82%,296.73%,83.82%,118.79%,-49.65%,-90.50%,-58.06%,1.07,100.66%,44.51%,131.30%,125.44%,-58.62%,7.52%,3.37%,2558.51,8.22,1051294,5.64,5.83,7.40,5.74,6.27,11.14%,,
3,"CREV","Carbon Revolution Public Ltd. Co.","Consumer Cyclical","Auto Parts","Ireland",20.92,529.67,,1.89,1.75,92.59%,7.11%,0.00%,1.91%,,0.11%,0.12,0.00,,0.00%,,-0.72%,0.18%,-0.09%,-1.25%,-0.36%,0.54%,-9.93%,-7.05%,-7.05%,-7.05%,83.14%,58.82%,-20.93%,-51.87%,4.43%,-51.94%,1.49,34.80%,11.53%,72.07%,38.54%,-35.57%,3.46%,73.42%,16.16,4368.03,3528289,6.17,10.70,14.27,10.62,11.07,79.42%,,
4,"EVRI","Everi Holdings Inc","Consumer Cyclical","Gambling","USA",1072.02,19.36,13.66,83.74,80.91,96.62%,3.77%,-5.11%,84.86%,-1.68%,5.09%,2.51,4.12,61.99%,20.15%,7.53%,0.00%,-0.23%,-0.47%,-0.55%,-0.39%,0.71%,2.25%,3.16%,3.16%,3.16%,53.61%,56.83%,52.69%,18.49%,-15.34%,13.13%,0.67,6.04%,5.10%,48.21%,59.67%,30.93%,2.82%,35.67%,1641.76,19.60,1608632,9.14,12.40,12.87,11.99,12.75,39.50%,,
5,"RR","Richtech Robotics Inc.","Industrials","Specialty Industrial Machinery","USA",78.83,,,20.89,14.74,70.56%,77.75%,0.00%,0.08%,,2.34%,0.15,0.35,68.47%,-11.59%,-25.92%,0.00%,0.00%,0.00%,0.00%,-1.65%,-1.65%,0.00%,-7.75%,-7.75%,-7.75%,-19.05%,-7.75%,-4.03%,-87.98%,,-80.00%,0.20,32.38%,14.44%,-3.99%,-3.19%,-55.86%,-6.30%,12.39%,2258.73,16.78,1894848,1.13,1.27,1.31,1.18,1.19,5.31%,,
6,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",474.47,,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,7.16%,0.18,1.68,-95.85%,-2041.54%,-2577.51%,0.62%,0.46%,0.70%,1.42%,2.48%,1.66%,0.31%,-2.37%,-2.37%,-2.37%,69.39%,602.69%,320.69%,,,-48.84%,1.46,61.94%,23.86%,221.25%,303.27%,216.44%,-3.62%,9.40%,9215.06,5.43,2499814,12.13,13.27,13.37,12.39,12.79,5.43%,,
7,"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",22482.25,,,1391.34,1033.96,74.31%,36.99%,-0.34%,52.49%,-11.92%,6.50%,2.88,67.24,49.88%,-28.39%,-26.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.37%,0.07%,0.07%,0.07%,-4.86%,-18.31%,20.18%,-15.90%,27.68%,-19.08%,0.69,4.28%,4.55%,-12.25%,-12.29%,0.38%,0.07%,1.78%,23307.93,2.97,3456863,13.45,13.69,13.70,13.45,13.70,1.86%,,
8,"ZPTA","Zapata Computing Holdings Inc.","Technology","Software - Infrastructure","USA",19.82,,,31.98,20.76,64.92%,35.10%,0.00%,5.09%,6.23%,1.48%,0.30,0.31,13.63%,-916.02%,-1925.29%,2.21%,2.29%,2.29%,1.64%,1.62%,2.63%,2.89%,-6.08%,-6.08%,-6.08%,14.80%,-0.34%,-61.50%,-94.34%,-94.15%,-94.30%,0.07,8.77%,9.46%,4.72%,-13.12%,-90.91%,-8.15%,24.98%,1028.28,70.21,3609658,0.54,0.67,0.68,0.59,0.62,14.80%,,
