"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",26.87,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.07,0.03,3.62%,0.00%,-2.05%,-5.29%,-1.38%,11.71%,78.97%,78.97%,78.97%,78.97%,168.80%,1.42%,-50.00%,,,-71.79%,0.24,10.71%,21.16%,53.59%,-20.07%,-49.29%,516.78,12022445,0.62,0.59,1.57,0.58,1.43,131.39%
2,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",4.15,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,4.86%,10.67%,12.45%,16.20%,14.35%,17.79%,12.45%,3.23%,17.57%,17.57%,48.34%,123.18%,95.29%,202.08%,-68.45%,125.05%,0.08,9.76%,17.45%,52.25%,74.13%,94.18%,28.00,9128589,0.52,0.60,0.74,0.58,0.70,34.08%
3,"BITX","2x Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.06%,0.15%,0.06%,0.00%,-0.03%,-0.09%,0.42%,0.59%,0.18%,0.18%,21.57%,-20.44%,-26.70%,26.86%,108.64%,48.59%,2.77,5.33%,5.62%,0.50%,-12.95%,8.48%,3.02,813028,28.92,33.78,34.46,33.50,33.82,16.94%
4,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",32.78,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-0.53%,-0.27%,-1.59%,0.00%,1.93%,-1.07%,0.00%,1.65%,-7.04%,-7.04%,-55.42%,-68.44%,-67.43%,-66.49%,-63.18%,-66.76%,1.75,60.13%,31.70%,-54.52%,-63.47%,-65.36%,290.14,4670312,3.43,4.07,4.08,3.55,3.70,7.87%
5,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.35,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,-0.56%,-1.74%,-1.17%,0.06%,-0.56%,-0.56%,-0.56%,3.94%,-8.98%,-8.98%,34.25%,19.33%,-20.64%,54.90%,-63.88%,50.56%,0.20,10.20%,13.85%,23.31%,3.99%,-19.33%,41.93,4151218,1.29,1.78,1.80,1.52,1.61,24.88%
6,"DATS","DatChat Inc","Technology","Software - Application","USA",6.14,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,2.00%,1.49%,0.49%,1.51%,4.62%,-1.45%,-6.42%,-10.92%,-14.29%,-14.29%,88.89%,58.14%,75.85%,-18.73%,-59.20%,-28.92%,0.19,4.38%,6.00%,74.51%,58.20%,24.84%,2571.87,20113701,1.04,2.46,2.59,1.89,2.04,96.15%
7,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8735.34,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,0.33%,0.63%,1.59%,0.63%,-0.73%,0.81%,1.52%,-0.13%,-3.08%,-3.08%,51.68%,12.36%,41.12%,171.81%,252.41%,162.80%,4.77,6.09%,10.69%,41.31%,10.26%,44.14%,37.42,12782972,30.89,49.86,54.47,37.40,45.99,48.88%
8,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",53.61,,0.01,186.14,176.40,5.23%,0.00%,1.11%,,1.65%,0.92,2.91,0.70%,0.88%,1.05%,1.09%,1.37%,3.63%,-3.97%,-3.97%,-3.97%,-3.97%,13.39%,2.49%,-35.76%,-43.86%,-59.52%,-56.55%,0.03,7.15%,7.97%,11.35%,-7.17%,-41.52%,11.57,1841124,0.25,0.26,0.31,0.25,0.29,15.94%
9,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",13.75,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-1.89%,-0.73%,0.30%,5.57%,-0.93%,-0.53%,-16.22%,0.00%,47.92%,47.92%,69.77%,25.68%,3.28%,-5.57%,,-11.43%,0.10,11.12%,7.87%,43.08%,26.70%,-38.35%,2256.58,12891684,0.59,0.63,1.25,0.63,0.93,57.84%
10,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",27.02,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-0.29%,-1.93%,-1.93%,-2.46%,-4.82%,-5.33%,-5.59%,-5.59%,0.85%,0.85%,-44.53%,-18.95%,26.79%,-54.07%,-85.02%,-61.07%,2.75,40.44%,45.33%,-58.18%,-32.24%,-73.32%,2.84,1239810,3.44,3.52,4.13,3.49,3.55,3.20%
11,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",18.35,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,2.73%,2.69%,2.71%,2.60%,-2.44%,-2.25%,1.07%,6.29%,11.40%,11.40%,32.51%,57.43%,90.13%,120.82%,-3.22%,164.84%,0.08,24.24%,19.13%,58.96%,66.22%,85.03%,26.78,1124738,0.53,0.52,0.65,0.51,0.60,11.67%
12,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",37.28,,0.10,90.46,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,0.33,9.51,-1.20%,0.76%,2.51%,-2.21%,12.08%,12.08%,12.75%,12.63%,13.84%,13.84%,3.00%,168.99%,73.22%,33.67%,-33.00%,30.41%,0.06,19.73%,21.78%,61.01%,94.28%,46.82%,3.38,4909584,0.37,0.36,0.44,0.36,0.41,12.41%
13,"PHUN","Phunware Inc","Technology","Software - Application","USA",59.74,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.54%,0.00%,1.22%,-1.40%,-2.75%,-1.38%,-2.62%,-5.34%,-7.69%,-7.69%,29.62%,28.72%,2.34%,97.87%,-62.71%,81.46%,0.61,5.96%,7.59%,32.87%,20.06%,-10.08%,165.61,3017556,5.83,8.20,8.90,7.03,7.44,27.62%
14,"RUM","Rumble Inc","Technology","Software - Application","USA",1822.30,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,0.93%,0.33%,0.31%,0.31%,0.16%,1.10%,-0.15%,-1.82%,-2.27%,-2.27%,13.13%,11.19%,1.57%,74.12%,-26.42%,43.88%,0.33,3.98%,4.13%,15.14%,3.42%,9.63%,12.04,685187,5.94,6.77,7.29,6.37,6.46,8.75%
15,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.04,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,-2.60%,-1.23%,-1.23%,0.54%,-0.35%,-6.94%,-9.19%,-10.35%,21.34%,21.34%,86.99%,109.29%,17.29%,-2.09%,-62.21%,-5.44%,0.83,13.48%,19.40%,66.19%,51.13%,4.93%,136.58,3854491,4.06,4.67,8.36,4.59,5.63,38.67%
16,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.07,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,-0.93%,-0.91%,-0.92%,-2.74%,0.37%,-0.92%,3.44%,1.05%,0.99%,0.99%,-70.12%,-75.80%,32.19%,-18.85%,-69.24%,-16.40%,0.80,46.19%,30.70%,-69.78%,-56.29%,-31.85%,69.52,1859318,0.84,0.93,0.97,0.90,0.94,11.99%
17,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1450.29,,1.55,88.54,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,2.86,14.93,-0.05%,0.50%,0.51%,0.83%,1.77%,2.19%,2.63%,3.15%,3.02%,3.02%,19.65%,93.85%,210.82%,600.00%,108.13%,397.87%,1.27,11.69%,11.76%,45.98%,85.54%,219.35%,2.12,554312,15.34,15.91,16.40,15.40,16.38,6.78%
18,"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.13%,-0.27%,-0.27%,-0.33%,0.06%,-0.34%,0.12%,0.79%,-0.34%,-0.34%,2.84%,100.78%,99.72%,21.27%,-18.23%,5.56%,1.29,15.57%,10.56%,39.98%,70.34%,42.38%,3.31,6633945,14.02,15.25,15.67,14.95,15.16,8.12%
19,"TSLT","T-REX 2X Long Tesla Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.10%,-0.24%,-0.24%,-0.24%,0.05%,-0.29%,0.24%,0.82%,-0.34%,-0.34%,2.82%,102.43%,100.10%,1.96%,,-15.30%,1.76,15.56%,10.53%,40.10%,70.90%,34.54%,2.09,786039,19.25,20.91,21.33,20.51,20.81,8.10%
