"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
41,"STR","Sitio Royalties Corp","USA",3929.51,,77.06,0.79%,0.00%,139.43%,30.06%,7.14%,10.50,5.51,-0.12%,0.08%,0.12%,0.63%,0.59%,1.11%,1.32%,0.91%,0.91%,0.91%,5.91%,11.05%,5.00%,14.04%,-2.34%,8.17%,0.55,2.48%,2.34%,7.89%,9.26%,9.74%,8/7/2024 4:30:00 PM,0.83%,0.20%,524.16,2.47,112008,25.17,25.22,25.48,25.22,25.43,1.03%,
42,"HUT","Hut 8 Corp","USA",1820.83,12.48,80.09,11.40%,-0.52%,30.23%,,10.57%,1.78,8.47,-0.47%,-0.28%,-0.35%,0.19%,0.65%,2.85%,1.58%,1.69%,1.48%,2.05%,25.67%,75.01%,178.23%,103.48%,-3.15%,51.01%,1.52,13.16%,10.52%,35.33%,75.95%,100.76%,5/15/2024 8:30:00 AM,1.07%,-0.35%,4767.64,2.49,1029121,20.00,19.93,20.32,19.44,20.14,0.72%,
43,"REAX","The Real Brokerage Inc.","Canada",995.29,,83.14,53.81%,0.00%,3.55%,,1.04%,0.88,0.87,-0.19%,-0.19%,-0.19%,-0.01%,1.64%,3.74%,-0.37%,-0.37%,-0.37%,-0.37%,12.16%,31.65%,48.24%,147.96%,215.97%,245.59%,0.30,7.38%,7.29%,26.75%,21.99%,91.69%,5/7/2024 8:30:00 AM,2.40%,-1.82%,985.72,3.73,318246,5.50,5.40,5.55,5.32,5.53,0.53%,
44,"BMBL","Bumble Inc","USA",1259.48,89.51,88.52,29.85%,-25.00%,70.45%,-2.58%,14.04%,4.45,12.43,0.36%,0.25%,0.65%,0.60%,2.04%,4.05%,5.05%,4.61%,4.39%,4.07%,3.96%,-7.16%,-1.38%,-28.05%,-49.65%,-32.29%,0.42,4.51%,3.95%,0.92%,-7.39%,-20.04%,5/8/2024 4:30:00 PM,4.94%,1.93%,2795.31,2.54,613810,9.33,9.51,9.98,9.47,9.98,6.97%,
45,"GORO","Gold Resource Corp","USA",45.34,,89.11,1.85%,0.00%,17.42%,-1.12%,0.11%,0.18,0.10,0.60%,0.60%,-0.12%,-0.12%,0.06%,-0.12%,-0.12%,-0.12%,1.01%,1.01%,23.25%,14.20%,-6.48%,51.79%,-18.05%,32.82%,0.03,6.82%,6.52%,19.02%,9.12%,29.32%,5/2/2024 4:30:00 PM,-0.12%,4.60%,552.32,2.55,121981,0.48,0.50,0.50,0.49,0.50,4.48%,
46,"HUMA","Humacyte Inc","USA",1008.61,,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,2.71,8.25,-0.15%,0.65%,-1.68%,-0.65%,0.12%,-5.36%,-1.74%,-2.31%,-1.85%,-5.57%,44.66%,17.64%,195.12%,219.62%,179.54%,198.24%,0.70,11.77%,10.32%,47.79%,36.57%,121.72%,5/10/2024 8:30:00 AM,-3.80%,4.82%,3048.31,5.42,1429590,8.40,8.81,8.99,8.31,8.47,0.83%,
47,"ARLO","Arlo Technologies Inc","USA",1686.18,,93.27,4.41%,-11.52%,84.36%,0.42%,4.86%,4.28,4.54,-0.23%,-1.03%,-0.23%,0.23%,-1.26%,-0.35%,-0.35%,1.65%,1.65%,1.65%,4.60%,31.41%,57.81%,93.29%,59.70%,81.51%,0.73,8.08%,4.70%,24.18%,28.86%,60.75%,5/9/2024 4:30:00 PM,2.13%,0.42%,1059.73,2.01,179009,16.85,16.92,17.55,16.87,17.28,2.55%,
48,"FATE","Fate Therapeutics Inc","USA",534.32,,96.91,14.87%,-0.03%,95.08%,-2.37%,20.50%,8.44,19.87,-0.55%,5.25%,6.92%,10.35%,13.93%,17.79%,17.79%,17.79%,17.79%,17.79%,49.97%,24.84%,-16.77%,3.16%,-0.76%,25.51%,0.30,7.21%,7.44%,37.28%,28.16%,11.56%,5/9/2024 4:30:00 PM,20.67%,0.00%,2354.07,3.62,738403,3.89,3.89,4.72,3.92,4.69,20.67%,
49,"CHGG","Chegg Inc","USA",371.57,,97.03,5.07%,0.00%,92.68%,-3.98%,17.26%,4.00,16.75,-0.10%,-1.46%,-1.22%,-0.36%,-1.54%,4.15%,6.25%,5.36%,7.23%,6.91%,29.82%,19.57%,-47.09%,-67.25%,-60.40%,-68.00%,0.24,6.81%,8.15%,25.74%,-0.42%,-52.34%,8/5/2024 4:30:00 PM,6.29%,7.89%,4183.26,4.09,1479053,3.17,3.42,3.75,3.42,3.63,14.67%,
50,"AVPT","AvePoint Inc","USA",1967.00,,98.16,47.02%,-0.19%,35.02%,-1.49%,7.03%,6.43,6.90,0.15%,-0.04%,-0.23%,0.15%,0.96%,0.24%,0.62%,0.15%,0.53%,0.62%,6.26%,17.56%,37.51%,30.58%,81.78%,29.30%,0.25,2.48%,2.66%,4.96%,13.59%,29.40%,5/9/2024 4:30:00 PM,0.15%,1.05%,1074.08,3.86,358931,10.49,10.60,10.64,10.47,10.62,1.20%,
51,"ZLAB","Zai Lab Limited ADR","China",1801.01,,98.59,0.53%,-14.58%,43.98%,-2.04%,2.86%,4.79,2.82,0.00%,0.28%,0.67%,0.33%,0.16%,0.03%,-1.68%,0.83%,-0.74%,-0.74%,9.33%,-7.72%,27.96%,-26.20%,-34.76%,-33.52%,0.82,4.59%,4.29%,1.83%,-2.28%,-15.54%,8/6/2024 4:30:00 PM,-0.33%,1.28%,588.88,8.71,443776,18.00,18.23,18.29,18.01,18.17,0.94%,
52,"JMIA","Jumia Technologies Ag ADR","Germany",1403.32,,100.78,0.35%,0.00%,18.42%,11.49%,6.54%,1.45,6.59,-0.04%,-0.80%,-1.28%,-0.18%,-1.53%,0.80%,3.62%,3.31%,7.14%,5.84%,26.25%,46.67%,235.14%,334.95%,235.96%,293.06%,0.94,13.17%,10.73%,56.00%,81.46%,189.67%,5/7/2024 8:30:00 AM,2.21%,2.84%,4556.63,3.34,1316964,13.20,13.57,14.23,13.59,13.88,5.11%,
53,"KSCP","Knightscope Inc","USA",38.18,,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,5.08,8.42,0.55%,0.55%,1.53%,0.55%,0.97%,-1.25%,-0.14%,-1.98%,4.11%,4.11%,21.31%,-6.36%,-42.39%,-47.80%,-86.50%,-51.42%,0.03,7.20%,9.25%,6.58%,-11.06%,-45.05%,05/29/2024,0.52%,5.65%,1659.22,10.00,1435939,0.27,0.29,0.30,0.28,0.29,6.19%,
54,"IHRT","iHeartMedia Inc","USA",201.27,,112.99,21.97%,0.00%,74.09%,-0.58%,5.23%,4.59,5.91,0.00%,-0.36%,-1.56%,-0.71%,-4.47%,-4.80%,2.21%,2.21%,2.21%,2.21%,28.70%,13.93%,-34.12%,-39.04%,-66.43%,-47.94%,0.11,9.88%,9.49%,24.97%,13.26%,-34.16%,5/9/2024 8:30:00 AM,3.73%,-1.47%,1288.47,2.33,259372,1.36,1.34,1.47,1.34,1.39,2.21%,
