"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LPA","Logistic Properties of the Americas","USA",568.72,372.87,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.07,0.02,-2.52%,-2.92%,-1.73%,-4.61%,2.49%,16.08%,15.26%,15.41%,15.04%,17.61%,99.06%,5.50%,153.68%,69.68%,76.18%,69.36%,13.45,47.46%,24.56%,35.19%,-34.90%,24.58%,,16.92%,-0.07%,245.96,9.40,200004,15.35,15.34,19.35,15.25,17.93,16.84%,
2,"ICU","SeaStar Medical Holding Corp","USA",23.65,,2.85,11.46%,0.00%,4.73%,-2.26%,8.13%,0.78,0.23,-0.74%,0.49%,-0.74%,1.65%,0.48%,0.62%,-1.94%,-2.07%,0.89%,0.07%,-43.50%,108.07%,-55.66%,-41.25%,-45.92%,-33.63%,1.59,19.13%,21.60%,-4.44%,-12.46%,-49.56%,5/14/2024 4:30:00 PM,-0.20%,0.82%,295.73,4.14,103013,7.30,7.36,7.40,7.16,7.34,0.62%,
3,"NAAS","Naas Technology Inc ADR","China",12.56,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.07,-0.07%,-0.91%,3.44%,5.46%,8.61%,7.13%,15.29%,11.43%,11.43%,11.85%,-7.77%,-57.72%,-85.01%,-89.87%,-97.19%,-90.14%,1.01,54.30%,28.13%,-19.75%,-63.08%,-90.14%,5/9/2024 4:30:00 PM,13.98%,-6.07%,1017.84,2.52,222270,2.80,2.63,3.06,2.63,3.00,7.06%,
4,"KOSS","Koss Corp.","USA",99.34,,5.22,43.64%,-0.62%,6.46%,1.01%,5.68%,0.08,0.30,-0.19%,0.00%,0.19%,-2.27%,2.48%,16.11%,11.87%,22.33%,23.17%,23.17%,8.27%,153.30%,361.94%,254.46%,193.44%,220.60%,1.98,21.26%,25.01%,66.72%,104.61%,212.00%,2/1/2024 4:30:00 PM,13.41%,8.60%,3510.25,14.65,4449577,8.72,9.47,11.24,9.22,10.74,23.17%,
5,"MIRA","Mira Pharmaceuticals Inc","USA",11.26,,9.75,34.05%,0.17%,4.20%,,0.16%,0.03,0.02,-0.01%,0.91%,-0.96%,-1.04%,4.37%,8.80%,10.42%,10.90%,12.06%,16.68%,40.49%,7.29%,-8.20%,-22.26%,,-27.44%,0.09,17.12%,9.51%,16.95%,4.02%,-48.88%,05/29/2024,4.37%,-1.35%,604.99,7.42,388526,0.74,0.73,0.78,0.70,0.76,2.96%,
6,"CDT","Conduit Pharmaceuticals Inc","USA",24.88,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,-0.27%,1.02%,-3.24%,-8.60%,-12.81%,-10.01%,-10.11%,-11.92%,-10.70%,-15.73%,-19.38%,-83.32%,-89.53%,-91.76%,-96.78%,-92.59%,0.22,35.43%,31.41%,-64.47%,-84.09%,-88.47%,,-7.67%,52.08%,313.83,2346.48,63727155,0.24,0.37,0.41,0.33,0.34,40.42%,
7,"AEON","AEON Biopharma Inc.","USA",125.98,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.68%,0.32%,-2.71%,2.88%,15.01%,16.47%,23.82%,24.82%,24.77%,19.72%,192.76%,136.79%,-54.64%,-55.02%,-59.74%,-55.27%,0.38,36.67%,17.87%,171.44%,118.43%,-46.46%,5/14/2024 4:30:00 PM,25.75%,12.32%,1001.61,149.37,12947189,2.28,2.56,3.33,2.50,3.22,41.25%,
8,"MSTR","Microstrategy Inc.","USA",28667.66,,15.76,11.13%,-18.22%,55.57%,-3.18%,17.43%,2.07,2.75,0.28%,-0.39%,-0.49%,-0.19%,-0.00%,0.12%,0.58%,-0.50%,-0.19%,1.18%,24.14%,8.90%,20.97%,232.83%,252.17%,155.85%,102.06,6.60%,6.68%,14.67%,10.86%,69.42%,8/1/2024 4:30:00 PM,0.06%,0.23%,1327.57,2.08,239007,1611.28,1615.00,1629.89,1596.20,1615.99,0.29%,
9,"VSME","Vs Media Holdings Ltd.","Hong Kong",39.16,,18.42,16.27%,0.00%,0.03%,,0.09%,0.21,0.02,2.01%,2.01%,1.71%,4.31%,1.71%,4.07%,0.00%,4.09%,-1.11%,-3.78%,17.88%,13.02%,-35.62%,-37.45%,,-32.73%,0.34,21.93%,21.08%,4.16%,-16.36%,-58.61%,,1.71%,-0.57%,79.17,167.27,1145977,1.76,1.75,1.86,1.70,1.78,1.14%,
10,"EARN","Ellington Credit Co.","USA",144.91,24.91,20.18,1.45%,0.00%,17.31%,,2.10%,1.50,0.42,-0.01%,-0.01%,-0.15%,0.06%,0.25%,0.34%,0.34%,-0.01%,0.27%,0.27%,1.42%,1.13%,7.59%,15.67%,-1.26%,15.49%,0.12,1.54%,1.74%,1.13%,0.79%,11.37%,5/14/2024 4:30:00 PM,0.34%,0.50%,282.96,5.66,134621,7.02,7.05,7.09,7.04,7.08,0.84%,
11,"KZIA","Kazia Therapeutics Limited ADR","Australia",14.69,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,-0.58%,-0.54%,0.81%,-1.13%,-5.85%,-3.48%,0.89%,0.23%,11.10%,21.03%,223.70%,156.50%,102.44%,77.62%,-37.85%,41.41%,0.17,91.66%,32.28%,79.69%,106.10%,50.00%,,3.39%,7.74%,11754.45,10.67,10848804,0.56,0.60,0.68,0.58,0.62,11.40%,
12,"OUST","Ouster Inc","USA",756.35,,25.78,43.00%,-0.05%,28.90%,-19.85%,14.38%,3.23,3.71,0.74%,0.62%,0.53%,1.29%,4.94%,3.75%,3.42%,2.65%,3.16%,3.22%,44.28%,58.51%,119.17%,152.22%,175.04%,118.02%,0.88,10.43%,6.96%,54.55%,49.75%,131.43%,5/9/2024 4:30:00 PM,3.22%,1.12%,1146.96,3.83,379770,16.02,16.20,16.70,15.76,16.72,4.38%,
13,"AEHR","Aehr Test Systems","USA",480.05,32.06,27.11,6.23%,-0.48%,64.42%,35.54%,21.56%,5.91,5.85,-0.00%,0.03%,-0.39%,-0.39%,-0.63%,-1.77%,0.21%,0.03%,0.04%,-0.03%,33.80%,21.29%,43.77%,-4.95%,-66.08%,-37.41%,1.02,9.71%,7.51%,35.72%,37.81%,-13.91%,7/16/2024 4:30:00 PM,0.94%,0.12%,989.55,3.04,260141,16.43,16.45,17.23,16.44,16.60,1.07%,
14,"IMMR","Immersion Corp","USA",382.20,8.70,28.45,10.70%,-0.52%,56.27%,-2.25%,6.41%,3.21,1.82,0.17%,0.08%,0.67%,1.35%,0.33%,-1.07%,-7.83%,-2.60%,3.54%,3.54%,20.48%,12.36%,68.07%,76.47%,69.73%,69.97%,0.41,4.03%,3.71%,18.73%,25.04%,57.99%,5/8/2024 4:30:00 PM,-3.23%,7.45%,567.08,4.39,215256,11.54,12.40,12.32,11.71,12.00,3.99%,
15,"GRND","Grindr Inc","USA",2221.85,,31.64,82.00%,-2.33%,8.30%,15.07%,11.79%,6.08,3.73,1.80%,1.27%,0.71%,0.67%,-0.27%,1.51%,1.51%,1.51%,2.28%,2.28%,2.92%,34.02%,26.01%,44.94%,122.90%,43.95%,0.44,3.29%,4.63%,11.73%,22.40%,45.65%,5/9/2024 4:30:00 PM,1.80%,0.04%,613.51,2.85,151291,12.41,12.41,12.83,12.40,12.64,1.84%,
16,"SLDB","Solid Biosciences Inc","USA",374.97,,31.76,17.24%,0.01%,78.12%,-0.60%,9.60%,7.02,3.05,1.03%,0.31%,1.98%,6.20%,6.31%,9.90%,5.51%,7.73%,10.52%,13.21%,46.70%,14.81%,-2.30%,26.72%,98.98%,59.12%,0.79,12.12%,10.91%,46.25%,23.03%,38.28%,05/09/2024,9.53%,4.21%,434.41,2.77,104084,8.56,8.92,9.75,8.96,9.77,14.14%,
17,"PAYS","PaySign Inc","USA",272.22,39.89,32.53,38.60%,8.33%,26.75%,7.21%,1.42%,2.41,0.46,0.26%,-0.23%,1.75%,1.45%,4.01%,7.05%,14.44%,14.44%,16.21%,16.21%,31.75%,27.66%,26.56%,100.71%,130.41%,83.51%,0.24,3.95%,5.00%,29.04%,18.12%,59.48%,7/31/2024 4:30:00 PM,10.26%,7.62%,190.88,23.54,388790,4.33,4.66,5.15,4.60,5.14,18.67%,
18,"AMSC","American Superconductor Corp.","USA",1189.25,,35.48,4.10%,-7.26%,62.78%,1.11%,6.35%,2.39,2.25,-0.24%,-0.33%,-1.22%,-0.80%,0.40%,0.44%,1.55%,0.92%,0.54%,0.54%,17.82%,22.03%,166.52%,217.92%,391.09%,188.53%,1.72,6.45%,7.36%,24.80%,56.60%,144.99%,5/29/2024 4:30:00 PM,1.36%,1.67%,944.41,3.30,269812,31.19,31.71,32.58,31.64,32.14,3.05%,
19,"AAOI","Applied Optoelectronics Inc","USA",414.49,,35.51,8.74%,1.52%,69.32%,-2.45%,29.04%,5.34,10.31,0.78%,0.31%,0.02%,-0.16%,1.16%,1.94%,3.02%,2.53%,2.92%,4.44%,25.47%,5.58%,-4.55%,-38.81%,16.55%,-44.86%,0.67,7.55%,7.37%,20.02%,4.50%,-19.99%,5/9/2024 4:30:00 PM,2.73%,1.67%,1933.13,2.68,447946,10.20,10.37,10.80,10.35,10.65,4.44%,
20,"TKLF","Yoshitsu Co Ltd ADR","Japan",18.22,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,0.32%,-5.53%,-5.81%,-4.65%,3.29%,17.65%,11.92%,14.91%,69.36%,86.11%,96.37%,130.40%,112.38%,-27.54%,-60.74%,-28.29%,0.05,16.52%,10.35%,99.66%,108.68%,1.06%,7/16/2024 8:30:00 AM,17.54%,39.59%,2213.94,323.49,61978761,0.31,0.43,0.58,0.38,0.50,64.08%,
21,"MORF","Morphic Holding Inc","USA",2806.35,,38.44,23.32%,-1.36%,92.19%,-1.45%,15.51%,3.09,5.96,0.01%,0.01%,0.01%,0.06%,0.03%,-0.06%,0.10%,0.10%,0.37%,0.37%,0.62%,101.86%,89.82%,101.57%,-4.95%,93.96%,2.28,0.36%,4.41%,46.97%,69.04%,88.55%,4/25/2024 8:30:00 AM,0.10%,0.05%,1926.44,2.73,455624,55.93,55.96,56.12,55.95,56.01,0.15%,
22,"ANGO","Angiodynamic Inc","USA",278.46,,38.60,3.62%,0.69%,88.76%,-0.27%,4.61%,4.08,1.78,-0.18%,0.78%,0.18%,1.21%,-1.38%,2.44%,6.97%,4.87%,10.36%,10.36%,23.72%,11.78%,10.19%,15.88%,-27.80%,-11.32%,0.32,5.20%,4.03%,19.90%,14.98%,9.72%,7/16/2024 8:30:00 AM,1.28%,15.77%,436.31,13.29,501623,5.93,6.86,7.10,6.58,6.95,17.25%,
23,"ZVRA","Zevra Therapeutics Inc","USA",281.44,,41.54,0.74%,3.34%,33.63%,-5.54%,7.12%,11.31,2.96,0.00%,0.07%,-0.06%,-0.23%,1.89%,2.67%,2.05%,2.52%,5.08%,5.08%,22.83%,36.97%,40.54%,13.60%,41.58%,2.67%,0.38,12.99%,6.68%,38.62%,39.73%,30.08%,5/8/2024 8:30:00 AM,1.59%,6.26%,261.58,4.81,108786,6.23,6.62,6.78,6.52,6.72,7.95%,
24,"TOYO","TOYO Co Ltd.","Japan",133.92,15.94,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.85%,-0.82%,-2.26%,-2.19%,-4.16%,0.21%,-0.13%,0.52%,3.05%,6.02%,87.42%,-69.23%,-74.02%,-72.98%,-70.92%,-73.64%,1.16,25.64%,25.84%,-44.84%,-64.94%,-71.43%,,0.35%,1.22%,1266.77,4.62,492364,2.86,2.89,3.10,2.86,2.90,1.57%,
25,"SAVA","Cassava Sciences Inc","USA",606.47,,44.90,6.40%,0.00%,24.44%,4.60%,29.16%,8.98,13.09,1.53%,2.01%,3.69%,4.03%,3.10%,1.85%,1.85%,1.29%,1.12%,1.94%,9.44%,-36.45%,-36.83%,-51.83%,-41.56%,-43.85%,1.45,12.97%,14.36%,-15.83%,-32.76%,-40.20%,5/10/2024 4:30:00 PM,1.69%,0.81%,1458.61,2.08,262821,12.33,12.43,12.71,12.06,12.64,2.51%,
26,"PLBY","PLBY Group Inc","USA",70.26,,47.94,34.15%,-0.77%,11.26%,2.12%,5.23%,7.98,2.51,0.52%,2.11%,2.66%,4.81%,3.77%,3.79%,8.43%,8.43%,7.22%,7.22%,28.87%,17.67%,6.63%,-22.18%,-41.87%,-3.50%,0.06,9.23%,6.85%,22.20%,10.32%,10.02%,5/9/2024 4:30:00 PM,3.77%,3.33%,313.85,4.57,120648,0.90,0.93,0.97,0.92,0.96,7.23%,
27,"STVN","Stevanato Group Spa","Italy",5921.84,39.05,49.48,81.86%,0.00%,18.83%,-0.01%,7.78%,5.65,3.85,-1.36%,-1.30%,-1.21%,-0.55%,-1.27%,0.14%,0.14%,0.14%,0.14%,0.14%,13.07%,18.63%,-26.28%,-21.40%,-31.23%,-20.45%,1.16,6.75%,5.99%,16.85%,8.41%,-19.91%,5/9/2024 8:30:00 AM,0.14%,2.02%,681.44,2.81,165747,21.25,21.68,22.15,21.71,21.71,2.16%,
28,"LMND","Lemonade Inc","USA",1518.58,,50.83,27.90%,0.09%,40.62%,6.78%,32.70%,11.35,16.62,0.09%,-0.60%,-0.18%,0.59%,1.41%,3.83%,3.06%,3.31%,3.41%,3.41%,18.42%,39.60%,31.74%,29.60%,15.25%,33.54%,0.86,7.02%,4.74%,27.99%,27.78%,33.06%,7/30/2024 4:30:00 PM,2.63%,1.69%,1464.44,2.84,360136,20.64,20.99,21.68,20.73,21.54,4.36%,
29,"VTEX","Vtex","United Kingdom",1290.31,,51.23,72.21%,0.00%,17.79%,-7.17%,0.84%,0.91,0.43,0.50%,0.62%,0.86%,0.86%,1.52%,1.74%,1.74%,1.74%,1.74%,2.04%,-4.11%,3.40%,-6.42%,-9.79%,38.07%,1.74%,0.23,4.40%,3.28%,-0.32%,0.01%,-1.15%,5/7/2024 4:30:00 PM,1.82%,0.22%,474.23,3.13,124783,6.86,6.88,6.99,6.89,7.00,2.04%,
30,"MATV","Mativ Holdings Inc","USA",874.55,,53.02,2.39%,2.16%,97.56%,85.24%,2.06%,3.41,1.09,0.00%,0.00%,0.00%,0.75%,0.25%,-0.12%,-0.12%,0.56%,0.00%,0.00%,1.00%,-9.65%,-7.52%,22.99%,1.77%,5.16%,0.60,3.85%,3.75%,-2.48%,-7.26%,4.31%,5/8/2024 4:30:00 PM,-0.12%,1.13%,321.25,6.11,169864,15.94,16.12,16.10,15.96,16.10,1.00%,
31,"ARBK","Argo Blockchain Plc ADR","United Kingdom",80.69,,53.53,,,4.14%,-8.24%,1.41%,2.57,0.75,-0.36%,0.37%,1.09%,1.60%,3.33%,4.89%,5.47%,5.28%,4.49%,4.49%,25.68%,3.33%,4.10%,-31.62%,-32.45%,-62.70%,0.11,10.60%,8.85%,17.05%,6.46%,-15.79%,5/23/2024 4:30:00 PM,5.68%,-1.49%,292.90,6.80,167596,1.34,1.32,1.42,1.32,1.39,4.10%,
32,"SLS","SELLAS Life Sciences Group Inc","USA",65.55,,57.48,0.48%,0.00%,13.36%,-11.61%,15.41%,7.39,8.86,0.00%,-0.44%,-0.45%,0.44%,0.41%,-2.16%,2.25%,-2.16%,3.18%,3.18%,-3.81%,-21.72%,-14.66%,112.99%,-33.63%,7.08%,0.10,4.91%,11.11%,-3.75%,-13.39%,2.34%,5/14/2024 4:30:00 PM,-0.44%,4.59%,1199.63,5.37,541828,1.09,1.14,1.19,1.13,1.13,4.13%,
33,"FULC","Fulcrum Therapeutics Inc","USA",575.92,,57.64,7.27%,0.85%,91.54%,24.20%,9.18%,6.83,5.29,0.61%,-0.36%,0.07%,-0.36%,-0.25%,2.34%,6.51%,6.51%,6.03%,6.51%,41.91%,18.80%,25.90%,30.52%,151.81%,37.28%,0.53,9.10%,6.97%,38.66%,26.20%,33.96%,5/13/2024 8:30:00 AM,8.13%,1.42%,775.26,2.17,145828,8.45,8.57,9.44,8.57,9.27,9.66%,
34,"ASG","Liberty All-Star Growth Fund Inc","USA",339.58,5.94,59.95,0.34%,7.07%,26.30%,,0.07%,0.22,0.04,0.27%,0.27%,0.62%,0.71%,1.26%,1.35%,1.35%,1.19%,1.16%,1.16%,4.93%,7.52%,8.35%,7.32%,1.35%,6.91%,0.05,0.86%,0.92%,5.84%,6.94%,9.02%,,1.35%,0.18%,200.60,7.48,126169,5.56,5.57,5.61,5.57,5.64,1.53%,
35,"DAWN","Day One Biopharmaceuticals Inc","USA",1399.99,,60.62,30.64%,-1.08%,73.16%,2.05%,17.23%,8.67,10.44,0.16%,0.38%,0.25%,0.31%,0.25%,0.25%,0.13%,1.59%,1.59%,1.65%,7.73%,23.99%,15.67%,14.92%,37.51%,9.73%,0.64,3.27%,4.82%,15.48%,11.43%,15.24%,5/6/2024 4:30:00 PM,0.56%,1.46%,1204.30,2.35,238072,15.70,15.93,16.07,15.79,16.02,2.04%,
36,"ARQQ","Arqit Quantum Inc","United Kingdom",75.03,,63.20,62.47%,0.00%,5.34%,26.67%,4.88%,1.69,3.08,0.34%,0.02%,0.00%,0.11%,1.25%,1.25%,2.48%,1.76%,1.25%,2.98%,28.39%,19.21%,-13.46%,-5.05%,-64.64%,-6.01%,0.03,10.34%,9.03%,32.48%,18.71%,-10.97%,5/20/2024 8:30:00 AM,1.25%,8.78%,1819.54,4.00,630139,0.40,0.44,0.45,0.43,0.45,10.14%,
37,"QUBT","Quantum Computing Inc","USA",66.51,,65.30,28.53%,0.00%,4.06%,6.29%,4.99%,3.38,3.26,0.50%,1.00%,-1.42%,-0.86%,0.40%,1.25%,2.55%,2.05%,2.54%,2.54%,26.96%,9.47%,-3.45%,-8.43%,-42.68%,-20.27%,0.06,9.63%,11.10%,24.07%,8.13%,-11.78%,6/12/2024 8:30:00 AM,1.11%,3.02%,964.01,2.38,198736,0.70,0.72,0.74,0.71,0.73,4.16%,
38,"OKLO","Oklo Inc.","USA",1097.68,48.07,69.37,43.19%,0.00%,19.48%,0.29%,7.99%,1.44,5.54,0.06%,-0.22%,-0.33%,-0.33%,-0.17%,0.67%,1.12%,1.70%,1.05%,0.45%,17.06%,-11.95%,-28.08%,-15.51%,-13.31%,-14.87%,0.90,11.00%,10.17%,4.74%,-7.37%,-15.53%,05/29/2024,0.67%,2.41%,3843.77,2.16,718551,8.72,8.93,9.17,8.90,8.99,3.10%,
39,"MAPS","WM Technology Inc","USA",97.90,,75.32,20.75%,-3.38%,32.81%,-1.55%,0.95%,0.91,0.71,0.02%,0.49%,0.01%,0.00%,0.97%,0.98%,0.98%,0.98%,1.98%,1.98%,0.98%,3.75%,-12.71%,14.57%,3.25%,43.00%,0.08,6.01%,8.13%,-1.34%,-1.28%,1.53%,5/24/2024 4:30:00 PM,0.98%,2.73%,782.98,2.20,149365,0.99,1.02,1.03,1.00,1.03,3.74%,
40,"UPST","Upstart Holdings Inc","USA",2652.66,,75.47,14.12%,-2.66%,44.29%,-14.32%,33.34%,5.17,25.16,0.08%,-0.77%,-0.28%,-0.87%,-1.75%,-0.87%,-0.35%,-0.74%,-0.71%,-1.36%,24.53%,30.84%,37.58%,-5.52%,-35.13%,-26.13%,1.43,7.03%,5.10%,27.12%,23.48%,8.31%,8/6/2024 4:30:00 PM,-0.12%,0.87%,4870.26,3.40,1434511,29.96,30.22,30.85,30.08,30.18,0.75%,
