"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",23.86,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.07,0.03,-0.80%,-6.63%,4.95%,30.94%,58.94%,58.94%,58.94%,58.94%,58.94%,58.94%,138.70%,-9.94%,-55.60%,,,-74.95%,0.23,10.71%,21.16%,36.40%,-29.02%,-54.97%,242.28,5636356,0.62,0.59,1.43,0.58,1.27,105.49%
2,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",3.51,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-0.46%,-0.91%,-3.36%,-3.41%,-5.61%,-4.97%,-5.43%,-15.39%,-0.64%,-0.64%,25.36%,88.60%,65.04%,155.29%,-73.34%,90.19%,0.08,9.76%,17.45%,28.67%,47.15%,64.10%,25.43,8288888,0.52,0.60,0.74,0.59,0.59,13.31%
3,"BITX","2x Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.03%,0.04%,0.12%,0.18%,0.53%,0.36%,0.42%,0.27%,0.24%,0.24%,21.64%,-20.40%,-26.66%,26.93%,108.77%,48.68%,2.77,5.33%,5.62%,0.56%,-12.90%,8.55%,2.89,778380,28.92,33.78,34.46,33.50,33.84,17.01%
4,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",32.78,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-1.07%,-1.33%,0.27%,-1.59%,0.00%,0.82%,-1.60%,-4.39%,-7.04%,-7.04%,-55.42%,-68.44%,-67.43%,-66.49%,-63.18%,-66.76%,1.75,60.13%,31.70%,-54.52%,-63.47%,-65.36%,286.60,4613310,3.43,4.07,4.08,3.55,3.70,7.87%
5,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.34,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,-0.60%,-2.41%,-2.99%,-1.80%,-5.28%,-1.81%,-0.60%,-1.21%,-9.02%,-9.02%,34.19%,19.28%,-20.67%,54.84%,-63.89%,50.50%,0.20,10.20%,13.85%,23.25%,3.95%,-19.37%,41.40,4098724,1.29,1.78,1.80,1.52,1.61,24.83%
6,"DATS","DatChat Inc","Technology","Software - Application","USA",6.20,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,-0.48%,2.49%,-0.97%,-0.96%,-1.90%,-7.21%,-3.29%,-7.21%,-13.45%,-13.45%,90.74%,59.69%,77.57%,-17.93%,-58.80%,-28.22%,0.19,4.38%,6.00%,76.23%,59.76%,26.06%,2419.06,18918605,1.04,2.46,2.59,1.99,2.06,98.08%
7,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8718.25,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,0.61%,0.15%,0.57%,1.66%,1.37%,0.72%,0.31%,-0.50%,-3.27%,-3.27%,51.39%,12.14%,40.84%,171.28%,251.72%,162.29%,4.77,6.09%,10.69%,41.04%,10.04%,43.85%,35.20,12023610,30.89,49.86,54.47,37.40,45.90,48.59%
8,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",50.83,,0.01,186.14,176.40,5.23%,0.00%,1.11%,,1.65%,0.92,2.91,-1.73%,1.15%,1.15%,-0.65%,-8.94%,-8.94%,-8.94%,-8.94%,-8.94%,-8.94%,7.52%,-2.81%,-39.08%,-46.76%,-61.62%,-58.80%,0.03,7.15%,7.97%,5.59%,-11.97%,-44.55%,7.14,1135656,0.25,0.26,0.31,0.25,0.27,9.94%
9,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",13.81,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-0.07%,-2.59%,-3.08%,-2.78%,-12.68%,-19.46%,-2.68%,31.59%,48.61%,48.61%,70.55%,26.26%,3.75%,-5.14%,,-11.02%,0.10,11.12%,7.87%,43.74%,27.29%,-38.07%,2046.62,11692197,0.59,0.63,1.25,0.63,0.93,58.57%
10,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",28.53,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,-0.01%,0.25%,0.79%,1.06%,-0.81%,0.77%,-1.59%,4.44%,6.52%,6.52%,-41.41%,-14.39%,33.91%,-51.49%,-84.18%,-58.89%,2.75,40.44%,45.33%,-55.83%,-28.43%,-71.82%,2.60,1133378,3.44,3.52,4.13,3.49,3.75,9.00%
