"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",27.37,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,0.02%,0.93%,1.39%,2.79%,-2.83%,-6.64%,-2.17%,7.24%,7.24%,7.24%,15.87%,8.28%,13.80%,110.42%,-18.59%,89.03%,0.14,2.78%,4.61%,18.06%,10.56%,52.53%,4/15/2024 8:30:00 AM,7.24%,5.05%,78.20,776.02,3034361,1.98,2.08,2.70,2.00,2.23,12.65%,
2,"CDT","Conduit Pharmaceuticals Inc","USA",28.13,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,0.26%,0.26%,0.00%,0.24%,-3.69%,-4.75%,-4.92%,2.36%,-4.73%,-4.73%,-8.85%,-81.14%,-88.17%,-90.68%,-96.36%,-91.63%,0.22,35.43%,31.41%,-59.83%,-82.01%,-86.97%,,-9.52%,75.46%,313.83,2836.41,44507930,0.24,0.42,0.43,0.35,0.38,58.75%,
3,"AEON","AEON Biopharma Inc.","USA",106.80,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.37%,0.37%,-0.73%,-1.08%,-0.36%,1.49%,5.00%,6.23%,1.49%,1.49%,148.18%,100.74%,-61.55%,-61.87%,-65.87%,-62.08%,0.35,36.67%,17.87%,130.11%,85.16%,-54.62%,5/14/2024 4:30:00 PM,0.74%,18.86%,1001.61,63.33,3171626,2.28,2.71,2.97,2.41,2.73,19.74%,
4,"SIEB","Siebert Financial Corp.","USA",70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,0.00%,-2.76%,-2.22%,-0.56%,0.00%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,423.14,349722,1.72,1.84,1.92,1.74,1.76,2.33%,
5,"MGRX","Mangoceuticals Inc","USA",11.65,,13.97,43.72%,-1.14%,1.32%,,0.89%,0.02,0.12,-1.03%,1.21%,-6.10%,-2.67%,5.55%,5.55%,21.16%,18.44%,18.44%,18.44%,44.46%,38.05%,92.42%,53.93%,-72.05%,69.56%,0.05,12.94%,12.15%,42.86%,39.34%,19.17%,,18.44%,2.75%,5435.08,14.90,4049199,0.39,0.40,0.50,0.39,0.47,21.70%,
6,"KZIA","Kazia Therapeutics Limited ADR","Australia",15.36,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,-0.75%,-0.91%,-0.78%,-2.69%,0.00%,10.23%,14.06%,25.00%,26.58%,26.58%,238.54%,168.26%,111.73%,85.77%,-35.00%,47.90%,0.18,91.66%,32.28%,87.93%,115.55%,56.87%,,26.58%,-7.96%,11754.45,7.28,4277559,0.56,0.51,0.70,0.50,0.65,16.51%,
7,"TKLF","Yoshitsu Co Ltd ADR","Japan",16.18,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,-1.04%,3.55%,3.14%,-2.11%,-9.18%,-5.10%,59.43%,50.45%,65.33%,65.33%,74.44%,104.68%,88.67%,-35.63%,-65.13%,-36.29%,0.05,16.52%,10.35%,77.37%,85.38%,-10.22%,7/16/2024 8:30:00 AM,65.33%,-11.84%,2213.94,161.67,17896477,0.31,0.27,0.52,0.27,0.45,45.76%,
8,"TOYO","TOYO Co Ltd.","Japan",134.20,15.98,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,-0.61%,-0.61%,-0.65%,-1.36%,-2.31%,-0.27%,3.88%,6.63%,6.24%,6.24%,87.81%,-69.16%,-73.96%,-72.92%,-70.86%,-73.58%,1.18,25.64%,25.84%,-44.72%,-64.86%,-71.37%,,6.24%,-4.20%,1266.77,3.11,197180,2.86,2.74,3.06,2.65,2.91,1.79%,
9,"KSCP","Knightscope Inc","USA",38.77,,111.19,15.10%,0.42%,3.73%,18.67%,7.58%,5.08,8.42,0.92%,-0.30%,-0.34%,-0.30%,0.34%,-0.34%,5.71%,5.71%,5.71%,5.71%,23.18%,-4.91%,-41.50%,-46.99%,-86.30%,-50.67%,0.03,7.20%,9.25%,8.23%,-9.69%,-44.20%,05/29/2024,7.64%,0.18%,1659.22,8.55,709023,0.27,0.28,0.30,0.27,0.30,7.83%,
10,"CEI","Camber Energy Inc","USA",23.91,,171.69,2.34%,0.00%,3.02%,10.09%,1.92%,0.38,3.29,0.67%,0.67%,0.74%,0.00%,1.87%,0.00%,0.82%,0.82%,0.82%,0.82%,13.24%,-8.05%,-33.63%,-25.68%,-82.86%,-40.46%,0.01,6.98%,8.75%,12.30%,-8.27%,-36.72%,,2.56%,-0.08%,8671.51,2.01,869533,0.13,0.13,0.14,0.13,0.14,2.49%,
