"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",35.21,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.35%,-1.74%,-0.70%,-2.41%,-1.74%,-5.35%,-5.67%,-8.41%,-11.56%,-11.56%,,,,,,15.51%,1.37,,,15.51%,15.51%,15.51%,-11.56%,30.61%,2081.96,36.01,3748863,2.45,3.20,3.28,2.79,2.83,15.51%,,
2,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",17.48,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,0.22%,2.22%,4.55%,0.22%,-8.37%,-2.95%,18.56%,22.67%,22.67%,22.67%,161.36%,142.11%,41.10%,-65.95%,-93.15%,-69.22%,0.94,89.62%,42.27%,77.03%,68.75%,-70.30%,22.67%,-3.35%,2158.58,12.88,1390332,3.88,3.75,5.38,3.62,4.60,18.56%,,
3,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",48.22,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,0.08%,0.40%,0.43%,2.59%,0.39%,2.28%,-5.15%,-2.02%,29.47%,29.47%,315.10%,359.54%,275.02%,243.44%,,210.73%,0.67,93.07%,32.01%,210.33%,267.63%,134.46%,37.67%,0.42%,3780.30,70.86,13392814,2.36,2.37,3.77,2.35,3.26,38.25%,,
4,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",14.19,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,0.95%,-0.93%,0.00%,-2.75%,-6.19%,-5.36%,1.92%,3.92%,-10.92%,-10.92%,147.09%,188.20%,32.83%,-81.35%,-89.57%,-88.53%,0.12,11.55%,14.43%,204.55%,86.70%,-76.64%,-6.19%,188.71%,1037.59,517.17,26830516,0.39,1.13,1.38,0.98,1.06,170.82%,,
5,"SLGL","Sol-Gel Technologies Ltd","Healthcare","Biotechnology","Israel",18.67,,,27.86,9.42,33.81%,66.20%,0.00%,27.99%,0.31%,0.10%,0.25,0.01,,-1453.95%,-1329.13%,-0.52%,1.42%,0.01%,-0.04%,4.72%,2.40%,0.07%,-23.41%,-15.92%,-15.92%,-22.43%,-25.54%,-27.16%,-41.73%,-82.73%,-39.36%,0.12,11.17%,9.95%,-21.78%,-17.77%,-37.69%,-6.93%,7.46%,36.30,5536.37,10047215,0.67,0.72,1.14,0.61,0.67,0.01%,,
