"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",3.58,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-0.48%,-0.48%,-3.38%,-3.80%,-3.40%,-2.85%,-10.88%,1.57%,1.57%,1.57%,28.15%,92.80%,68.71%,160.96%,-72.75%,94.42%,0.08,9.76%,17.45%,31.53%,50.43%,67.75%,15.83,5160641,0.52,0.60,0.73,0.59,0.60,15.83%
2,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",33.31,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-0.27%,-0.27%,0.27%,1.35%,-0.79%,0.53%,0.53%,-5.53%,-5.53%,-5.53%,-54.70%,-67.93%,-66.90%,-65.94%,-62.59%,-66.22%,1.75,60.13%,31.70%,-53.79%,-62.88%,-64.80%,267.11,4299513,3.43,4.07,4.08,3.56,3.76,9.62%
3,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",6.34,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,0.00%,0.00%,1.26%,1.90%,1.90%,-1.23%,4.55%,-9.04%,-9.04%,-9.04%,34.17%,19.26%,-20.69%,54.81%,-63.90%,50.47%,0.20,10.20%,13.85%,23.23%,3.93%,-19.38%,36.35,3598117,1.29,1.78,1.78,1.52,1.61,24.81%
4,"DATS","DatChat Inc","Technology","Software - Application","USA",6.56,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,0.93%,-2.24%,-2.68%,-3.54%,-3.54%,-0.46%,-4.80%,-8.40%,-8.40%,-8.40%,101.85%,68.99%,87.91%,-13.15%,-56.40%,-24.04%,0.19,4.38%,6.00%,86.49%,69.06%,33.41%,1919.76,15013773,1.04,2.46,2.59,2.02,2.18,109.62%
5,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",8456.13,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,-0.18%,-1.33%,-2.02%,-2.02%,-2.48%,-3.07%,-3.32%,-6.17%,-6.17%,-6.17%,46.83%,8.77%,36.61%,163.12%,241.15%,154.40%,4.44,6.09%,10.69%,36.80%,6.74%,39.53%,28.03,9574879,30.89,49.86,49.86,44.41,44.52,44.12%
6,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",16.70,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,0.00%,0.89%,8.65%,5.61%,19.93%,31.26%,21.51%,79.74%,79.74%,79.74%,106.28%,52.70%,25.49%,14.73%,,7.62%,0.10,11.12%,7.87%,73.85%,53.95%,-25.09%,906.77,5180307,0.59,0.63,1.25,0.63,1.13,91.79%
7,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",18.65,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,0.00%,0.00%,0.00%,0.00%,2.88%,4.26%,8.00%,13.20%,13.20%,13.20%,34.65%,59.97%,93.19%,124.38%,-1.66%,169.11%,0.08,24.24%,19.13%,61.53%,68.90%,88.01%,14.67,616052,0.53,0.52,0.64,0.51,0.60,13.47%
8,"PHUN","Phunware Inc","Technology","Software - Application","USA",61.59,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,0.00%,-0.13%,-0.39%,-1.03%,-1.79%,-2.04%,-2.42%,-4.84%,-4.84%,-4.84%,33.62%,32.70%,5.50%,103.99%,-61.55%,87.07%,0.57,5.96%,7.59%,36.98%,23.77%,-7.30%,125.38,2284611,5.83,8.20,8.27,7.52,7.67,31.56%
9,"RUM","Rumble Inc","Technology","Software - Application","USA",1825.12,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,0.00%,0.00%,0.15%,0.00%,0.15%,-0.61%,-1.67%,-2.12%,-2.12%,-2.12%,13.31%,11.36%,1.73%,74.39%,-26.31%,44.10%,0.30,3.98%,4.13%,15.32%,3.58%,9.80%,9.54,543182,5.94,6.77,6.83,6.46,6.47,8.92%
10,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",3.40,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,0.96%,5.53%,5.00%,8.43%,2.94%,4.13%,0.32%,35.78%,35.78%,35.78%,109.25%,134.20%,31.25%,9.57%,-57.72%,5.81%,0.83,13.48%,19.40%,85.96%,69.12%,17.42%,90.52,2554580,4.06,4.67,8.36,4.59,6.30,55.17%
11,"SGD","Safe and Green Development Corp","Real Estate","Real Estate - Development","USA",6.40,,0.00,10.00,8.94,44.26%,0.00%,1.69%,,4.79%,0.12,0.43,0.00%,0.00%,-0.23%,-0.23%,-1.43%,-1.43%,-0.99%,-2.68%,-2.68%,-2.68%,-6.09%,-13.24%,-42.49%,-69.06%,,-71.49%,0.04,5.84%,7.24%,-5.05%,-19.79%,-60.99%,6.70,1162519,0.40,0.41,0.41,0.40,0.40,0.31%
12,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",6.13,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,0.00%,0.00%,0.00%,0.01%,0.00%,-0.52%,1.99%,1.92%,1.92%,1.92%,-69.84%,-75.58%,33.41%,-18.10%,-68.95%,-15.63%,0.80,46.19%,30.70%,-69.50%,-55.89%,-31.22%,44.62,1193492,0.84,0.93,0.97,0.91,0.95,13.03%
