"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CDT","Conduit Pharmaceuticals Inc","USA",28.96,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,0.59%,2.08%,0.64%,-3.73%,-2.00%,-1.90%,-1.90%,-1.90%,-1.90%,-1.90%,-6.15%,-80.58%,-87.82%,-90.41%,-96.26%,-91.38%,0.22,35.43%,31.41%,-58.64%,-81.47%,-86.58%,,-6.84%,75.46%,313.83,1741.07,27320251,0.24,0.42,0.42,0.38,0.39,63.46%,
2,"AEON","AEON Biopharma Inc.","USA",99.36,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,2.42%,2.38%,0.79%,-3.05%,-4.55%,-5.58%,-5.58%,-5.58%,-5.58%,-5.58%,130.91%,86.76%,-64.23%,-64.53%,-68.25%,-64.72%,0.33,36.67%,17.87%,114.09%,72.28%,-57.77%,5/14/2024 4:30:00 PM,-6.27%,18.86%,1001.61,41.17,2061961,2.28,2.71,2.71,2.47,2.54,11.40%,
3,"SIEB","Siebert Financial Corp.","USA",70.19,8.17,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,0.00%,0.00%,-2.22%,-4.35%,-4.35%,-4.35%,-4.35%,-4.35%,-4.35%,1.74%,-3.30%,-16.19%,-4.74%,-25.11%,4.76%,0.11,2.43%,6.23%,2.74%,-12.51%,-6.11%,,-4.35%,6.98%,16.53,305.52,252511,1.72,1.84,1.84,1.76,1.76,2.33%,
4,"PASG","Passage Bio Inc","USA",59.17,,44.54,27.74%,-0.02%,32.76%,-5.98%,3.79%,15.78,1.69,-1.02%,-1.32%,-2.04%,-1.84%,-7.69%,-7.69%,-7.69%,-7.69%,-7.69%,-7.69%,12.28%,-10.28%,-21.95%,-11.11%,-4.48%,-4.95%,0.10,7.59%,9.07%,4.59%,-15.04%,-6.32%,5/14/2024 8:30:00 AM,-5.88%,10.71%,106.90,60.69,324402,0.92,1.02,1.12,0.94,0.96,4.20%,
5,"HYZN","Hyzon Motors Inc","USA",81.64,,129.54,47.64%,-7.93%,17.28%,-2.31%,6.35%,18.50,8.23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-7.17%,-32.40%,-46.77%,-48.80%,-77.70%,-63.13%,0.03,7.86%,11.91%,-6.47%,-28.02%,-54.98%,5/13/2024 4:30:00 PM,0.00%,0.30%,444.74,7.61,169238,0.33,0.33,0.33,0.33,0.33,0.30%,
