"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LASE","Laser Photonics Corp","USA",27.24,,0.90,92.63%,0.00%,1.58%,478.04%,5.96%,0.69,0.05,-1.33%,-1.29%,0.00%,1.37%,-1.77%,2.73%,0.00%,-2.63%,6.73%,6.73%,15.32%,7.77%,13.27%,109.43%,-18.98%,88.14%,0.14,2.78%,4.61%,17.51%,10.04%,51.81%,4/15/2024 8:30:00 AM,6.73%,5.05%,78.20,910.59,3560515,1.98,2.08,2.70,2.00,2.22,12.12%,
2,"CDT","Conduit Pharmaceuticals Inc","USA",28.04,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,0.45%,-0.86%,-0.63%,-1.94%,-2.04%,-0.73%,-0.05%,-5.22%,-5.03%,-5.03%,-9.14%,-81.20%,-88.20%,-90.71%,-96.38%,-91.65%,0.22,35.43%,31.41%,-59.96%,-82.06%,-87.01%,,-9.81%,75.46%,313.83,2972.63,46645328,0.24,0.42,0.43,0.35,0.38,58.25%,
3,"AEON","AEON Biopharma Inc.","USA",102.92,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,0.05%,0.42%,0.08%,0.38%,0.42%,1.98%,-3.63%,1.19%,-2.19%,-2.19%,139.18%,93.46%,-62.94%,-63.25%,-67.11%,-63.46%,0.35,36.67%,17.87%,121.76%,78.45%,-56.26%,5/14/2024 4:30:00 PM,-2.92%,18.86%,1001.61,71.56,3583747,2.28,2.71,2.97,2.41,2.63,15.39%,
4,"SIEB","Siebert Financial Corp.","USA",69.79,8.12,13.58,65.96%,0.00%,1.74%,1.92%,0.64%,5.22,0.09,0.00%,-2.76%,-2.76%,-3.31%,-0.57%,-0.53%,0.00%,-1.13%,-4.89%,-4.89%,1.16%,-3.85%,-16.67%,-5.28%,-25.53%,4.17%,0.11,2.43%,6.23%,2.16%,-13.01%,-6.64%,,-4.89%,6.98%,16.53,440.92,364422,1.72,1.84,1.92,1.73,1.75,1.74%,
5,"MGRX","Mangoceuticals Inc","USA",10.26,,13.97,43.72%,-1.14%,1.32%,,0.89%,0.02,0.12,-2.68%,-2.91%,-3.19%,-3.88%,-1.12%,0.80%,-14.63%,6.66%,4.26%,4.26%,27.17%,21.52%,69.39%,35.51%,-75.40%,49.26%,0.05,12.94%,12.15%,25.76%,22.66%,4.91%,,4.26%,2.75%,5435.08,24.63,6693833,0.39,0.40,0.50,0.39,0.41,7.13%,
6,"ZPTA","Zapata Computing Holdings Inc.","USA",22.44,,20.91,34.63%,0.00%,5.09%,6.23%,2.19%,0.39,0.46,0.01%,0.01%,0.01%,0.00%,2.02%,2.51%,1.65%,1.78%,2.42%,2.42%,19.25%,0.00%,-68.53%,-93.57%,-93.41%,-93.54%,0.08,13.57%,10.54%,14.12%,-14.44%,-90.29%,,2.42%,-0.70%,1189.06,2.14,127353,0.69,0.69,0.70,0.67,0.70,1.71%,
7,"KZIA","Kazia Therapeutics Limited ADR","Australia",15.43,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,2.13%,3.09%,4.08%,5.05%,4.53%,5.29%,1.54%,14.56%,27.15%,27.15%,240.05%,169.46%,112.67%,86.60%,-34.71%,48.56%,0.18,91.66%,32.28%,88.77%,116.51%,57.57%,,27.15%,-7.96%,11754.45,9.61,5646445,0.56,0.51,0.70,0.50,0.65,17.03%,
8,"TKLF","Yoshitsu Co Ltd ADR","Japan",15.99,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,1.52%,2.82%,3.76%,5.05%,2.58%,0.85%,-1.87%,57.50%,63.33%,63.33%,72.33%,102.20%,86.39%,-36.41%,-65.55%,-37.06%,0.05,16.52%,10.35%,75.22%,83.14%,-11.31%,7/16/2024 8:30:00 AM,63.33%,-11.84%,2213.94,202.34,22398808,0.31,0.27,0.52,0.27,0.44,44.00%,
9,"TOYO","TOYO Co Ltd.","Japan",135.53,16.14,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.08%,-0.34%,-0.34%,0.43%,0.68%,1.77%,0.99%,4.91%,7.30%,7.30%,89.68%,-68.86%,-73.70%,-72.65%,-70.57%,-73.32%,1.18,25.64%,25.84%,-44.18%,-64.51%,-71.09%,,7.30%,-4.20%,1266.77,3.78,239150,2.86,2.74,3.06,2.65,2.94,2.80%,
10,"RUM","Rumble Inc","USA",2031.05,,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,9.88,13.80,0.28%,0.00%,0.01%,0.00%,0.28%,-0.55%,0.28%,1.98%,2.13%,2.13%,28.11%,25.00%,18.03%,112.39%,-13.25%,60.36%,0.35,8.04%,5.18%,26.74%,15.10%,21.94%,5/14/2024 4:30:00 PM,2.13%,-1.67%,1396.89,2.29,159790,7.17,7.05,7.25,6.91,7.20,0.42%,
