"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"NIVF","NewGenIvf Group Ltd","Healthcare","Health Information Services","Taiwan",10.56,,3.73,2.83,75.87%,72.08%,0.00%,12.73%,2.33%,2.83%,0.04,0.08,0.00%,0.00%,0.00%,0.00%,0.00%,-1.89%,1.96%,0.97%,0.97%,0.97%,10.45%,0.97%,-53.36%,-90.50%,-89.77%,-90.46%,0.12,6.12%,8.46%,5.44%,-4.31%,-85.20%,-2.80%,22.86%,2078.12,33.66,3497024,0.87,1.07,1.14,0.98,1.04,19.42%
2,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",17.79,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,2.04%,-2.53%,-4.40%,1.51%,7.84%,0.00%,14.53%,30.87%,30.87%,30.87%,82.16%,57.02%,12.33%,0.66%,-26.74%,-7.42%,1.20,7.80%,9.40%,68.28%,43.80%,-2.55%,38.97%,21.55%,20.91,573.94,600073,7.98,9.70,15.83,9.70,13.48,68.92%
3,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",84.87,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,-0.29%,-0.29%,0.05%,0.05%,0.25%,6.23%,14.25%,-10.58%,-10.58%,-10.58%,-6.19%,-12.94%,-21.48%,-9.95%,-69.02%,-24.72%,0.06,12.61%,13.12%,4.82%,-16.99%,-26.83%,-10.62%,14.03%,2266.02,14.80,1677114,0.40,0.46,0.52,0.33,0.41,1.92%
