"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BFI","BurgerFi International Inc","Consumer Cyclical","Restaurants","USA",10.81,,,26.83,14.84,55.31%,45.86%,-4.86%,17.55%,-5.63%,0.94%,0.24,0.14,8.32%,-6.99%,-16.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,96.22%,85.86%,2.15%,-38.85%,-78.45%,-54.13%,0.04,14.63%,13.57%,101.36%,50.58%,-38.09%,-4.06%,92.91%,580.81,309.93,9000628,0.21,0.41,0.41,0.39,0.39,85.08%,,
2,"CREV","Carbon Revolution Public Ltd. Co.","Consumer Cyclical","Auto Parts","Ireland",21.55,545.45,,1.89,1.75,92.59%,7.11%,0.00%,1.91%,,0.11%,0.12,0.00,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.60%,63.56%,-18.57%,-50.44%,7.55%,-50.51%,1.32,34.80%,11.53%,77.20%,42.67%,-33.65%,6.54%,73.42%,16.16,1224.22,988867,6.17,10.70,11.90,10.70,11.40,84.76%,,
3,"RR","Richtech Robotics Inc.","Industrials","Specialty Industrial Machinery","USA",85.45,,,20.89,14.74,70.56%,77.75%,0.00%,0.08%,,2.34%,0.15,0.35,68.47%,-11.59%,-25.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-12.24%,0.00%,4.03%,-86.97%,,-78.32%,0.20,32.38%,14.44%,4.07%,4.95%,-52.15%,1.57%,12.39%,2258.73,13.84,1563437,1.13,1.27,1.29,1.27,1.29,14.16%,,
4,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",488.98,,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,7.16%,0.18,1.68,-95.85%,-2041.54%,-2577.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,74.57%,624.18%,333.55%,,,-47.28%,1.46,61.94%,23.86%,231.07%,315.60%,226.11%,-0.68%,9.40%,9215.06,3.48,1603376,12.13,13.27,13.37,12.92,13.18,8.66%,,
5,"ZPTA","Zapata Computing Holdings Inc.","Technology","Software - Infrastructure","USA",21.39,,,31.98,20.76,64.92%,35.10%,0.00%,5.09%,6.23%,1.48%,0.30,0.31,13.63%,-916.02%,-1925.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.89%,7.56%,-58.45%,-93.89%,-93.69%,-93.85%,0.07,8.77%,9.46%,13.02%,-6.24%,-90.19%,-0.87%,24.98%,1028.28,53.49,2749935,0.54,0.67,0.68,0.67,0.67,23.89%,,
