"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BALY","Ballys Corporation","Consumer Cyclical","Resorts & Casinos","USA",671.16,,,39.97,23.50,58.79%,41.95%,0.00%,39.66%,-15.81%,8.31%,7.33,1.95,37.01%,-4.60%,-21.26%,-0.06%,0.30%,0.55%,0.48%,0.79%,0.67%,-0.90%,-2.13%,-4.22%,-4.22%,22.45%,45.82%,18.51%,43.30%,4.47%,18.94%,0.75,3.87%,3.58%,30.01%,34.05%,38.33%,1.72%,20.56%,266.45,74.35,990533,13.52,16.30,17.75,16.16,16.58,22.63%,,
2,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",33.46,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,-1.47%,-1.47%,-2.18%,-3.24%,-3.24%,-2.18%,-4.27%,-8.50%,-10.63%,-15.94%,,,,,,9.80%,1.37,,,9.80%,9.80%,9.80%,-15.94%,30.61%,2081.96,37.78,3932816,2.45,3.20,3.28,2.59,2.69,9.80%,,
3,"BTI","British American Tobacco Plc ADR","Consumer Defensive","Tobacco","United Kingdom",76822.86,,7.11,2230.46,2212.63,99.20%,0.00%,,6.80%,7.26%,0.17%,0.94,3.75,69.97%,45.85%,-53.47%,-0.13%,-0.06%,-0.06%,-0.09%,0.06%,0.00%,-0.03%,0.46%,-0.29%,-0.26%,5.08%,8.06%,17.73%,18.01%,2.51%,18.54%,0.47,0.97%,0.94%,7.92%,10.11%,13.95%,-0.26%,4.28%,3997.26,2.71,541465,33.38,34.81,34.83,33.38,34.72,4.01%,,
4,"CMAX","CareMax Inc","Healthcare","Health Information Services","USA",15.39,,,3.74,2.35,62.83%,38.16%,0.00%,44.41%,-13.09%,9.18%,0.10,0.22,75.65%,-14.07%,-79.55%,-0.01%,-1.23%,-0.01%,-2.42%,-7.12%,-5.60%,6.29%,-14.56%,7.99%,7.99%,130.10%,113.14%,24.22%,-70.02%,-93.97%,-72.90%,0.94,89.62%,42.27%,55.85%,48.56%,-73.85%,7.99%,-3.35%,2158.58,19.27,2080050,3.88,3.75,5.38,3.61,4.05,4.37%,,
5,"KMI","Kinder Morgan Inc","Energy","Oil & Gas Midstream","USA",46808.19,19.26,16.92,2219.73,1935.18,87.18%,12.81%,-0.10%,65.70%,-0.08%,2.26%,3.12,43.81,35.20%,27.91%,15.89%,0.00%,-0.00%,-0.00%,0.19%,0.19%,0.19%,0.21%,0.19%,0.28%,0.43%,0.19%,4.92%,12.12%,24.87%,16.78%,19.56%,0.38,2.79%,1.74%,3.62%,6.04%,16.40%,0.52%,-0.33%,14035.48,2.02,1416742,21.05,20.98,21.31,20.95,21.09,0.19%,,
6,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",49.37,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,1.25%,2.15%,1.21%,0.01%,1.83%,-0.00%,3.73%,4.70%,7.40%,32.54%,324.94%,370.42%,283.91%,251.58%,,218.10%,0.67,93.07%,32.01%,217.69%,276.34%,140.02%,40.93%,0.42%,3780.30,84.17,15909001,2.36,2.37,3.77,2.35,3.34,41.53%,,
7,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",15.26,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,-1.72%,-0.87%,1.79%,7.56%,8.58%,6.54%,7.55%,1.79%,0.00%,-4.20%,165.73%,209.95%,42.86%,-79.95%,-88.79%,-87.66%,0.12,11.55%,14.43%,227.53%,100.79%,-74.88%,0.88%,188.71%,1037.59,594.87,30861567,0.39,1.13,1.38,0.98,1.14,191.26%,,
