"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ALKS","Alkermes plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",4409.87,10.28,166.98,166.72,99.84%,1.48%,-0.62%,104.87%,-1.26%,8.20%,7.49,13.68,0.02%,0.23%,0.33%,1.03%,0.19%,0.93%,-3.71%,0.42%,0.23%,0.23%,5.89%,5.81%,7.42%,-8.69%,-11.82%,-6.06%,0.80,2.61%,2.73%,7.60%,7.49%,0.95%,-3.12%,7.60%,1826.68,4.76,1070478,25.00,26.90,27.25,25.64,26.06,4.24%
2,"ASXC","Asensus Surgical Inc","Healthcare","Medical Devices","USA",92.69,,272.62,267.03,97.95%,2.05%,0.00%,16.89%,-7.20%,4.24%,4.87,11.32,0.00%,0.12%,0.12%,0.27%,0.15%,0.18%,0.15%,0.56%,0.56%,0.56%,0.15%,4.94%,36.55%,17.24%,-35.42%,6.62%,0.01,1.11%,1.71%,1.26%,13.27%,22.40%,0.00%,0.32%,2325.88,3.36,943562,0.34,0.34,0.34,0.34,0.34,0.32%
3,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",15154.51,58.31,676.60,661.79,97.81%,2.57%,-0.16%,96.43%,-3.85%,2.90%,3.15,19.21,0.63%,0.45%,0.22%,0.90%,-0.49%,-0.71%,-0.40%,0.04%,0.54%,1.50%,4.15%,-0.84%,-13.02%,0.95%,-2.32%,-2.28%,0.64,3.30%,2.57%,5.62%,-1.41%,-1.56%,-0.49%,5.90%,6106.16,6.68,5021713,21.17,22.42,22.52,22.03,22.31,5.38%
4,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.78,,73.83,10.34,14.01%,86.00%,0.00%,2.18%,1.77%,0.71%,0.03,0.07,1.06%,1.32%,0.90%,-2.33%,-3.63%,-1.33%,7.16%,9.44%,9.35%,9.35%,-0.41%,-81.52%,-91.50%,-91.16%,-97.47%,-94.11%,0.15,11.24%,30.22%,-50.97%,-84.97%,-90.31%,7.16%,-0.40%,2652.18,9.92,3239691,0.25,0.25,0.28,0.25,0.27,6.73%
5,"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",169.87,,180.67,168.37,93.19%,6.81%,0.00%,14.92%,-6.74%,8.41%,6.36,14.15,-0.34%,-1.69%,-3.39%,-4.66%,-3.65%,-5.59%,-3.06%,-3.21%,-1.03%,-1.03%,14.66%,47.48%,22.53%,39.58%,-18.95%,24.28%,0.07,11.47%,11.32%,34.79%,40.26%,27.98%,-3.07%,4.29%,2226.30,5.66,1549594,0.93,0.97,1.02,0.94,0.94,1.09%
6,"FLEX","Flex Ltd","Technology","Electronic Components","USA",13024.81,14.21,408.10,395.30,96.86%,0.88%,-26.94%,104.05%,0.61%,1.78%,1.74,7.03,-0.06%,0.14%,0.07%,-0.16%,0.03%,0.25%,0.49%,5.35%,10.41%,10.41%,5.25%,7.05%,14.48%,41.32%,59.39%,47.41%,1.08,3.36%,2.80%,9.12%,5.96%,27.50%,2.80%,6.90%,4040.54,2.73,1356812,29.72,31.77,33.09,31.70,32.66,9.89%
7,"FLYE","Fly-E Group Inc.","Consumer Cyclical","Auto Manufacturers","USA",29.26,,24.59,7.52,30.58%,69.40%,0.00%,,,0.76%,0.03,0.06,1.69%,2.58%,2.57%,2.05%,2.58%,1.69%,-0.01%,6.24%,5.29%,4.38%,-81.81%,-82.00%,,,,-75.11%,1.05,120.94%,42.03%,-79.61%,-77.50%,-77.50%,1.70%,0.00%,1723.28,18.49,3922200,1.17,1.17,1.35,1.10,1.19,1.70%
8,"HMY","Harmony Gold Mining Co Ltd ADR","Basic Materials","Gold","South Africa",5797.69,11.85,632.59,632.49,99.98%,0.02%,0.00%,30.36%,12.87%,1.30%,2.00,8.19,0.02%,0.00%,0.27%,-0.22%,-0.43%,-0.27%,-0.60%,-1.02%,-0.92%,-1.24%,-13.05%,1.16%,4.50%,59.39%,105.49%,49.02%,0.41,4.18%,3.46%,-4.06%,-0.90%,28.33%,-0.81%,1.65%,4105.17,2.38,1201505,9.09,9.24,9.26,9.13,9.16,0.83%
9,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",29.78,,130.98,112.58,85.95%,14.04%,0.46%,3.74%,18.67%,7.48%,4.13,8.42,0.09%,-0.18%,-0.18%,-0.04%,0.26%,-0.31%,-1.17%,-5.96%,-1.13%,-1.13%,-21.59%,-17.40%,-52.62%,-59.96%,-85.96%,-62.10%,0.03,15.40%,11.06%,-16.16%,-25.63%,-55.92%,-3.23%,3.84%,2037.62,2.27,557997,0.23,0.23,0.24,0.23,0.23,0.49%
10,"LITM","Snow Lake Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",20.93,,18.19,11.86,65.20%,41.64%,0.00%,0.27%,-15.01%,0.08%,0.20,0.01,0.00%,-0.39%,0.80%,0.98%,0.00%,-4.63%,-9.65%,4.04%,3.01%,3.01%,70.78%,39.19%,17.05%,3.00%,-51.42%,-11.97%,0.09,17.49%,10.73%,46.07%,32.23%,16.26%,-8.85%,16.74%,48.31,575.23,3420602,0.97,1.13,1.19,0.99,1.03,6.40%
