"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
11,"AP","Ampco-Pittsburgh Corp.","USA",30.74,,14.59,27.41%,0.00%,45.05%,1.43%,3.64%,0.59,0.53,1.32%,2.35%,2.00%,4.08%,7.37%,5.51%,0.00%,2.00%,3.38%,2.00%,100.03%,48.54%,-32.30%,-40.23%,-57.73%,-43.96%,0.15,25.44%,10.33%,63.00%,18.24%,-31.29%,5/13/2024 4:30:00 PM,-0.01%,2.01%,892.14,3.06,328888,1.50,1.53,1.53,1.41,1.53,2.00%,
12,"APEI","American Public Education Inc","USA",337.54,,16.83,4.26%,-3.27%,84.54%,-11.43%,3.70%,2.76,0.62,-0.08%,-0.05%,-0.18%,-0.27%,-0.31%,-0.57%,2.78%,-0.10%,-0.10%,-0.10%,11.05%,16.93%,52.26%,65.95%,309.38%,98.96%,0.88,4.88%,5.43%,13.70%,11.93%,67.22%,5/7/2024 4:30:00 PM,1.96%,1.84%,225.74,4.76,132175,18.49,18.83,19.33,18.68,19.20,3.84%,
13,"CAPT","Captivision Inc","United Kingdom",71.12,13.40,17.14,40.95%,0.00%,2.51%,,0.34%,0.38,0.06,-0.41%,-0.81%,0.00%,-2.00%,-1.21%,2.08%,1.66%,1.66%,-1.21%,-1.61%,2.08%,-21.97%,-51.68%,-47.20%,-76.89%,-34.14%,0.32,10.89%,12.01%,-9.79%,-34.91%,-49.30%,,2.08%,0.42%,155.76,5.22,100065,2.39,2.40,2.50,2.39,2.45,2.51%,
14,"WKHS","Workhorse Group Inc","USA",31.80,,17.75,5.38%,0.00%,14.43%,,18.18%,7.76,3.23,0.29%,0.30%,0.30%,0.00%,-0.59%,1.19%,0.30%,-1.45%,0.29%,0.29%,13.76%,-97.17%,-97.69%,-98.67%,-99.57%,-98.82%,2.95,10.19%,11.00%,-62.74%,-96.52%,-98.44%,5/20/2024 4:30:00 PM,0.30%,2.42%,415.97,3.05,153235,1.65,1.69,1.71,1.65,1.70,2.73%,
15,"KYTX","Kyverna Therapeutics Inc.","USA",461.28,,19.46,54.86%,9.55%,38.56%,,14.77%,4.60,2.87,1.88%,1.47%,1.37%,2.67%,-3.35%,-3.01%,-2.30%,1.21%,0.64%,-0.49%,29.98%,-25.92%,-53.26%,,,-64.34%,1.20,11.99%,15.70%,31.60%,-7.47%,-42.90%,5/14/2024 4:30:00 PM,-2.30%,10.49%,624.61,2.14,161018,9.91,10.95,11.40,10.35,10.70,7.95%,
16,"SPIR","Spire Global Inc","USA",327.83,,19.65,19.20%,-0.85%,20.21%,1.70%,13.31%,6.02,2.62,-0.07%,-0.37%,-0.66%,0.59%,0.26%,0.33%,3.61%,3.61%,3.61%,3.61%,24.01%,28.75%,32.55%,95.65%,156.98%,72.38%,0.73,6.36%,7.27%,26.24%,31.41%,58.14%,5/15/2024 4:30:00 PM,3.69%,0.31%,434.22,2.10,112188,12.96,13.00,13.57,12.95,13.48,4.01%,
17,"EARN","Ellington Credit Co.","USA",145.46,25.00,20.18,1.45%,0.00%,17.31%,,2.10%,1.50,0.42,0.00%,0.09%,0.09%,0.09%,0.37%,0.38%,0.73%,0.51%,0.65%,0.65%,1.81%,1.52%,8.00%,16.11%,-0.89%,15.92%,0.12,1.54%,1.74%,1.51%,1.18%,11.79%,5/14/2024 4:30:00 PM,0.73%,0.50%,282.96,5.16,176152,7.02,7.05,7.10,7.04,7.11,1.23%,
18,"LEGT","Legato Merger Corp III","USA",261.10,,20.19,21.75%,0.00%,9.41%,,0.01%,0.02,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.60%,,,0.70%,0.02,0.13%,0.29%,0.10%,0.08%,0.18%,,0.00%,0.10%,89.90,49.87,540928,10.11,10.12,10.12,10.12,10.12,0.10%,
19,"AOSL","Alpha & Omega Semiconductor Ltd","USA",1328.95,,23.06,19.64%,-2.18%,66.91%,1.37%,4.35%,3.60,1.00,0.00%,-0.05%,0.01%,-1.06%,-0.36%,-0.78%,-1.18%,-1.98%,-2.52%,-1.48%,21.31%,54.71%,115.77%,75.20%,44.61%,77.69%,2.18,7.54%,6.33%,26.46%,48.53%,78.93%,5/7/2024 4:30:00 PM,-1.14%,2.52%,278.23,3.19,109343,45.69,46.84,47.11,45.90,46.31,1.35%,
20,"KZIA","Kazia Therapeutics Limited ADR","Australia",13.78,,23.62,,,1.57%,21.85%,0.20%,0.00,0.05,0.36%,-2.07%,-1.50%,-1.15%,-0.46%,-4.86%,-9.43%,-11.64%,2.33%,13.57%,203.75%,140.69%,89.97%,66.68%,-41.68%,32.70%,0.17,91.66%,32.28%,68.62%,93.40%,40.75%,,-2.98%,7.74%,11754.45,8.73,12633936,0.56,0.60,0.68,0.56,0.58,4.53%,
21,"OUST","Ouster Inc","USA",760.24,,25.78,43.00%,-0.05%,28.90%,-19.85%,14.38%,3.23,3.71,-0.07%,-0.13%,-0.24%,0.77%,0.83%,1.25%,4.28%,3.12%,3.69%,3.75%,45.02%,59.32%,120.29%,153.52%,176.45%,119.14%,0.89,10.43%,6.96%,55.34%,50.51%,132.62%,5/9/2024 4:30:00 PM,3.75%,1.12%,1146.96,4.00,564541,16.02,16.20,16.88,15.76,16.81,4.92%,
22,"LL","LL Flooring Holdings Inc","USA",31.16,,26.12,14.78%,0.00%,38.66%,-12.73%,3.74%,1.67,0.98,-1.34%,-1.34%,0.09%,-0.86%,-0.86%,-0.37%,-2.29%,1.58%,1.54%,1.54%,81.46%,-31.80%,-39.51%,-67.94%,-73.47%,-73.94%,0.16,24.45%,19.43%,-12.04%,-29.33%,-57.39%,5/8/2024 8:30:00 AM,-0.37%,2.76%,586.75,2.37,167959,0.99,1.02,1.05,1.01,1.02,2.38%,
23,"INOD","Innodata Inc","USA",614.96,331.63,26.71,7.10%,0.00%,37.68%,-6.36%,10.53%,3.32,2.81,-0.14%,0.51%,0.80%,0.38%,0.05%,2.43%,4.04%,4.39%,6.30%,6.95%,22.51%,36.76%,247.24%,179.61%,104.49%,162.78%,1.25,9.28%,7.50%,39.26%,58.24%,131.17%,5/7/2024 4:30:00 PM,4.24%,1.74%,847.10,2.75,287201,20.17,20.52,21.58,20.27,21.39,6.05%,
24,"BIG","Big Lots Inc","USA",37.40,,28.12,5.27%,0.00%,75.30%,-12.33%,27.18%,3.85,7.64,0.79%,1.34%,0.79%,0.14%,0.01%,6.33%,10.53%,10.53%,15.60%,10.53%,5.00%,-45.92%,-60.87%,-80.25%,-85.53%,-83.83%,0.22,18.25%,12.68%,-21.50%,-52.61%,-71.31%,6/6/2024 8:30:00 AM,11.50%,0.89%,1984.72,3.62,884076,1.12,1.13,1.27,1.13,1.26,12.50%,
25,"IMMR","Immersion Corp","USA",386.02,8.79,28.45,10.70%,-0.52%,56.27%,-2.25%,6.41%,3.21,1.82,0.00%,0.00%,0.17%,-0.16%,0.41%,1.08%,-0.08%,-5.61%,4.94%,4.57%,21.69%,13.48%,69.75%,78.24%,71.43%,71.67%,0.41,4.03%,3.71%,19.92%,26.29%,59.57%,5/8/2024 4:30:00 PM,-2.26%,7.45%,567.08,4.26,297429,11.54,12.40,12.32,11.71,12.12,5.03%,
26,"IMXI","International Money Express Inc.","USA",672.71,12.29,29.18,10.61%,-0.68%,87.71%,3.20%,2.24%,2.93,0.65,0.46%,0.49%,0.29%,0.32%,0.54%,0.68%,2.21%,2.21%,2.21%,2.21%,3.67%,-2.46%,-4.09%,0.15%,-20.42%,-6.70%,0.52,2.92%,2.48%,1.63%,0.23%,1.33%,5/8/2024 8:30:00 AM,1.83%,0.95%,222.76,3.93,107878,20.05,20.24,20.57,20.15,20.61,2.79%,
27,"CKPT","Checkpoint Therapeutics Inc","USA",99.01,,30.34,20.34%,-0.79%,14.50%,1.28%,12.63%,9.92,3.83,-0.35%,0.00%,0.00%,0.20%,-0.38%,-0.38%,0.78%,-1.14%,-2.62%,-2.62%,19.82%,26.83%,51.16%,34.02%,-3.35%,13.54%,0.16,6.91%,8.23%,22.70%,35.19%,30.71%,5/10/2024 8:30:00 AM,2.77%,0.80%,386.57,2.70,125920,2.51,2.53,2.63,2.53,2.60,3.59%,
28,"SLDB","Solid Biosciences Inc","USA",363.84,,31.76,17.24%,0.01%,78.12%,-0.60%,9.60%,7.02,3.05,0.11%,-0.63%,0.08%,-0.21%,0.53%,-1.96%,6.64%,4.53%,7.24%,9.85%,42.34%,11.40%,-5.20%,22.96%,93.07%,54.40%,0.79,12.12%,10.91%,41.91%,19.38%,34.17%,05/09/2024,6.28%,4.21%,434.41,3.95,206848,8.56,8.92,9.79,8.96,9.48,10.75%,
29,"PAYS","PaySign Inc","USA",264.91,38.82,32.53,38.60%,8.33%,26.75%,7.21%,1.42%,2.41,0.46,0.04%,-0.70%,-0.40%,-0.99%,-0.20%,-2.44%,7.53%,11.36%,13.09%,13.09%,28.21%,24.23%,23.16%,95.32%,124.22%,78.58%,0.24,3.95%,5.00%,25.57%,14.94%,55.19%,7/31/2024 4:30:00 PM,7.30%,7.62%,190.88,22.40,526327,4.33,4.66,5.15,4.60,5.00,15.48%,
30,"NX","Quanex Building Products Corp","USA",958.70,11.84,32.75,1.10%,-1.49%,103.80%,0.11%,4.02%,5.73,1.32,0.00%,0.26%,0.19%,-0.02%,0.57%,1.31%,2.68%,2.68%,3.30%,2.86%,9.97%,-0.60%,-18.32%,-5.65%,7.80%,-5.28%,0.85,2.75%,2.70%,4.22%,-5.80%,-8.54%,6/6/2024 4:30:00 PM,2.64%,0.64%,229.72,4.32,122200,28.03,28.21,28.96,28.20,28.95,3.30%,
31,"AMSC","American Superconductor Corp.","USA",1202.50,,35.48,4.10%,-7.26%,62.78%,1.11%,6.35%,2.39,2.25,0.56%,-0.06%,-0.28%,0.13%,-0.52%,0.24%,1.56%,2.49%,1.98%,1.66%,19.13%,23.39%,169.49%,221.46%,396.56%,191.74%,1.73,6.45%,7.36%,26.19%,58.35%,147.72%,5/29/2024 4:30:00 PM,2.49%,1.67%,944.41,3.73,433413,31.19,31.71,32.70,31.64,32.50,4.20%,
32,"AAOI","Applied Optoelectronics Inc","USA",414.78,,35.51,8.74%,1.52%,69.32%,-2.45%,29.04%,5.34,10.31,0.00%,-0.19%,-0.60%,0.00%,0.57%,0.85%,2.01%,3.19%,3.00%,4.51%,25.56%,5.65%,-4.48%,-38.77%,16.63%,-44.82%,0.67,7.55%,7.37%,20.11%,4.58%,-19.94%,5/9/2024 4:30:00 PM,2.80%,1.67%,1933.13,2.52,586939,10.20,10.37,10.80,10.35,10.66,4.51%,
33,"TKLF","Yoshitsu Co Ltd ADR","Japan",19.86,,36.21,,,0.22%,-65.69%,1.38%,0.23,0.50,0.70%,0.53%,-1.51%,-5.54%,0.50%,12.79%,28.26%,24.78%,95.64%,102.89%,114.07%,151.17%,131.53%,-21.01%,-57.20%,-21.82%,0.05,16.52%,10.35%,117.66%,127.49%,10.17%,7/16/2024 8:30:00 AM,28.14%,39.59%,2213.94,356.58,97162065,0.31,0.43,0.60,0.38,0.55,78.87%,
34,"RXST","RxSight Inc","USA",1956.02,,36.99,5.12%,-11.52%,78.79%,-0.96%,4.99%,3.88,1.85,0.44%,1.02%,0.63%,1.19%,0.30%,0.80%,1.03%,1.03%,1.03%,1.03%,-11.95%,-15.44%,-5.78%,8.22%,54.64%,24.45%,2.90,9.44%,5.25%,-9.67%,-13.92%,10.71%,5/6/2024 4:30:00 PM,1.03%,2.12%,476.35,2.62,150851,48.64,49.67,50.19,49.37,50.18,3.17%,
35,"MORF","Morphic Holding Inc","USA",2807.35,,38.44,23.32%,-1.36%,92.19%,-1.45%,15.51%,3.09,5.96,-0.01%,0.02%,0.03%,0.04%,0.03%,0.04%,-0.03%,0.13%,0.40%,0.40%,0.66%,101.93%,89.88%,101.64%,-4.91%,94.03%,2.28,0.36%,4.41%,47.02%,69.10%,88.62%,4/25/2024 8:30:00 AM,0.13%,0.05%,1926.44,2.64,625088,55.93,55.96,56.12,55.95,56.03,0.19%,
36,"ANGO","Angiodynamic Inc","USA",279.55,,38.60,3.62%,0.69%,88.76%,-0.27%,4.61%,4.08,1.78,-0.43%,0.95%,-0.07%,-0.78%,-2.10%,-0.27%,2.84%,7.38%,10.79%,10.79%,24.20%,12.22%,10.62%,16.33%,-27.52%,-10.97%,0.33,5.20%,4.03%,20.37%,15.43%,10.15%,7/16/2024 8:30:00 AM,1.68%,15.77%,436.31,14.20,762656,5.93,6.86,7.18,6.58,6.98,17.71%,
37,"DAKT","Daktronics Inc.","USA",680.38,20.22,40.12,13.33%,-0.88%,67.10%,-3.07%,9.27%,7.83,3.72,-0.03%,-0.17%,-0.54%,-0.33%,-1.31%,0.03%,-0.54%,-0.98%,-0.08%,-1.51%,7.50%,28.23%,64.93%,82.77%,128.89%,73.29%,0.61,4.18%,5.18%,15.55%,24.57%,50.95%,6/26/2024 8:30:00 AM,-1.11%,2.13%,474.84,2.01,115391,14.55,14.86,14.89,14.54,14.69,1.00%,
38,"CFB","Crossfirst Bankshares Inc","USA",832.02,12.26,41.37,16.07%,0.00%,54.96%,-9.68%,2.35%,4.31,0.97,0.30%,-0.06%,0.42%,1.29%,1.63%,1.87%,6.84%,16.01%,16.33%,12.08%,18.96%,33.12%,33.02%,27.78%,55.72%,24.30%,0.43,2.96%,2.57%,21.30%,26.20%,33.59%,7/15/2024 4:30:00 PM,4.00%,1.82%,225.29,3.92,108748,15.94,16.23,16.90,15.92,16.88,5.90%,
39,"NKTX","Nkarta Inc","USA",530.55,,41.44,41.20%,20.60%,62.18%,-4.90%,17.75%,9.18,7.36,0.38%,1.81%,1.74%,2.43%,3.85%,5.59%,3.06%,3.85%,6.49%,6.49%,31.62%,20.85%,-13.76%,-15.50%,278.33%,14.07%,0.52,11.02%,8.81%,30.53%,19.36%,15.29%,5/9/2024 4:30:00 PM,3.42%,3.70%,801.45,3.09,304570,7.02,7.28,7.54,7.05,7.53,7.25%,
40,"ZVRA","Zevra Therapeutics Inc","USA",282.91,,41.54,0.74%,3.34%,33.63%,-5.54%,7.12%,11.31,2.96,-0.59%,-1.02%,-1.31%,-0.73%,-1.17%,0.52%,3.05%,3.05%,5.62%,5.62%,23.47%,37.68%,41.27%,14.19%,42.32%,3.21%,0.38,12.99%,6.68%,39.34%,40.46%,30.76%,5/8/2024 8:30:00 AM,2.11%,6.26%,261.58,6.03,194278,6.23,6.62,6.86,6.52,6.76,8.51%,
41,"TOYO","TOYO Co Ltd.","Japan",132.26,15.75,41.67,9.60%,0.00%,6.67%,0.16%,0.11%,0.04,0.05,0.63%,0.40%,-0.38%,0.49%,-2.05%,-3.16%,-1.16%,-1.07%,2.38%,4.71%,85.10%,-69.61%,-74.34%,-73.31%,-71.28%,-73.97%,1.17,25.64%,25.84%,-45.52%,-65.37%,-71.79%,,-0.90%,1.22%,1266.77,3.90,607595,2.86,2.89,3.10,2.82,2.87,0.31%,
42,"NBBK","NB Bancorp Inc.","USA",728.63,69.27,42.07,1.48%,17.10%,24.65%,,2.29%,2.46,0.96,0.06%,0.35%,0.53%,0.57%,0.78%,0.89%,2.90%,2.90%,2.90%,2.90%,11.21%,16.93%,26.75%,22.12%,,26.84%,0.36,2.51%,2.34%,13.41%,12.99%,18.86%,4/25/2024 4:30:00 PM,2.03%,0.72%,391.42,3.96,190699,16.60,16.72,17.06,16.58,17.06,2.77%,
43,"SWBI","Smith & Wesson Brands Inc","USA",719.62,18.38,44.63,2.03%,-2.23%,60.24%,-3.47%,2.69%,2.85,1.20,-0.03%,-0.09%,-0.03%,0.10%,0.10%,0.41%,-0.54%,-1.03%,1.09%,1.09%,12.74%,-2.14%,-4.27%,17.00%,20.11%,16.48%,0.46,2.41%,2.74%,7.13%,0.65%,6.63%,6/20/2024 4:30:00 PM,-0.09%,1.25%,422.56,2.39,124151,15.61,15.81,15.98,15.71,15.80,1.15%,
44,"SAVA","Cassava Sciences Inc","USA",608.39,,44.90,6.40%,0.00%,24.44%,4.60%,29.16%,8.98,13.09,-1.17%,-0.94%,-1.55%,0.12%,-0.24%,0.32%,2.18%,1.85%,1.59%,2.26%,9.78%,-36.25%,-36.63%,-51.68%,-41.38%,-43.67%,1.47,12.97%,14.36%,-15.57%,-32.55%,-40.01%,5/10/2024 4:30:00 PM,2.01%,0.81%,1458.61,2.52,443718,12.33,12.43,12.94,12.06,12.68,2.84%,
45,"CRS","Carpenter Technology Corp.","USA",6002.31,46.09,47.16,4.94%,-2.47%,90.62%,-3.40%,2.54%,1.75,1.20,-0.17%,0.02%,-0.61%,-1.07%,0.68%,0.91%,2.73%,2.60%,2.53%,2.53%,12.85%,15.58%,59.47%,79.06%,112.94%,70.89%,3.91,3.13%,3.65%,15.03%,13.97%,55.42%,7/25/2024 8:30:00 AM,2.97%,0.62%,682.42,2.13,175275,116.78,117.50,122.55,117.05,120.99,3.61%,
46,"PLBY","PLBY Group Inc","USA",70.19,,47.94,34.15%,-0.77%,11.26%,2.12%,5.23%,7.98,2.51,0.03%,0.05%,-0.45%,-0.79%,-0.79%,-0.10%,3.68%,8.31%,7.11%,7.11%,28.74%,17.55%,6.52%,-22.26%,-41.93%,-3.60%,0.06,9.23%,6.85%,22.07%,10.20%,9.90%,5/9/2024 4:30:00 PM,3.67%,3.33%,313.85,6.40,242335,0.90,0.93,0.99,0.92,0.96,7.12%,
47,"STVN","Stevanato Group Spa","Italy",6017.31,39.68,49.48,81.86%,0.00%,18.83%,-0.01%,7.78%,5.65,3.85,0.00%,0.27%,-0.05%,-0.05%,0.05%,0.18%,1.75%,1.75%,1.75%,1.75%,14.90%,20.55%,-25.09%,-20.13%,-30.12%,-19.16%,1.16,6.75%,5.99%,18.74%,10.16%,-18.62%,5/9/2024 8:30:00 AM,1.75%,2.02%,681.44,2.40,201037,21.25,21.68,22.15,21.71,22.06,3.81%,
48,"PRME","Prime Medicine Inc","USA",735.52,,50.59,57.85%,16.04%,34.66%,,25.12%,13.48,12.71,-0.04%,0.62%,0.77%,1.30%,2.78%,2.30%,4.39%,4.39%,4.78%,4.78%,9.04%,-22.43%,12.64%,-23.31%,-59.01%,-30.84%,0.45,6.95%,7.63%,6.53%,-2.57%,-13.32%,5/10/2024 8:30:00 AM,2.47%,3.46%,942.75,2.15,248968,5.78,5.98,6.13,5.83,6.13,6.02%,
49,"LMND","Lemonade Inc","USA",1504.47,,50.83,27.90%,0.09%,40.62%,6.78%,32.70%,11.35,16.62,-0.19%,-0.47%,-0.47%,-0.81%,0.19%,-0.65%,2.87%,1.62%,3.13%,2.45%,17.32%,38.30%,30.52%,28.40%,14.18%,32.30%,0.86,7.02%,4.74%,26.80%,26.60%,31.83%,7/30/2024 4:30:00 PM,1.68%,1.69%,1464.44,2.54,458408,20.64,20.99,21.68,20.73,21.34,3.39%,
50,"VTEX","Vtex","United Kingdom",1306.90,,51.23,72.21%,0.00%,17.79%,-7.17%,0.84%,0.91,0.43,0.00%,0.63%,0.28%,0.21%,0.86%,1.72%,3.05%,3.05%,3.05%,3.35%,-2.88%,4.73%,-5.21%,-8.63%,39.84%,3.05%,0.24,4.40%,3.28%,0.96%,1.30%,0.12%,5/7/2024 4:30:00 PM,3.13%,0.22%,474.23,2.50,146097,6.86,6.88,7.09,6.89,7.09,3.35%,
51,"EYEN","Eyenovia Inc","USA",71.28,,51.62,15.99%,20.56%,12.87%,-27.27%,7.61%,4.07,3.93,0.00%,-0.85%,-0.86%,1.75%,1.30%,2.66%,6.90%,7.40%,7.44%,7.44%,26.97%,86.45%,111.01%,-32.95%,-52.27%,-44.24%,0.10,12.48%,11.69%,50.97%,49.42%,-9.47%,5/15/2024 4:30:00 PM,7.40%,0.93%,964.55,2.01,238031,1.07,1.08,1.17,1.08,1.16,8.40%,
52,"MATV","Mativ Holdings Inc","USA",875.64,,53.02,2.39%,2.16%,97.56%,85.24%,2.06%,3.41,1.09,-0.49%,-0.98%,-0.31%,-1.83%,-0.31%,-1.44%,0.00%,0.00%,0.12%,0.12%,1.13%,-9.54%,-7.41%,23.15%,1.90%,5.29%,0.62,3.85%,3.75%,-2.36%,-7.15%,4.44%,5/8/2024 4:30:00 PM,0.00%,1.13%,321.25,5.82,230118,15.94,16.12,16.39,15.96,16.12,1.13%,
53,"OXSQ","Oxford Square Capital Corp","USA",181.91,19.04,53.19,10.94%,0.00%,5.90%,,0.55%,1.02,0.29,0.03%,-0.13%,0.03%,-0.10%,-0.13%,0.20%,0.36%,0.21%,0.56%,0.53%,2.56%,0.53%,-1.74%,0.53%,8.12%,6.50%,0.03,0.97%,1.12%,2.65%,-0.56%,0.40%,5/2/2024 8:30:00 AM,0.53%,0.33%,287.57,3.04,107440,3.02,3.03,3.05,3.03,3.05,0.86%,
54,"ARBK","Argo Blockchain Plc ADR","United Kingdom",79.09,,53.53,,,4.14%,-8.24%,1.41%,2.57,0.75,-0.92%,-0.91%,-1.03%,-1.60%,-1.63%,-1.98%,2.81%,2.13%,2.43%,2.43%,23.19%,1.29%,2.04%,-32.97%,-33.78%,-63.44%,0.11,10.60%,8.85%,14.73%,4.35%,-17.46%,5/23/2024 4:30:00 PM,3.59%,-1.49%,292.90,6.41,231038,1.34,1.32,1.42,1.32,1.37,2.04%,
