"No.","Ticker","Company","Country","Market Cap","P/E","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"LPA","Logistic Properties of the Americas","USA",667.81,437.84,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.07,0.02,-1.08%,-5.43%,-10.12%,-13.58%,0.14%,14.47%,38.01%,36.31%,35.09%,38.10%,133.74%,23.88%,197.88%,99.24%,106.88%,98.87%,13.83,47.46%,24.56%,58.75%,-23.55%,46.28%,,37.29%,-0.07%,245.96,36.71,1089397,15.35,15.34,24.62,15.25,21.06,37.20%,
2,"ICU","SeaStar Medical Holding Corp","USA",24.27,,2.85,11.46%,0.00%,4.73%,-2.26%,8.13%,0.78,0.23,1.24%,-0.03%,1.24%,3.24%,2.55%,2.62%,3.25%,0.77%,3.54%,2.69%,-42.02%,113.53%,-54.50%,-39.71%,-44.51%,-31.89%,1.60,19.13%,21.60%,-1.94%,-10.16%,-48.24%,5/14/2024 4:30:00 PM,2.41%,0.82%,295.73,3.21,114401,7.30,7.36,7.54,7.16,7.54,3.25%,
3,"NAAS","Naas Technology Inc ADR","China",14.95,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.07,0.86%,2.66%,8.11%,6.92%,8.44%,15.08%,27.50%,33.62%,35.14%,33.12%,9.77%,-49.68%,-82.16%,-87.95%,-96.65%,-88.26%,1.05,54.30%,28.13%,-4.49%,-56.06%,-88.27%,5/9/2024 4:30:00 PM,35.65%,-6.07%,1017.84,7.56,946711,2.80,2.63,3.65,2.63,3.57,27.41%,
4,"KOSS","Koss Corp.","USA",99.25,,5.22,43.64%,-0.62%,6.46%,1.01%,5.68%,0.08,0.30,0.28%,0.85%,-1.74%,1.51%,4.07%,4.28%,16.00%,20.56%,22.21%,23.05%,8.17%,153.07%,361.51%,254.13%,193.17%,220.30%,1.98,21.26%,25.01%,66.56%,104.42%,211.71%,2/1/2024 4:30:00 PM,13.31%,8.60%,3510.25,15.14,6542967,8.72,9.47,11.24,9.22,10.73,23.05%,
5,"HAO","Haoxi Health Technology Ltd.","China",196.38,,7.76,,,0.00%,,4.84%,0.98,0.38,-1.91%,-1.28%,-0.65%,0.33%,0.66%,3.53%,10.00%,10.39%,10.39%,10.39%,-6.67%,-3.90%,40.00%,,,16.67%,0.96,20.73%,20.12%,11.45%,-6.01%,-4.26%,,10.00%,0.36%,382.48,2.24,103222,5.58,5.60,6.25,5.45,6.16,10.39%,
6,"MIRA","Mira Pharmaceuticals Inc","USA",11.08,,9.75,34.05%,0.17%,4.20%,,0.16%,0.03,0.02,1.35%,3.42%,1.35%,1.69%,1.69%,-0.79%,7.10%,9.00%,10.31%,14.85%,38.30%,5.62%,-9.64%,-23.48%,,-28.57%,0.09,17.12%,9.51%,15.12%,2.40%,-49.68%,05/29/2024,2.74%,-1.35%,604.99,6.11,455220,0.74,0.73,0.78,0.70,0.75,1.35%,
7,"CDT","Conduit Pharmaceuticals Inc","USA",24.84,,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.23,0.07,0.09%,0.45%,0.18%,-0.59%,3.03%,0.24%,-10.17%,-11.08%,-16.05%,-15.88%,-19.52%,-83.35%,-89.55%,-91.78%,-96.79%,-92.61%,0.22,35.43%,31.41%,-64.54%,-84.11%,-88.50%,,-7.84%,52.08%,313.83,1812.18,69996529,0.24,0.37,0.41,0.32,0.34,40.17%,
8,"SDIG","Stronghold Digital Mining Inc","USA",52.94,,10.94,15.66%,-4.96%,17.49%,2.73%,5.32%,1.13,0.58,-0.94%,-0.94%,-1.84%,-1.65%,-3.28%,-2.36%,0.11%,-2.59%,2.81%,4.12%,12.75%,3.85%,83.02%,-24.28%,-49.74%,-44.09%,0.41,9.65%,11.98%,-0.41%,15.79%,-7.64%,5/2/2024 8:30:00 AM,-0.21%,3.54%,515.15,2.20,139655,3.95,4.09,4.23,4.05,4.08,3.33%,
9,"NNVC","NanoViricides Inc","USA",22.94,,11.27,4.60%,0.00%,10.10%,19.10%,2.38%,0.90,0.27,0.00%,1.70%,1.03%,-0.38%,3.87%,4.43%,5.57%,3.87%,3.32%,3.32%,10.99%,-24.71%,68.90%,84.97%,26.13%,90.43%,0.19,6.56%,10.45%,7.64%,-4.65%,40.36%,05/14/2024,5.85%,3.09%,298.63,3.09,111499,1.78,1.84,1.95,1.84,1.94,9.12%,
10,"AEON","AEON Biopharma Inc.","USA",110.32,,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,0.15,-0.34%,-0.70%,0.18%,-1.99%,-9.90%,-11.70%,1.99%,7.22%,8.46%,4.83%,156.36%,107.35%,-60.28%,-60.61%,-64.75%,-60.83%,0.38,36.67%,17.87%,137.69%,91.27%,-53.12%,5/14/2024 4:30:00 PM,10.11%,12.32%,1001.61,162.52,20035183,2.28,2.56,3.33,2.50,2.82,23.68%,
