"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"LUMN","Lumen Technologies Inc","Communication Services","Telecom Services","USA",1613.91,,1008.49,991.03,98.27%,2.36%,3.87%,66.91%,0.64%,14.16%,14.13,140.38,0.63%,0.63%,2.58%,0.00%,7.43%,6.71%,9.66%,9.66%,8.90%,8.90%,18.66%,51.43%,16.91%,16.06%,-13.11%,-13.11%,0.08,5.60%,6.74%,35.82%,31.14%,13.68%,8.90%,-2.01%,9934.29,4.10,2034239,1.49,1.46,1.65,1.45,1.59,6.71%
2,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.14,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,3.06%,1.33%,3.28%,2.84%,1.26%,2.51%,7.65%,23.19%,40.78%,40.78%,95.94%,68.90%,20.83%,8.27%,-21.20%,-0.41%,1.21,7.80%,9.40%,81.01%,54.68%,4.82%,49.48%,21.55%,20.91,1023.95,1070584,7.98,9.70,15.88,9.70,14.50,81.70%
3,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",99.83,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,-4.83%,-1.70%,4.29%,11.88%,-10.41%,7.99%,19.38%,34.39%,5.18%,5.18%,10.34%,2.41%,-7.64%,5.92%,-63.55%,-11.45%,0.07,12.61%,13.12%,23.29%,-2.36%,-13.93%,5.14%,14.03%,2266.02,49.47,5604745,0.40,0.46,0.59,0.32,0.48,19.89%
4,"TNXP","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology","USA",10.63,,58.61,17.45,29.77%,0.00%,,4.27%,216.69%,10.26%,1.31,1.79,0.00%,0.33%,1.50%,1.62%,1.50%,2.34%,-7.43%,-7.43%,-7.43%,-7.43%,2.18%,-48.82%,-87.86%,-93.48%,-98.91%,-95.28%,0.15,5.94%,10.34%,-13.85%,-77.50%,-93.64%,5.00%,2.15%,1362.37,85.98,5857028,0.57,0.58,0.69,0.57,0.61,7.26%
