"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",1742.31,,1.21,265.62,202.65,40.57%,22.82%,34.55%,-4.06%,24.81%,7.24,50.28,-0.07%,0.20%,0.09%,-0.39%,-4.31%,-5.02%,-4.40%,-5.37%,-2.48%,-5.89%,14.06%,52.08%,27.43%,-2.11%,0.20%,-16.78%,0.30,7.36%,7.77%,34.33%,39.81%,6.90%,4.95,2387481,5.05,5.31,5.31,5.07,5.11,1.19%
2,"AMIX","Autonomix Medical Inc.","Healthcare","Medical Devices","USA",19.84,,0.46,18.85,8.19,56.40%,0.00%,0.18%,,0.39%,0.07,0.03,-1.31%,1.02%,7.26%,7.87%,7.85%,1.51%,3.50%,7.75%,32.13%,32.13%,98.44%,-25.13%,-63.09%,,,-79.18%,0.21,10.71%,21.16%,13.39%,-40.99%,-62.56%,870.17,28133647,0.62,0.95,1.10,0.91,1.06,70.83%
3,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",4.81,,0.11,9.00,5.84,1.78%,0.00%,3.13%,,7.53%,0.07,0.44,-2.62%,-3.52%,-2.49%,-6.43%,-15.18%,-13.11%,-15.04%,20.67%,32.65%,36.27%,71.94%,158.67%,126.36%,250.13%,-63.43%,160.85%,0.10,9.76%,17.45%,76.47%,101.82%,125.07%,107.02,48485496,0.52,0.97,1.03,0.80,0.81,55.40%
4,"ARTL","Artelo Biosciences Inc","Healthcare","Biotechnology","USA",4.74,,2.36,3.23,3.20,0.83%,0.00%,0.77%,37.00%,0.44%,1.18,0.01,0.43%,4.88%,6.40%,5.66%,7.88%,6.40%,5.62%,-13.63%,17.46%,17.46%,11.23%,10.40%,-3.72%,0.57%,-27.26%,4.88%,0.07,3.28%,4.47%,11.52%,8.15%,4.23%,3705.07,3084756,1.29,1.34,1.49,1.34,1.47,13.39%
5,"ASNS","Actelis Networks Inc","Technology","Communication Equipment","USA",11.86,,0.47,6.02,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.09,0.42,1.29%,0.51%,0.57%,-1.50%,-5.74%,-7.51%,-6.19%,1.03%,8.84%,7.07%,23.90%,31.33%,129.84%,65.55%,-43.23%,75.89%,0.32,11.39%,18.27%,17.65%,68.73%,76.29%,7.29,2456689,1.86,2.02,2.08,1.92,1.97,5.91%
6,"AUR","Aurora Innovation Inc","Technology","Information Technology Services","USA",6279.98,,0.72,1162.00,791.49,49.02%,2.52%,42.00%,-4.95%,10.81%,9.16,85.57,-1.57%,-2.06%,-2.44%,0.37%,3.45%,4.25%,3.45%,3.72%,4.25%,5.06%,35.74%,59.88%,31.76%,23.70%,22.95%,-7.44%,0.22,7.91%,6.87%,47.76%,48.33%,49.04%,4.05,2632822,3.70,3.90,4.20,3.88,4.05,9.32%
7,"BITO","ProShares Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.05%,0.06%,0.18%,0.27%,-0.18%,-0.18%,0.14%,-0.14%,0.50%,0.27%,11.18%,-13.77%,-24.93%,-1.57%,28.99%,7.27%,0.89,2.65%,2.76%,-1.70%,-11.18%,-4.43%,3.61,2168235,20.22,22.00,22.02,21.89,21.98,8.70%
8,"BITU","ProShares Ultra Bitcoin ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.07%,0.14%,0.32%,0.62%,-0.03%,-0.35%,0.30%,-0.31%,1.13%,0.63%,22.01%,-17.22%,-20.99%,,,-20.36%,2.25,5.23%,5.48%,2.13%,-9.35%,-12.10%,9.29,540122,24.32,28.60,28.67,28.36,28.60,17.60%
9,"BITX","2x Bitcoin Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.06%,0.06%,0.26%,0.50%,-0.47%,-0.23%,0.08%,-0.27%,0.65%,0.47%,21.93%,-20.21%,-26.48%,27.23%,109.26%,49.03%,2.74,5.33%,5.62%,0.80%,-12.70%,8.80%,5.07,1896222,28.92,34.05,34.07,33.66,33.92,17.29%
10,"BTBT","Bit Digital Inc","Financial","Capital Markets","USA",480.36,13.04,1.42,121.00,120.26,0.61%,0.00%,34.46%,-41.89%,19.01%,2.63,22.86,-0.63%,-0.25%,-0.24%,-0.50%,-1.98%,-2.22%,-1.25%,-2.22%,-1.74%,-2.46%,5.30%,44.89%,92.71%,25.63%,-9.98%,-6.15%,0.31,9.38%,10.32%,24.58%,44.97%,50.82%,3.82,2307579,3.80,4.03,4.05,3.96,3.97,4.47%
