"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
11,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.42,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.28,0.07,0.00%,-0.04%,-0.75%,-4.40%,-8.27%,-8.52%,-8.36%,-6.17%,-9.31%,-8.74%,-47.40%,-87.77%,-91.73%,-94.13%,-97.49%,-94.22%,0.22,34.09%,31.28%,-74.65%,-87.88%,-91.10%,28.80,518722,0.26,0.28,0.28,0.26,0.26,0.19%
12,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",22.01,,0.00,175.80,171.69,2.34%,0.00%,3.02%,10.09%,1.92%,0.38,3.29,0.00%,-0.95%,-1.03%,-0.95%,-3.62%,-5.01%,1.87%,2.12%,1.29%,3.47%,4.95%,-16.20%,-43.81%,-33.23%,-85.34%,-45.18%,0.01,6.88%,8.47%,2.74%,-15.93%,-41.94%,6.62,4027379,0.12,0.13,0.13,0.13,0.13,1.71%
13,"CGBS","Crown LNG Holdings Ltd .","Energy","Oil & Gas Midstream","United Kingdom",31.79,,0.00,2.21,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00,-0.60%,-1.42%,-0.06%,-1.00%,-2.23%,-4.31%,-7.98%,-2.23%,-4.57%,-9.84%,-56.77%,-69.40%,-68.41%,-67.50%,-64.30%,-67.76%,1.73,60.13%,31.70%,-55.90%,-64.57%,-66.41%,231.33,5175026,3.43,3.68,3.78,3.40,3.59,4.61%
14,"CLF","Cleveland-Cliffs Inc","Basic Materials","Steel","USA",7757.36,21.74,0.06,504.89,465.48,2.10%,-1.53%,69.80%,6.76%,7.56%,3.82,35.21,0.21%,0.03%,-0.34%,0.41%,3.45%,3.45%,4.38%,4.58%,3.98%,5.60%,5.46%,8.26%,-24.61%,-10.65%,-4.81%,-20.10%,0.47,2.50%,2.81%,7.33%,0.44%,-9.80%,3.55,2278699,16.17,15.78,16.46,15.79,16.31,0.90%
15,"CLSK","Cleanspark Inc","Financial","Capital Markets","USA",3871.51,127.74,2.99,227.87,220.35,3.30%,-13.49%,43.88%,4.32%,16.66%,1.22,36.72,-0.06%,-0.41%,0.12%,0.47%,0.06%,0.24%,0.77%,0.29%,1.49%,1.92%,10.18%,-1.51%,14.41%,83.48%,127.44%,54.03%,1.28,6.23%,7.76%,1.21%,2.04%,38.24%,2.38,4982266,15.85,16.94,17.11,16.76,16.99,7.19%
16,"CONL","GraniteShares 2x Long COIN Daily ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.24%,0.75%,2.31%,3.17%,4.28%,5.05%,5.07%,4.87%,6.30%,4.87%,12.57%,-18.07%,-22.54%,103.42%,174.36%,47.20%,5.15,8.35%,9.53%,5.30%,1.54%,34.94%,5.03,866121,43.19,47.70,50.07,47.28,49.96,15.68%
17,"CORZ","Core Scientific Inc","Technology","Software - Infrastructure","USA",1905.89,101.81,0.64,386.88,145.91,17.93%,1.11%,28.02%,,22.62%,3.20,33.00,0.47%,0.19%,0.10%,-0.09%,0.00%,-0.64%,1.81%,0.66%,1.23%,1.42%,3.48%,12.02%,256.16%,,,211.64%,0.85,11.31%,9.83%,10.71%,57.02%,121.42%,2.07,1480330,10.10,10.75,10.85,10.56,10.72,6.14%
18,"CPOP","Pop Culture Group Co Ltd","Communication Services","Entertainment","China",5.44,,0.79,18.29,2.83,28.25%,0.00%,0.46%,,4.47%,0.06,0.13,-4.11%,-6.12%,-4.83%,-4.30%,-12.66%,-12.66%,-13.70%,-13.75%,-14.81%,-22.03%,15.00%,2.22%,-32.02%,32.69%,-69.06%,28.97%,0.19,10.20%,13.85%,5.63%,-10.92%,-30.90%,34.08,4689197,1.29,1.56,1.59,1.37,1.38,6.98%
19,"CYBN","Cybin Inc","Healthcare","Biotechnology","Canada",247.78,,0.20,759.69,695.84,8.45%,0.00%,42.25%,,2.79%,4.69,19.38,0.15%,-0.31%,-0.58%,0.28%,0.65%,0.93%,0.93%,3.07%,1.88%,1.88%,23.25%,9.03%,-10.93%,-22.38%,-29.89%,-20.49%,0.02,9.40%,7.33%,19.77%,3.91%,-18.87%,2.47,709780,0.32,0.32,0.33,0.32,0.33,1.88%
20,"DATS","DatChat Inc","Technology","Software - Application","USA",5.75,,2.02,3.01,2.73,9.19%,0.00%,1.43%,,2.49%,0.44,0.07,-2.05%,-2.80%,-2.30%,-5.12%,-1.55%,-4.98%,-6.83%,-11.57%,-12.79%,-19.75%,76.85%,48.06%,64.64%,-23.90%,-61.80%,-33.45%,0.15,4.38%,6.00%,63.39%,48.12%,16.88%,2881.18,31314631,1.04,1.96,2.06,1.84,1.91,83.65%
21,"DJT","Trump Media & Technology Group Corp.","Communication Services","Internet Content & Information","USA",7806.51,,1.44,189.94,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,0.76,5.22,-2.10%,-3.01%,-2.91%,-3.27%,-10.98%,-12.46%,-12.81%,-9.27%,-10.52%,-13.38%,35.55%,0.42%,26.11%,142.91%,214.94%,134.86%,4.19,6.09%,10.69%,26.29%,-1.46%,28.81%,53.57,25434032,30.89,46.25,46.26,41.06,41.10,33.05%
22,"ENVB","Enveric Biosciences Inc","Healthcare","Biotechnology","USA",4.71,,0.80,7.95,7.81,1.81%,0.00%,6.14%,-6.53%,1.95%,0.31,0.15,-3.39%,-0.08%,-2.45%,-5.50%,3.96%,0.44%,-5.47%,13.96%,7.75%,11.81%,16.20%,-22.11%,-41.33%,-53.52%,-79.42%,-54.42%,0.06,12.79%,10.21%,-0.56%,-19.58%,-50.49%,56.00,1895325,0.52,0.58,0.65,0.56,0.59,14.80%
23,"GEO","Geo Group, Inc.","Industrials","Security & Protection Services","USA",2375.88,25.81,0.93,136.31,129.36,5.06%,0.50%,77.81%,-7.81%,7.99%,4.38,10.33,-0.06%,-0.05%,0.14%,-0.63%,1.99%,3.08%,2.35%,2.41%,2.11%,0.81%,15.74%,36.17%,13.40%,58.74%,134.59%,60.94%,0.65,3.27%,4.02%,23.87%,24.90%,46.05%,5.02,823288,15.94,17.59,17.60,17.23,17.43,9.35%
24,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",53.57,,0.01,186.14,176.40,5.23%,0.00%,1.11%,,1.65%,0.92,2.91,-1.77%,-2.44%,0.28%,-5.61%,-6.41%,-6.83%,1.73%,1.77%,-4.03%,-4.03%,13.31%,2.42%,-35.80%,-43.90%,-59.55%,-56.58%,0.03,7.15%,7.97%,11.27%,-7.23%,-41.56%,35.68,7889776,0.25,0.30,0.32,0.28,0.29,15.86%
25,"HIVE","HIVE Digital Technologies Ltd.","Financial","Capital Markets","Canada",387.02,,1.70,106.08,104.09,0.49%,0.00%,32.97%,,5.24%,1.58,5.46,-0.54%,0.41%,0.54%,0.82%,-0.54%,-1.04%,-0.54%,-0.44%,-0.54%,0.54%,8.19%,24.16%,29.82%,-8.87%,-44.28%,-18.32%,0.27,8.04%,9.23%,15.46%,30.95%,13.65%,2.12,507525,3.52,3.71,3.75,3.66,3.70,5.11%
26,"HUMA","Humacyte Inc","Healthcare","Biotechnology","USA",888.34,,0.97,103.67,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,2.85,8.25,1.50%,1.63%,1.70%,1.08%,-3.88%,-3.99%,-4.97%,-2.48%,0.81%,2.75%,31.57%,1.63%,159.03%,176.30%,133.86%,162.68%,0.62,9.85%,9.66%,31.55%,21.86%,96.71%,5.78,1162784,6.99,7.50,7.54,7.28,7.46,6.72%
27,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",1643.36,11.26,0.15,88.96,80.09,11.40%,-0.52%,30.23%,,10.57%,1.84,8.47,-1.41%,-1.51%,-1.24%,-1.57%,-0.22%,-0.16%,0.34%,0.28%,1.34%,2.54%,4.01%,66.34%,135.50%,61.75%,-18.65%,36.29%,1.43,11.41%,10.51%,25.73%,62.20%,82.17%,3.89,1242653,16.96,18.19,18.70,18.08,18.18,7.20%
28,"IBIT","iShares Bitcoin Trust Beneficial Interest","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.06%,0.03%,0.17%,0.29%,-0.10%,-0.15%,0.15%,-0.13%,0.46%,0.27%,11.21%,-6.98%,-6.23%,34.30%,,34.30%,1.41,2.67%,2.73%,2.55%,-2.23%,3.87%,2.30,4109668,32.85,35.79,35.82,35.61,35.76,8.87%
29,"IVP","Inspire Veterinary Partners Inc.","Consumer Cyclical","Personal Services","USA",12.55,,0.07,,0.95,4.58%,0.00%,1.24%,,39.57%,0.12,0.38,7.31%,8.66%,13.27%,16.31%,17.29%,18.40%,18.40%,20.28%,10.28%,35.68%,322.56%,605.06%,146.56%,-29.69%,,-63.59%,1.57,97.88%,46.67%,374.75%,343.60%,-57.95%,4.98,1069403,10.57,10.40,12.55,10.40,12.55,18.73%
30,"JOBY","Joby Aviation Inc","Industrials","Airports & Air Services","USA",4704.04,,1.31,698.26,378.19,46.62%,-0.34%,30.89%,0.23%,19.15%,12.99,72.41,-0.76%,-1.34%,-1.56%,-0.67%,-2.92%,-3.35%,-3.42%,-2.50%,-1.92%,-1.19%,27.45%,29.18%,43.72%,10.85%,-37.12%,-0.15%,0.30,7.10%,5.55%,28.42%,30.15%,18.40%,3.99,1546058,6.61,6.79,6.85,6.64,6.64,0.45%
31,"LILM","Lilium N.V","Industrials","Aerospace & Defense","Germany",587.53,,0.36,503.47,320.79,45.95%,0.00%,1.96%,-1.06%,7.22%,6.37,23.17,-0.24%,-0.38%,-0.62%,-0.07%,-2.94%,-2.94%,-1.00%,-0.98%,-3.88%,-3.88%,16.94%,17.38%,11.19%,13.45%,-41.76%,-16.10%,0.06,7.42%,6.06%,20.34%,5.57%,7.63%,4.67,1179868,0.98,1.02,1.02,0.98,0.99,1.53%
32,"MARA","Marathon Digital Holdings Inc","Financial","Capital Markets","USA",5981.92,9.01,5.71,272.96,270.84,0.77%,-0.48%,41.21%,-2.90%,26.02%,1.53,70.47,-0.16%,-0.07%,0.30%,0.90%,-0.07%,-0.61%,-0.11%,-0.75%,0.67%,0.85%,12.38%,7.90%,36.03%,-2.17%,13.55%,-6.70%,1.49,6.54%,6.80%,9.71%,10.67%,23.80%,2.13,6816580,20.77,21.92,22.02,21.56,21.92,5.51%
33,"MBLY","Mobileye Global Inc","Consumer Cyclical","Auto Parts","Israel",21611.52,,1.54,94.65,91.67,88.63%,0.00%,14.35%,,18.93%,5.17,17.35,0.90%,1.21%,0.37%,0.19%,-1.83%,-3.25%,-3.00%,-2.83%,-0.45%,0.00%,-3.67%,-8.66%,-15.51%,-13.63%,-37.93%,-38.13%,1.33,4.53%,5.01%,-1.91%,-3.63%,-16.84%,2.56,596445,26.46,27.46,27.35,26.31,26.80,1.28%
34,"ME","23andMe Holding Co","Healthcare","Diagnostics & Research","USA",245.13,,0.44,323.39,285.56,41.75%,-0.15%,19.70%,7.02%,10.83%,5.40,30.93,0.44%,-0.54%,0.06%,-0.93%,-8.68%,-9.06%,-8.99%,-9.47%,-5.66%,-5.23%,17.32%,21.33%,12.82%,-29.48%,-72.68%,-45.27%,0.04,7.61%,7.47%,18.14%,5.45%,-24.09%,2.46,978741,0.48,0.54,0.54,0.49,0.50,3.54%
35,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",13.55,,0.24,14.78,9.75,34.05%,0.17%,4.20%,,0.16%,0.14,0.02,-2.32%,7.88%,11.19%,8.32%,5.16%,0.16%,5.45%,3.16%,6.52%,45.86%,67.40%,23.92%,1.83%,-6.89%,,-12.67%,0.08,11.12%,7.87%,41.08%,24.93%,-39.21%,2229.83,17703826,0.59,0.88,0.95,0.81,0.92,55.63%
36,"MWG","Multi Ways Holdings Ltd","Industrials","Rental & Leasing Services","Singapore",20.89,,,30.84,10.26,66.75%,0.00%,0.31%,,0.40%,0.05,0.04,1.10%,1.15%,-7.26%,1.12%,9.26%,6.69%,7.80%,13.01%,15.26%,26.83%,50.86%,79.23%,116.45%,151.39%,10.18%,201.51%,0.09,24.24%,19.13%,80.97%,89.23%,110.64%,43.46,2536536,0.53,0.62,0.78,0.62,0.68,27.13%
37,"NAK","Northern Dynasty Minerals Ltd.","Basic Materials","Other Industrial Metals & Mining","Canada",193.69,,0.02,538.48,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.60,6.60,0.00%,0.00%,-0.61%,-0.47%,0.06%,-4.41%,-2.67%,0.06%,2.48%,2.48%,13.13%,27.05%,2.91%,27.73%,41.31%,11.41%,0.02,6.56%,5.52%,18.79%,19.63%,18.21%,9.14,634863,0.34,0.35,0.36,0.35,0.36,5.88%
38,"OKLO","Oklo Inc.","Utilities","Utilities - Regulated Electric","USA",1054.60,46.19,0.00,122.10,69.37,43.19%,0.00%,19.48%,0.29%,7.99%,1.47,5.54,0.26%,-0.00%,-0.69%,-0.38%,-4.46%,-4.46%,-4.56%,-4.77%,-4.24%,-4.14%,16.40%,-15.32%,-32.31%,-18.82%,-16.63%,-18.21%,0.92,11.92%,10.49%,-0.23%,-11.95%,-18.91%,3.20,838753,8.61,8.90,8.90,8.60,8.64,0.32%
39,"OPEN","Opendoor Technologies Inc","Real Estate","Real Estate Services","USA",1569.89,,1.91,677.64,560.46,18.96%,-1.41%,55.78%,-3.59%,15.00%,5.41,84.07,-0.44%,-0.84%,-0.48%,0.22%,-4.62%,-4.62%,-4.22%,-4.26%,-4.62%,-3.81%,25.41%,1.79%,-2.99%,-36.24%,-53.00%,-49.33%,0.14,7.60%,7.19%,19.25%,8.07%,-16.86%,2.95,3184406,2.26,2.36,2.37,2.24,2.27,0.44%
40,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",35.73,,0.10,90.46,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,0.33,9.51,0.66%,-0.08%,1.52%,-0.55%,0.43%,-1.00%,-0.93%,-2.52%,8.07%,9.12%,-1.27%,157.83%,66.04%,28.12%,-35.78%,25.00%,0.06,19.73%,21.78%,54.33%,86.22%,40.72%,5.31,10722120,0.37,0.39,0.41,0.39,0.40,7.75%
41,"OXLC","Oxford Lane Capital Corp","Financial","Closed-End Fund - Debt","USA",1408.10,5.05,,249.00,241.57,0.19%,,5.04%,,0.74%,0.49,1.78,0.18%,0.44%,0.53%,0.89%,0.98%,0.44%,0.44%,0.44%,0.85%,0.44%,1.16%,0.62%,11.76%,10.88%,10.45%,14.47%,0.08,1.42%,1.30%,3.05%,4.30%,10.28%,2.18,546497,5.58,5.62,5.66,5.59,5.66,1.34%
42,"PHUN","Phunware Inc","Technology","Software - Application","USA",55.49,,2.69,8.03,7.91,1.45%,8.10%,20.52%,,13.27%,2.88,1.05,-2.67%,-3.21%,-3.08%,-1.91%,-7.36%,-9.31%,-10.25%,-8.22%,-11.74%,-14.26%,20.40%,19.56%,-4.94%,83.80%,-65.36%,68.55%,0.51,5.96%,7.59%,23.42%,11.52%,-16.47%,195.39,4947910,5.83,7.51,7.49,6.88,6.91,18.54%
43,"POWW","AMMO Inc","Industrials","Aerospace & Defense","USA",225.04,,0.47,119.18,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,4.05,2.85,-0.62%,-0.62%,0.07%,0.70%,4.32%,5.49%,5.52%,6.11%,6.14%,7.28%,18.75%,-24.17%,-23.55%,-10.09%,-14.56%,-10.09%,0.11,3.64%,6.72%,9.33%,-13.60%,-17.91%,16.03,783379,1.66,1.82,1.90,1.79,1.89,13.75%
44,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",2988.98,14.09,2.38,288.79,264.27,8.49%,-0.20%,41.33%,6.06%,23.36%,2.68,61.72,-0.38%,0.00%,0.19%,0.19%,-0.24%,-0.48%,0.00%,-0.86%,0.19%,0.29%,10.11%,-2.73%,13.74%,-20.93%,-48.99%,-33.10%,0.61,5.73%,5.89%,6.46%,3.98%,-10.51%,2.63,4210244,9.81,10.34,10.40,10.24,10.35,5.56%
45,"RUM","Rumble Inc","Technology","Software - Application","USA",1806.79,,0.65,114.93,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,12.12,13.80,-1.29%,-2.81%,-2.36%,-2.20%,-4.40%,-3.25%,-3.68%,-1.31%,-1.61%,-3.10%,12.17%,10.24%,0.71%,72.64%,-27.05%,42.65%,0.30,3.98%,4.13%,14.16%,2.54%,8.70%,22.13,1750403,5.94,6.71,6.83,6.38,6.41,7.83%
46,"SCNI","Scinai Immunotherapeutics Ltd ADR","Healthcare","Biotechnology","Israel",4.29,,9.20,0.54,0.53,2.25%,0.00%,7.59%,-65.24%,3.90%,0.04,0.02,3.69%,11.08%,14.55%,19.01%,25.99%,15.72%,39.47%,6.14%,32.06%,71.34%,164.05%,195.54%,65.62%,38.26%,-46.64%,33.52%,0.80,13.48%,19.40%,134.67%,113.41%,48.18%,295.14,11169778,4.06,6.66,7.95,6.47,7.95,95.81%
47,"SISI","Shineco Inc","Consumer Defensive","Farm Products","China",5.81,,0.09,26.39,6.43,0.26%,0.00%,0.87%,2.18%,3.04%,0.37,0.20,-1.15%,-3.10%,-2.57%,-5.13%,-6.58%,-4.72%,-6.74%,-5.09%,-5.13%,-3.30%,-71.39%,-76.83%,26.57%,-22.30%,-70.55%,-19.96%,0.80,46.19%,30.70%,-71.07%,-58.15%,-34.74%,65.38,2430296,0.84,0.97,0.98,0.90,0.90,7.23%
48,"SMR","NuScale Power Corporation","Industrials","Specialty Industrial Machinery","USA",1452.06,,1.55,88.54,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,2.86,14.93,0.40%,2.06%,-0.39%,-2.81%,-2.39%,-0.49%,1.11%,0.24%,2.89%,3.14%,19.80%,94.08%,211.20%,600.85%,108.39%,398.48%,1.31,11.69%,11.76%,46.15%,85.76%,219.74%,6.67,2419010,15.34,16.82,16.90,15.95,16.40,6.91%
49,"TNA","Direxion Daily Small Cap Bull 3X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.09%,0.07%,0.32%,0.14%,-0.39%,-0.46%,-0.18%,-0.32%,-0.71%,-1.15%,19.02%,14.56%,20.42%,22.89%,11.45%,9.28%,1.60,3.59%,3.57%,18.23%,15.07%,24.64%,3.32,3509344,42.14,43.15,43.29,42.90,43.11,2.30%
50,"TSLL","Direxion Daily TSLA Bull 2X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.42%,0.59%,1.42%,4.10%,2.70%,1.90%,1.29%,1.70%,2.16%,0.95%,4.17%,103.38%,102.31%,22.84%,-17.18%,6.93%,1.27,15.57%,10.56%,41.80%,72.54%,44.22%,5.41,15036646,14.02,14.91,15.36,14.55,15.35,9.52%
51,"TSLT","T-REX 2X Long Tesla Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,0.38%,0.57%,1.49%,4.20%,2.63%,1.84%,1.39%,1.69%,2.13%,0.96%,4.15%,105.06%,102.69%,3.28%,,-14.20%,1.74,15.56%,10.53%,41.92%,73.12%,36.29%,4.02,2107740,19.25,20.45,21.09,19.96,21.08,9.51%
52,"YANG","Direxion Daily FTSE China Bear -3X Shares","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,-0.06%,-0.18%,-0.06%,-0.12%,1.72%,1.72%,1.85%,1.59%,2.10%,2.23%,-5.60%,-4.59%,-32.67%,-45.99%,-12.03%,-37.46%,0.39,3.15%,2.94%,-3.32%,1.44%,-30.26%,3.04,1248086,7.55,7.87,8.03,7.87,8.01,6.03%
