"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"CTNT","Cheetah Net Supply Chain Service Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",15.30,,32.40,20.23,62.44%,37.55%,-34.73%,0.02%,,1.65%,0.05,0.33,0.02%,0.02%,0.02%,0.02%,0.25%,0.25%,-1.62%,-5.62%,-5.65%,-5.65%,0.04%,0.40%,-66.98%,-58.94%,,-63.68%,0.17,9.99%,12.96%,2.29%,-68.21%,-69.03%,-5.65%,6.38%,6291.30,2.00,629539,0.47,0.50,0.51,0.46,0.47,0.36%
2,"NIVF","NewGenIvf Group Ltd","Healthcare","Health Information Services","Taiwan",10.45,,3.73,2.83,75.87%,72.08%,0.00%,12.73%,2.33%,2.83%,0.04,0.08,0.00%,0.00%,0.00%,0.00%,1.98%,-0.96%,-2.83%,-0.96%,0.00%,0.00%,9.39%,0.00%,-53.81%,-90.59%,-89.87%,-90.55%,0.12,6.12%,8.46%,4.42%,-5.23%,-85.34%,-3.74%,22.86%,2078.12,36.75,3818050,0.87,1.07,1.16,0.98,1.03,18.27%
3,"PIRS","Pieris Pharmaceuticals Inc","Healthcare","Biotechnology","USA",18.48,,1.24,1.23,99.19%,6.97%,0.00%,36.76%,-76.57%,1.45%,0.85,0.02,1.38%,-0.71%,-1.20%,-0.92%,1.97%,3.93%,3.86%,33.33%,35.92%,35.92%,89.19%,63.08%,16.67%,4.54%,-23.91%,-3.85%,1.21,7.80%,9.40%,74.77%,49.34%,1.21%,44.33%,21.55%,20.91,932.91,975397,7.98,9.70,15.88,9.70,14.00,75.44%
4,"SGMO","Sangamo Therapeutics Inc","Healthcare","Biotechnology","USA",90.37,,207.51,186.71,89.98%,10.03%,0.00%,49.04%,6.83%,8.31%,6.84,15.51,1.28%,1.28%,3.69%,3.69%,3.69%,8.06%,11.01%,-13.49%,-4.79%,-4.79%,-0.11%,-7.30%,-16.39%,-4.12%,-67.01%,-19.84%,0.06,12.61%,13.12%,11.61%,-11.61%,-22.08%,-4.83%,14.03%,2266.02,23.12,2619543,0.40,0.46,0.52,0.32,0.44,8.52%
5,"SYRA","Syra Health Corp","Healthcare","Medical Care Facilities","USA",10.29,,5.59,4.90,87.66%,32.49%,0.00%,1.25%,,5.33%,0.61,0.26,3.65%,3.65%,2.16%,-7.19%,-16.47%,-16.47%,-16.47%,-16.47%,-16.47%,-16.47%,6.77%,4.41%,43.16%,56.91%,,39.81%,0.12,5.17%,5.80%,6.91%,0.79%,-3.29%,7.58%,3.94%,428.26,57.71,1235787,1.27,1.32,1.80,1.31,1.42,11.81%
6,"TNXP","Tonix Pharmaceuticals Holding Corp","Healthcare","Biotechnology","USA",10.44,,58.61,17.45,29.77%,0.00%,,4.27%,216.69%,10.26%,1.31,1.79,0.59%,1.06%,-1.35%,-3.84%,-8.90%,-9.03%,-9.03%,-9.03%,-9.03%,-9.03%,0.42%,-49.71%,-88.07%,-93.59%,-98.93%,-95.36%,0.15,5.94%,10.34%,-15.34%,-77.89%,-93.75%,3.19%,2.15%,1362.37,76.21,5191294,0.57,0.58,0.69,0.57,0.60,5.41%
