"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Gap","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",21.00,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,2.67%,-0.43%,0.87%,14.36%,22.87%,26.92%,39.16%,39.16%,39.16%,39.16%,11.06%,2.90%,11.33%,19.10%,-66.15%,-27.70%,0.33,19.99%,15.90%,32.80%,16.45%,-0.45%,5.10%,435.79,1879446,1.57,1.65,2.42,1.65,2.31,47.13%
2,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",51.08,,1.98,29.93,29.32,21.88%,-3.13%,25.03%,-4.57%,5.52%,2.61,1.62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.73%,-0.66%,-49.22%,-45.99%,-87.32%,-53.86%,0.11,9.68%,10.19%,14.76%,-15.13%,-50.53%,1.57%,18.82,584470,1.34,1.36,1.36,1.36,1.36,1.57%
3,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",20.26,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,0.15%,0.15%,0.15%,0.15%,0.51%,0.51%,-0.22%,-0.22%,-0.22%,-0.22%,-6.98%,-84.76%,-91.12%,-92.27%,-97.38%,-93.97%,0.21,43.08%,31.84%,-68.50%,-86.70%,-90.52%,9.20%,75.76,7698440,0.25,0.27,0.29,0.27,0.27,9.28%
4,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",25.27,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.91%,1.22%,1.84%,2.79%,0.61%,-1.78%,-1.19%,-1.19%,-1.19%,-1.19%,-19.81%,-17.41%,29.69%,-47.39%,-85.57%,-63.60%,2.45,30.92%,45.59%,-60.34%,-36.91%,-74.68%,26.41%,13.87,6176393,2.84,3.59,3.60,3.20,3.32,16.90%
5,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",91.74,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.00%,0.00%,-0.34%,1.71%,0.68%,-1.33%,-7.48%,-7.48%,-7.48%,-7.48%,77.84%,72.67%,-13.16%,-54.24%,,-55.00%,0.23,9.75%,7.24%,82.83%,49.97%,-36.09%,53.14%,278.81,2572647,2.07,3.17,3.23,2.91,2.97,43.48%
6,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",28.53,,0.09,45.67,41.02,10.18%,0.00%,1.13%,,0.02%,0.00,0.01,0.00%,1.58%,1.58%,2.41%,2.41%,3.05%,4.12%,4.12%,4.12%,4.12%,89.30%,-3.88%,0.76%,-29.73%,-29.29%,-23.72%,0.11,20.63%,15.59%,15.13%,-4.26%,-19.10%,0.87%,5.86,581772,0.57,0.58,0.72,0.58,0.62,8.64%
