"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change"
1,"AAGR","African Agriculture Holdings Inc","Consumer Defensive","Farm Products","USA",10.28,,57.87,15.65,27.04%,72.96%,0.00%,3.39%,2.17%,3.92%,0.42,0.61,0.00%,-0.06%,-0.06%,-0.17%,2.95%,-1.17%,-1.33%,-3.16%,7.37%,7.37%,-3.95%,-30.94%,-44.47%,-78.06%,-97.58%,-85.78%,0.03,8.24%,12.84%,-10.90%,-40.24%,-91.69%,7.37%,2.16%,1453.22,73.99,5376236,0.16,0.17,0.21,0.16,0.18,9.69%
2,"ASXC","Asensus Surgical Inc","Healthcare","Medical Devices","USA",92.69,,272.62,267.03,97.95%,2.05%,0.00%,16.89%,-7.20%,4.24%,4.90,11.32,0.00%,0.00%,0.00%,0.15%,0.03%,0.03%,1.55%,1.52%,-0.90%,-0.90%,0.27%,3.34%,36.00%,12.92%,-37.04%,6.62%,0.01,1.09%,1.78%,1.48%,13.85%,22.57%,-1.05%,1.21%,2310.38,5.36,618751,0.34,0.34,0.35,0.33,0.34,0.15%
3,"ATPC","Agape ATP Corp","Consumer Defensive","Packaged Foods","Malaysia",28.38,,77.10,57.36,74.40%,25.48%,0.00%,0.25%,,0.11%,0.25,0.06,-0.19%,-1.55%,2.42%,-7.45%,-4.26%,-0.38%,50.31%,129.43%,142.57%,142.57%,85.28%,68.36%,47.78%,-23.19%,,-42.30%,0.04,15.15%,8.56%,84.04%,60.74%,-51.45%,147.45%,4.20%,253.80,2262.30,28708615,0.14,0.15,0.44,0.14,0.37,157.83%
4,"CEI","Camber Energy Inc","Industrials","Specialty Industrial Machinery","USA",23.14,,175.80,171.69,97.66%,2.34%,0.00%,3.02%,10.09%,1.92%,0.40,3.29,-0.15%,-1.64%,-1.57%,-1.35%,-2.16%,-1.72%,-0.23%,-1.05%,-2.01%,-2.01%,-6.20%,14.73%,-23.44%,-21.71%,-89.21%,-42.38%,0.01,7.63%,7.95%,6.86%,-8.73%,-38.08%,-2.01%,3.07%,8262.96,2.13,878137,0.13,0.13,0.14,0.13,0.13,1.00%
5,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",11.54,1.10,12.17,8.51,69.93%,54.29%,0.00%,12.32%,,1.94%,0.17,0.17,-0.03%,1.62%,-0.05%,-0.53%,2.67%,-7.06%,-3.76%,-8.49%,7.45%,7.45%,-4.63%,-15.08%,-72.87%,-68.08%,-94.05%,-92.55%,0.13,30.03%,18.41%,11.19%,-29.30%,-86.61%,6.42%,8.27%,950.04,35.43,1683225,0.54,0.58,0.72,0.58,0.62,15.22%
6,"ICCM","Icecure Medical Ltd","Healthcare","Medical Devices","Israel",34.04,,45.73,22.26,48.68%,53.58%,0.00%,0.21%,,0.70%,0.70,0.15,0.00%,0.00%,2.68%,-1.39%,0.94%,2.90%,2.90%,4.41%,5.31%,5.31%,-6.46%,-3.48%,-41.80%,-45.80%,-40.83%,-33.64%,0.05,5.69%,5.78%,-4.58%,-18.27%,-32.79%,5.31%,-3.23%,222.75,68.99,768339,0.70,0.67,0.76,0.65,0.71,1.91%
7,"LUXH","LuxUrban Hotels Inc","Consumer Cyclical","Lodging","USA",12.55,,73.20,52.34,71.50%,28.49%,64.78%,9.12%,32.89%,1.93%,0.51,1.01,-0.81%,-1.61%,-7.35%,-2.00%,-3.92%,-3.65%,5.02%,9.24%,11.36%,11.36%,-14.21%,-31.73%,-81.60%,-95.91%,-94.05%,-97.13%,0.03,14.81%,11.74%,-15.77%,-39.27%,-93.62%,11.36%,4.55%,1971.83,31.67,3122722,0.15,0.15,0.19,0.15,0.17,16.43%
8,"NMHI","Nature's Miracle Holding Inc.","Industrials","Specialty Industrial Machinery","USA",14.29,2.32,22.27,9.88,44.36%,62.65%,0.00%,0.61%,6.94%,0.92%,1.11,0.09,0.11%,1.03%,-2.70%,-3.64%,-4.42%,-5.82%,-12.92%,-15.94%,-29.87%,-29.87%,19.87%,-12.08%,-41.18%,-95.09%,-94.76%,-95.09%,0.08,9.46%,8.83%,14.29%,-12.00%,-90.56%,-31.45%,125.09%,81.94,3276.87,13425397,0.35,0.79,0.83,0.53,0.54,54.29%
9,"SERV","Serve Robotics Inc","Industrials","Specialty Industrial Machinery","USA",337.98,,36.94,23.48,63.56%,36.70%,0.46%,0.29%,,5.50%,0.18,1.29,0.00%,-0.22%,-0.22%,-0.11%,1.22%,1.68%,-2.35%,7.43%,10.96%,10.96%,282.77%,355.50%,189.21%,,,-63.56%,1.16,47.86%,20.45%,230.31%,230.73%,136.72%,12.19%,-7.41%,7333.00,15.40,5644783,8.77,8.12,9.55,8.10,9.11,3.88%
10,"SOAR","Volato Group Inc","Industrials","Airports & Air Services","USA",24.93,,28.04,14.36,51.21%,51.36%,0.12%,7.74%,6.23%,2.49%,0.79,0.36,0.01%,-0.01%,-1.79%,1.77%,3.35%,0.58%,1.45%,-10.91%,-4.93%,-4.93%,38.39%,74.47%,-55.31%,-57.24%,-91.93%,-77.63%,0.13,25.86%,14.32%,54.41%,-5.17%,-81.32%,-2.53%,81.31%,452.58,709.00,16043977,0.48,0.87,1.18,0.77,0.84,76.73%
11,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",231.99,,47.94,45.99,95.93%,4.44%,0.38%,78.26%,5.38%,0.46%,3.55,0.21,-0.38%,0.81%,0.41%,0.84%,1.69%,1.90%,1.74%,4.33%,6.40%,6.40%,38.90%,47.40%,45.62%,29.22%,-4.55%,8.07%,0.27,4.64%,6.11%,50.20%,41.49%,26.12%,10.30%,24.86%,59.01,326.06,962062,3.50,4.37,4.88,4.27,4.82,37.71%
