"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"BLMZ","BloomZ Inc.","Communication Services","Electronic Gaming & Multimedia","USA",37.44,,,12.44,,,,,,,,,,28.48%,-11.63%,-12.35%,0.00%,2.00%,1.65%,4.15%,-4.75%,-5.94%,-5.94%,-5.94%,-5.94%,-5.94%,,,,,,22.86%,1.37,,,22.86%,22.86%,22.86%,-5.94%,30.61%,2081.96,31.71,3301133,2.45,3.20,3.28,2.86,3.01,22.86%,,
2,"MIRA","Mira Pharmaceuticals Inc","Healthcare","Drug Manufacturers - General","USA",45.23,,,14.78,9.75,65.97%,34.05%,0.17%,4.20%,,0.17%,0.00,0.02,,0.00%,,3.38%,-1.58%,1.66%,10.87%,12.92%,21.43%,21.43%,21.43%,21.43%,21.43%,289.31%,330.99%,251.72%,222.11%,,191.43%,0.62,93.07%,32.01%,191.05%,244.79%,119.90%,29.11%,0.42%,3780.30,5.84,1103711,2.36,2.37,3.17,2.35,3.06,29.66%,,
3,"PBM","Psyence Biomedical Ltd.","Healthcare","Biotechnology","Canada",15.26,,,13.39,4.70,35.10%,64.90%,0.00%,15.24%,14.59%,5.10%,0.23,0.24,,0.00%,,-3.39%,-3.39%,-1.72%,-2.56%,-8.80%,-4.20%,-4.20%,-4.20%,-4.20%,-4.20%,165.73%,209.95%,42.86%,-79.95%,-88.79%,-87.66%,0.12,11.55%,14.43%,227.53%,100.79%,-74.88%,0.88%,188.71%,1037.59,251.51,13048208,0.39,1.13,1.37,1.12,1.14,191.26%,,
4,"SLGL","Sol-Gel Technologies Ltd","Healthcare","Biotechnology","Israel",23.13,,,27.86,9.42,33.81%,66.20%,0.00%,27.99%,0.31%,0.10%,0.25,0.01,,-1453.95%,-1329.13%,-3.44%,0.00%,-2.51%,-8.98%,2.07%,4.15%,4.15%,4.15%,4.15%,4.15%,-3.91%,-7.77%,-9.77%,-27.82%,-78.61%,-24.88%,0.11,11.17%,9.95%,-3.10%,1.86%,-22.82%,15.29%,7.46%,36.30,1279.15,2321360,0.67,0.72,1.14,0.72,0.83,23.90%,,
5,"VSME","Vs Media Holdings Ltd.","Communication Services","Advertising Agencies","Hong Kong",41.36,,,20.00,18.42,92.10%,16.27%,0.00%,0.03%,,0.29%,0.38,0.05,22.59%,-36.47%,-51.71%,1.62%,0.53%,-1.05%,1.62%,-3.09%,-2.59%,-2.59%,-2.59%,-2.59%,-2.59%,-6.00%,8.67%,-36.36%,-58.62%,,-28.95%,0.35,15.11%,22.06%,2.56%,-6.78%,-46.99%,-8.29%,24.23%,138.88,378.08,2625369,1.65,2.05,2.06,1.85,1.88,13.93%,,
