Symbol,Combination,Total_Trades,Profitable_Trades,Total_Profit_Loss,Accuracy
OKE,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
OKE,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
OKE,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",17,7,-1.9049911499023438,41.17647058823529
EOG,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",84,45,-8.939926147460938,53.57142857142857
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",27,10,-5.410003662109375,37.03703703703704
EOG,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",21,7,-5.5500030517578125,33.33333333333333
EOG,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
EOG,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",17,7,-1.9049911499023438,41.17647058823529
EOG,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",27,10,-5.410003662109375,37.03703703703704
EOG,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
EOG,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
EOG,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",17,7,-1.9049911499023438,41.17647058823529
EOG,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EOG,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
EOG,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EOG,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",27,10,-5.410003662109375,37.03703703703704
EOG,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
EOG,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EOG,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EW,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",16,8,-25.291606903076172,50.0
EW,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",17,9,-24.901607513427734,52.94117647058824
EW,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",10,5,-24.136608123779297,50.0
EW,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
EW,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",37,16,-30.31121826171875,43.24324324324324
EW,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",20,9,-29.96550750732422,45.0
EW,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",16,8,-25.291606903076172,50.0
EW,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
EW,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",10,5,-24.136608123779297,50.0
EW,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",20,9,-29.96550750732422,45.0
EW,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
EW,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
EW,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",10,5,-24.136608123779297,50.0
EW,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EW,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
EW,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EW,"Volume_Float_Ratio, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",20,9,-29.96550750732422,45.0
EW,"Volume_Float_Ratio, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
EW,"Volume_Float_Ratio, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
EW,"Volume_Per_Minute, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SNPS,"Market_Force_Indicator, Volume_Float_Ratio, Relative Volume",20,11,12.936981201171875,55.00000000000001
SNPS,"Market_Force_Indicator, Volume_Per_Minute, Relative Volume",5,3,14.718109130859375,60.0
SNPS,"Market_Force_Indicator, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Market_Force_Indicator, Relative Volume, Short Ratio",0,0,0.0,0.0
SNPS,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute",5,3,14.718109130859375,60.0
SNPS,"Market_Force_Indicator, Volume_Float_Ratio, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Volume_Float_Ratio, Volume_Per_Minute, Relative Volume",5,3,14.718109130859375,60.0
SNPS,"Market_Force_Indicator, Volume_Float_Ratio, Short Ratio",0,0,0.0,0.0
SNPS,"Volume_Float_Ratio, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Market_Force_Indicator, Volume_Per_Minute, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Volume_Float_Ratio, Relative Volume, Short Ratio",0,0,0.0,0.0
SNPS,"Market_Force_Indicator, Volume_Per_Minute, Short Ratio",0,0,0.0,0.0
SNPS,"Volume_Per_Minute, Relative Volume, Volume_Per_Minute_Institutional_Transactions",1,0,-8.029998779296875,0.0
SNPS,"Market_Force_Indicator, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
SNPS,"Volume_Per_Minute, Relative Volume, Short Ratio",0,0,0.0,0.0
SNPS,"Relative Volume, Short Ratio, Volume_Per_Minute_Institutional_Transactions",0,0,0.0,0.0
